law_id	group	tier	name_zh	name_en	law_version	source_url	weight	note	articles	questions	family
OSH-42	OSH	1	起重升降機具安全規則	Safety Rules for Cranes, Hoists and Lifting Equipment	民國109年8月20日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=N0060013	1		108	109	職安-機械設備
OSH-44	OSH	1	鍋爐及壓力容器安全規則	Safety Rules for Boilers and Pressure Vessels	民國103年7月1日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=N0060011	1		39	42	職安-機械設備
OSH-41	OSH	1	高壓氣體勞工安全規則	Rules for Labor Safety in High-Pressure Gas	民國111年9月14日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=N0060030	1		248	235	職安-機械設備
OSH-10	OSH	1	勞工健康保護規則	Labor Health Protection Rules	民國115年6月26日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=N0060022	3		29	41	職安-勞工健康與母性保護
OSH-22	OSH	1	女性勞工母性健康保護實施辦法	Regulations for Implementing Maternal Health Protection of Female Laborers	民國113年5月31日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=N0060065	2		16	16	職安-勞工健康與母性保護
OSH-20	OSH	1	妊娠與分娩後女性及未滿十八歲勞工禁止從事危險性或有害性工作認定標準	Standards for Identifying Dangerous or Harmful Work Prohibited for Pregnant/Postpartum Women and Laborers under 18	民國114年11月20日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=N0060032	2		5	7	職安-勞工健康與母性保護
OSH-03	OSH	1	勞動檢查法	Labor Inspection Act	民國109年6月10日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=N0070001	2		40	40	職安-勞動檢查
OSH-04	OSH	1	勞動檢查法施行細則	Enforcement Rules of the Labor Inspection Act	民國112年12月7日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=N0070004	1		42	42	職安-勞動檢查
OSH-25	OSH	1	勞動檢查法第二十八條所定勞工有立即發生危險之虞認定標準	Standards for Identifying Imminent Danger under Article 28 of the Labor Inspection Act	民國94年6月10日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=N0070016	2		9	11	職安-勞動檢查
OSH-48	OSH	1	勞動基準法	Labor Standards Act	民國113年7月31日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=N0030001	1		98	101	職安-勞動條件與職場平等
OSH-49	OSH	1	勞動基準法施行細則	Enforcement Rules of the Labor Standards Act	民國113年3月27日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=N0030002	1		70	70	職安-勞動條件與職場平等
OSH-37	OSH	1	性別平等工作法	Act of Gender Equality in Employment	民國112年8月16日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=N0030014	1		50	55	職安-勞動條件與職場平等
OSH-38	OSH	1	性別平等工作法施行細則	Enforcement Rules of the Act of Gender Equality in Employment	民國115年4月8日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=N0030015	1		20	20	職安-勞動條件與職場平等
ENV-21	ENV	3	環境基本法	Basic Environment Act	民國91年12月11日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0100001	1		41	45	環保-環境基本與環評
ENV-13	ENV	1	環境影響評估法	Environmental Impact Assessment Act	民國114年11月28日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0090001	2		36	43	環保-環境基本與環評
ENV-63	ENV	1	環境影響評估法施行細則	Enforcement Rules of the Environmental Impact Assessment Act	民國115年2月5日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0090002	1		63	80	環保-環境基本與環評
ENV-64	ENV	1	開發行為應實施環境影響評估細目及範圍認定標準	Standards for Determining Development Activities Requiring EIA	民國115年2月5日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0090012	2		53	57	環保-環境基本與環評
ENV-65	ENV	1	開發行為環境影響評估作業準則	Guidelines for EIA of Development Activities	民國110年2月2日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0090003	1		61	61	環保-環境基本與環評
ENV-66	ENV	1	政府政策環境影響評估作業辦法	Regulations on Strategic Environmental Assessment of Government Policies	民國95年4月7日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0090029	1		9	9	環保-環境基本與環評
ENV-98	ENV	2	違反環境影響評估法按日連續處罰執行準則	Guidelines for the Execution of Consecutive Daily Fines for Violations of the Environmental Impact Assessment Act	民國93年11月3日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0090030	1		9	9	環保-環境基本與環評
ENV-01	ENV	1	空氣污染防制法	Air Pollution Control Act	民國107年8月1日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020001	3		100	109	環保-空氣品質（含室內空品）
ENV-02	ENV	1	空氣污染防制法施行細則	Enforcement Rules of the Air Pollution Control Act	民國109年9月18日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020002	1		37	43	環保-空氣品質（含室內空品）
ENV-26	ENV	1	空氣污染防制專責單位或專責人員設置及管理辦法	Regulations on Air Pollution Control Dedicated Units and Personnel	民國108年8月6日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020106	2		23	27	環保-空氣品質（含室內空品）
ENV-27	ENV	1	固定污染源空氣污染物排放標準	Stationary Source Air Pollutant Emission Standards	民國112年6月14日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020006	2		14	15	環保-空氣品質（含室內空品）
ENV-28	ENV	1	空氣品質標準	Air Quality Standards	民國113年9月30日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020007	2		6	6	環保-空氣品質（含室內空品）
ENV-29	ENV	1	空氣品質嚴重惡化警告發布及緊急防制辦法	Regulations on Severe Air Quality Deterioration Warnings and Emergency Control	民國115年3月18日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020015	1		18	18	環保-空氣品質（含室內空品）
ENV-32	ENV	1	固定污染源設置操作及燃料使用許可證管理辦法	Regulations on Stationary Source Installation, Operation and Fuel Use Permits	民國108年9月26日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020012	1		63	63	環保-空氣品質（含室內空品）
ENV-33	ENV	1	空氣污染防制費收費辦法	Regulations on Air Pollution Control Fees	民國111年3月24日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020027	1		28	28	環保-空氣品質（含室內空品）
ENV-34	ENV	1	揮發性有機物空氣污染管制及排放標準	VOC Air Pollution Control and Emission Standards	民國112年12月4日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020030	1		49	49	環保-空氣品質（含室內空品）
ENV-35	ENV	1	鍋爐空氣污染物排放標準	Boiler Air Pollutant Emission Standards	民國114年1月2日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020113	1		9	10	環保-空氣品質（含室內空品）
ENV-03	ENV	1	營建工程空氣污染防制設施管理辦法	Regulations on Air Pollution Control Facilities for Construction Projects	民國110年10月18日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020058	3		20	25	環保-空氣品質（含室內空品）
ENV-04	ENV	1	固定污染源逸散性粒狀污染物空氣污染防制設施管理辦法	Regulations on Control Facilities for Fugitive Particulate Pollutants from Stationary Sources	民國112年7月6日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020078	2		14	17	環保-空氣品質（含室內空品）
ENV-36	ENV	1	汽車停車怠速管理辦法	Regulations on Vehicle Idling Management	民國108年1月25日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020086	1		5	5	環保-空氣品質（含室內空品）
ENV-37	ENV	1	空氣污染行為管制執行準則	Guidelines for Enforcement of Air Pollution Behavior Control	民國108年7月25日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020036	1		13	13	環保-空氣品質（含室內空品）
ENV-38	ENV	1	空氣品質監測站設置及監測準則	Guidelines for Air Quality Monitoring Station Siting and Monitoring	民國108年9月9日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020121	1		13	14	環保-空氣品質（含室內空品）
ENV-30	ENV	1	室內空氣品質管理法	Indoor Air Quality Management Act	民國100年11月23日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0130001	2		24	28	環保-空氣品質（含室內空品）
ENV-31	ENV	1	室內空氣品質標準	Indoor Air Quality Standards	民國101年11月23日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0130005	1		5	5	環保-空氣品質（含室內空品）
ENV-99	ENV	2	中小型廢棄物焚化爐戴奧辛管制及排放標準	Dioxin Control and Emission Standards for Small and Medium-sized Waste Incinerators	民國94年3月16日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020037	1		13	17	環保-空氣品質（含室內空品）
ENV-100	ENV	2	公告場所室內空氣品質檢驗測定管理辦法	Regulations Governing Indoor Air Quality Testing and Measurement of Announced Premises	民國111年6月24日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0130006	1		18	22	環保-空氣品質（含室內空品）
ENV-101	ENV	2	公私場所固定污染源申請改善排放空氣污染物總量及濃度管理辦法	Regulations Governing Public and Private Premises' Applications for Improving the Total Quantity and Concentration of Air Pollutants Emitted from Stationary Pollution Sources	民國108年3月5日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020061	1		14	16	環保-空氣品質（含室內空品）
ENV-102	ENV	2	公私場所固定污染源空氣污染物排放量申報管理辦法	Regulations Governing the Reporting of Air Pollutant Emissions from Stationary Pollution Sources of Public and Private Premises	民國108年6月11日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020066	1		14	17	環保-空氣品質（含室內空品）
ENV-103	ENV	2	公私場所固定污染源復工試車評鑑及管理辦法	Regulations Governing the Resumption of Operation, Trial Run Evaluation, and Management of Stationary Pollution Sources of Public and Private Premises	民國109年1月31日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020063	1		17	17	環保-空氣品質（含室內空品）
ENV-104	ENV	2	公私場所固定污染源違反空氣污染防制法應處罰鍰額度裁罰準則	Guidelines for Determining Fine Amounts for Stationary Pollution Sources of Public and Private Premises in Violation of the Air Pollution Control Act	民國113年12月31日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020038	1		6	8	環保-空氣品質（含室內空品）
ENV-105	ENV	2	公私場所固定污染源燃料混燒比例成分及防制設施管制標準	Control Standards for Fuel Co-firing Ratio, Composition, and Control Equipment of Stationary Pollution Sources of Public and Private Premises	民國114年1月2日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020124	1		8	11	環保-空氣品質（含室內空品）
ENV-106	ENV	2	水泥業空氣污染物排放標準	Air Pollutant Emission Standards for the Cement Industry	民國115年5月18日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020041	1		7	9	環保-空氣品質（含室內空品）
ENV-107	ENV	2	加油站油氣回收設施管理辦法	Regulations Governing Vapor Recovery Facilities at Gas Stations	民國110年5月7日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020045	1		13	18	環保-空氣品質（含室內空品）
ENV-108	ENV	2	半導體製造業空氣污染管制及排放標準	Air Pollution Control and Emission Standards for the Semiconductor Manufacturing Industry	民國112年5月4日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020032	1		8	15	環保-空氣品質（含室內空品）
ENV-110	ENV	2	光電材料及元件製造業空氣污染管制及排放標準	Air Pollution Control and Emission Standards for the Optoelectronic Materials and Components Manufacturing Industry	民國95年1月5日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020073	1		10	15	環保-空氣品質（含室內空品）
ENV-111	ENV	2	汽車製造業表面塗裝作業空氣污染物排放標準	Air Pollutant Emission Standards for Surface Coating Operations of the Motor Vehicle Manufacturing Industry	民國94年12月16日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020029	1		11	14	環保-空氣品質（含室內空品）
ENV-112	ENV	2	汽油及替代清潔燃料引擎汽車排放空氣污染物檢驗站設置及管理辦法	Regulations Governing the Establishment and Management of Inspection Stations for Air Pollutant Emissions from Gasoline and Alternative Clean Fuel Engine Vehicles	民國114年6月11日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020135	1		16	19	環保-空氣品質（含室內空品）
ENV-113	ENV	2	固定污染源有害空氣污染物排放標準	Hazardous Air Pollutant Emission Standards for Stationary Pollution Sources	民國110年2月26日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020128	1		11	11	環保-空氣品質（含室內空品）
ENV-114	ENV	2	固定污染源自行或委託檢測及申報管理辦法	Regulations Governing Self or Commissioned Testing and Reporting by Stationary Pollution Sources	民國111年6月6日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020054	1		34	34	環保-空氣品質（含室內空品）
ENV-115	ENV	2	固定污染源空氣污染物連續自動監測設施管理辦法	Regulations Governing Continuous Automated Monitoring Facilities for Air Pollutants from Stationary Pollution Sources	民國114年1月2日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020068	1		36	42	環保-空氣品質（含室內空品）
ENV-116	ENV	2	固定污染源戴奧辛排放標準	Dioxin Emission Standards for Stationary Pollution Sources	民國95年1月2日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020072	1		7	8	環保-空氣品質（含室內空品）
ENV-117	ENV	2	易致空氣污染之物質使用許可證管理辦法	Regulations Governing Permits for the Use of Substances Prone to Cause Air Pollution	民國109年3月23日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020059	1		14	19	環保-空氣品質（含室內空品）
ENV-118	ENV	2	室內空氣品質管理法施行細則	Enforcement Rules of the Indoor Air Quality Management Act	民國101年11月23日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0130002	1		13	21	環保-空氣品質（含室內空品）
ENV-119	ENV	2	室內空氣品質維護管理專責人員設置管理辦法	Regulations Governing the Assignment and Management of Dedicated Personnel for Indoor Air Quality Maintenance and Management	民國105年8月11日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0130003	1		9	9	環保-空氣品質（含室內空品）
ENV-120	ENV	2	建物及工業維護塗料揮發性有機物成分標準	Volatile Organic Compound Content Standards for Architectural and Industrial Maintenance Coatings	民國108年8月13日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020119	1		7	7	環保-空氣品質（含室內空品）
ENV-121	ENV	2	氟氯烴管理辦法	Regulations Governing the Management of Chlorofluorocarbons	民國114年10月13日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020052	1		23	30	環保-空氣品質（含室內空品）
ENV-122	ENV	2	玻璃業空氣污染物排放標準	Air Pollutant Emission Standards for the Glass Industry	民國103年11月14日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020018	1		7	9	環保-空氣品質（含室內空品）
ENV-123	ENV	2	特殊性工業區緩衝地帶及空氣品質監測設施設置標準	Standards for the Establishment of Buffer Zones and Air Quality Monitoring Facilities in Special Industrial Zones	民國103年3月5日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020022	1		21	34	環保-空氣品質（含室內空品）
ENV-124	ENV	2	乾洗作業空氣污染防制設施管制標準	Control Standards for Air Pollution Control Equipment in Dry Cleaning Operations	民國88年9月22日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020033	1		11	13	環保-空氣品質（含室內空品）
ENV-125	ENV	2	移動污染源空氣污染防制設備管理辦法	Regulations Governing Air Pollution Control Equipment for Mobile Pollution Sources	民國108年6月12日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020025	1		7	8	環保-空氣品質（含室內空品）
ENV-126	ENV	2	移動污染源空氣污染物排放標準	Air Pollutant Emission Standards for Mobile Pollution Sources	民國112年6月30日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020003	1		10	13	環保-空氣品質（含室內空品）
ENV-127	ENV	2	移動污染源違反空氣污染防制法裁罰準則	Guidelines for Fines on Mobile Pollution Sources in Violation of the Air Pollution Control Act	民國113年10月28日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020043	1		5	6	環保-空氣品質（含室內空品）
ENV-128	ENV	2	移動污染源燃料成分管制標準	Fuel Composition Control Standards for Mobile Pollution Sources	民國109年3月20日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020034	1		7	9	環保-空氣品質（含室內空品）
ENV-129	ENV	2	移動污染源燃料販賣進口許可及管理辦法	Regulations Governing the Permitting and Management of the Sale and Import of Fuel for Mobile Pollution Sources	民國108年9月6日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020065	1		18	18	環保-空氣品質（含室內空品）
ENV-131	ENV	2	陶瓷業空氣污染物排放標準	Air Pollutant Emission Standards for the Ceramics Industry	民國109年9月17日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020019	1		6	7	環保-空氣品質（含室內空品）
ENV-132	ENV	2	氯乙烯及聚氯乙烯製造業空氣污染物管制及排放標準	Air Pollution Control and Emission Standards for the Vinyl Chloride and Polyvinyl Chloride Manufacturing Industry	民國110年1月28日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020115	1		13	14	環保-空氣品質（含室內空品）
ENV-133	ENV	2	溴化甲烷管理辦法	Regulations Governing the Management of Methyl Bromide	民國108年2月18日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020057	1		15	16	環保-空氣品質（含室內空品）
ENV-134	ENV	2	煉鋼及鑄造電爐粒狀污染物管制及排放標準	Particulate Matter Control and Emission Standards for Steelmaking and Foundry Electric Arc Furnaces	民國102年11月19日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020017	1		8	9	環保-空氣品質（含室內空品）
ENV-135	ENV	2	煉鋼業電弧爐戴奧辛管制及排放標準	Dioxin Control and Emission Standards for Electric Arc Furnaces in the Steelmaking Industry	民國109年12月23日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020044	1		9	11	環保-空氣品質（含室內空品）
ENV-136	ENV	2	違反空氣污染防制法按次處罰通知限期改善補正或申報執行準則	Guidelines for the Execution of Per-Violation Fines and Notices to Improve, Correct, or Report within a Specified Period for Violations of the Air Pollution Control Act	民國108年8月19日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020062	1		12	15	環保-空氣品質（含室內空品）
ENV-137	ENV	2	違反室內空氣品質管理法罰鍰額度裁罰準則	Guidelines for Determining Fine Amounts for Violations of the Indoor Air Quality Management Act	民國101年11月23日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0130004	1		9	9	環保-空氣品質（含室內空品）
ENV-139	ENV	2	鉛二次冶煉廠空氣污染物排放標準	Air Pollutant Emission Standards for Secondary Lead Smelters	民國110年6月29日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020008	1		8	9	環保-空氣品質（含室內空品）
ENV-140	ENV	2	電力設施空氣污染物排放標準	Air Pollutant Emission Standards for Power Generation Facilities	民國103年12月1日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020026	1		9	12	環保-空氣品質（含室內空品）
ENV-141	ENV	2	聚氨基甲酸酯塗布業揮發性有機物空氣污染管制及排放標準	Volatile Organic Compound Air Pollution Control and Emission Standards for the Polyurethane Coating Industry	民國112年4月25日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020071	1		8	10	環保-空氣品質（含室內空品）
ENV-142	ENV	2	蒙特婁議定書列管化學物質管理辦法	Regulations Governing the Management of Chemical Substances Controlled under the Montreal Protocol	民國108年2月15日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020074	1		24	24	環保-空氣品質（含室內空品）
ENV-143	ENV	2	廢棄物焚化爐空氣污染物排放標準	Air Pollutant Emission Standards for Waste Incinerators	民國95年12月25日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020010	1		15	16	環保-空氣品質（含室內空品）
ENV-144	ENV	2	廢棄物焚化爐戴奧辛管制及排放標準	Dioxin Control and Emission Standards for Waste Incinerators	民國92年8月20日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020031	1		11	13	環保-空氣品質（含室內空品）
ENV-145	ENV	2	熱風乾燥機粒狀污染物排放標準	Particulate Matter Emission Standards for Hot Air Dryers	民國88年3月17日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020028	1		9	9	環保-空氣品質（含室內空品）
ENV-146	ENV	2	膠帶製造業揮發性有機物空氣污染管制及排放標準	Volatile Organic Compound Air Pollution Control and Emission Standards for the Adhesive Tape Manufacturing Industry	民國111年6月22日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020077	1		10	14	環保-空氣品質（含室內空品）
ENV-147	ENV	2	機車排放空氣污染物檢驗站設置及管理辦法	Regulations Governing the Establishment and Management of Inspection Stations for Air Pollutant Emissions from Motorcycles	民國113年4月17日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020056	1		23	28	環保-空氣品質（含室內空品）
ENV-148	ENV	2	磚瓦窯業開放式隧道窯粒狀污染物排放標準	Particulate Matter Emission Standards for Open Tunnel Kilns in the Brick and Tile Industry	民國88年4月7日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020020	1		7	7	環保-空氣品質（含室內空品）
ENV-149	ENV	2	鋼鐵業集塵灰高溫冶煉設施戴奧辛管制及排放標準	Dioxin Control and Emission Standards for High-temperature Smelting Facilities for Collected Dust in the Steel Industry	民國94年10月12日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020070	1		9	10	環保-空氣品質（含室內空品）
ENV-150	ENV	2	鋼鐵業燒結工場空氣污染物排放標準	Air Pollutant Emission Standards for Sintering Plants in the Steel Industry	民國101年6月14日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020011	1		7	8	環保-空氣品質（含室內空品）
ENV-151	ENV	2	鋼鐵業燒結工場戴奧辛管制及排放標準	Dioxin Control and Emission Standards for Sintering Plants in the Steel Industry	民國93年6月16日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020069	1		9	9	環保-空氣品質（含室內空品）
ENV-152	ENV	2	餐飲業空氣污染防制設施管理辦法	Regulations Governing Air Pollution Control Equipment for the Food and Beverage Service Industry	民國110年8月24日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020127	1		8	10	環保-空氣品質（含室內空品）
ENV-153	ENV	2	瀝青拌合業粒狀污染物排放標準	Particulate Matter Emission Standards for the Asphalt Mixing Industry	民國88年4月7日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020021	1		8	8	環保-空氣品質（含室內空品）
