id	law_group	law_id	law	article	law_version	category	difficulty	q_zh	a_zh	b_zh	c_zh	d_zh	q_en	a_en	b_en	c_en	d_en	answer	explain_zh	explain_en	status	batch	reviewer	review_note
OSH-0014	OSH	OSH-01	職業安全衛生法	第7條	民國114年12月19日	機械設備	2	依本法第7條，對於中央主管機關指定之機械、設備或器具，其構造、性能及防護不符安全標準者，下列何種行為是被禁止的？	產製運出廠場、輸入、租賃、供應或設置	進行維修、保養或零件更換等相關作業	出口、轉運或於國外展覽陳列該等產品	於工作場所張貼標示或懸掛使用說明書	Under Article 7, for machinery, equipment or tools designated by the central competent authority whose structure, performance and protection do not meet safety standards, which act is prohibited?	Manufacturing for shipment, importing, leasing, supplying or installing	Carrying out maintenance, servicing or replacement of parts	Exporting, transshipping or displaying them at overseas exhibitions	Posting labels or hanging operating manuals in the workplace	a	第7條第1項：製造者、輸入者、供應者或雇主，對於指定之機械、設備或器具，其構造、性能及防護非符合安全標準者，不得產製運出廠場、輸入、租賃、供應或設置。	Article 7(1): manufacturers, importers, suppliers or employers shall not manufacture for shipment, import, lease, supply or install designated machinery, equipment or tools that do not meet safety standards.	draft	1		
OSH-0015	OSH	OSH-01	職業安全衛生法	第7條	民國114年12月19日	機械設備	2	依本法第7條第3項，製造者或輸入者對於符合安全標準之指定機械、設備或器具，應辦理下列何事？	於中央主管機關指定之資訊申報網站登錄，並於產品明顯處張貼安全標示	向地方主管機關申請營業登記，並於產品包裝標示製造廠商名稱	向勞動檢查機構申請竣工檢查，並於產品明顯處張貼檢查合格證	向保險公司投保產品責任保險，並於產品明顯處標示保險期間	Under Article 7(3), for designated machinery, equipment or tools that meet safety standards, the manufacturer or importer shall:	Register on the central competent authority's designated information reporting website and affix a safety label conspicuously on the product	Apply for business registration with the local competent authority and mark the manufacturer's name on the product packaging	Apply to the labor inspection agency for a completion inspection and affix the inspection certificate conspicuously on the product	Take out product liability insurance with an insurer and affix a label showing the insured period conspicuously on the product	a	第7條第3項：符合安全標準者，應於中央主管機關指定之資訊申報網站登錄，並於其產製或輸入之產品明顯處張貼安全標示，以供識別。	Article 7(3): products meeting the safety standards shall be registered on the designated information reporting website and bear a safety label in a conspicuous place for identification.	draft	1		
OSH-0016	OSH	OSH-01	職業安全衛生法	第8條	民國114年12月19日	機械設備	2	經中央主管機關公告列入型式驗證之機械、設備或器具，須符合何條件始得產製運出廠場或輸入？	經全國性同業公會實施產品審查合格及核發審查通過證明	經雇主指定之內部品管單位實施自主檢查合格及建檔備查	經中央主管機關認可之驗證機構實施型式驗證合格及張貼合格標章	經地方主管機關實施書面備查合格及公告於機關網站	For machinery, equipment or tools announced as subject to type certification, what condition must be met before manufacturing for shipment or import?	Passing a product review conducted by the national trade association and obtaining its approval certificate	Passing self-inspection by an internal quality unit designated by the employer and keeping the records on file	Passing type certification by a certification body approved by the central competent authority and affixing a conformity mark	Passing a documentary review by the local competent authority and being announced on that authority's official website	c	第8條第1項：非經中央主管機關認可之驗證機構實施型式驗證合格及張貼合格標章，不得產製運出廠場或輸入。	Article 8(1): they shall not be manufactured for shipment or imported unless type-certified by an approved certification body and affixed with a conformity mark.	draft	1		
OSH-0017	OSH	OSH-01	職業安全衛生法	第8條	民國114年12月19日	機械設備	3	依本法第8條第2項，下列何種情形得免實施型式驗證？	產品售價低於一定金額，並有會計師出具價格查核報告	已投保產品責任保險，並有保險公司出具承保證明文件	製造者自行評估品質良好，並有內部品管單位出具報告	供國防軍事用途使用，並有國防部或其直屬機關出具證明	Under Article 8(2), which of the following may be exempted from type certification?	Priced below a certain amount with a price verification report issued by a certified public accountant firm	Covered by product liability insurance with a certificate of coverage issued by the underwriting insurance company	Assessed as being of good quality by the manufacturer, with an inspection report issued by its internal quality control unit	Used for national defense purposes with a certificate issued by the Ministry of National Defense or its directly subordinate agency	d	第8條第2項免驗證情形包括：依第16條或其他法律實施檢查驗證認可、供國防軍事用途並有國防部證明、限量製造供研發測試經核准、商業樣品或展覽品經核准、其他特殊情形經核准。	Article 8(2) exemptions include: inspection/certification under Article 16 or other laws; national defense use with MND certificate; limited quantity for R&D/testing with approval; commercial samples or exhibits with approval; other special cases with approval.	draft	1		
OSH-0018	OSH	OSH-01	職業安全衛生法	第9條	民國114年12月19日	機械設備	2	依本法第9條，下列何種產品不得使用安全標示或驗證合格標章？	依法免驗證且已完成網站登錄之進口產品	已完成資訊申報網站登錄且標示完整之產品	已取得型式驗證合格並張貼合格標章之產品	資訊申報網站登錄逾期或型式驗證逾期之產品	Under Article 9, which product may NOT bear a safety label or certification mark?	An imported product legally exempt from certification and duly registered	A product that has completed website registration and is fully labeled	A product that has passed type certification and bears a conformity mark	A product whose website registration or type certification has expired	d	第9條第1項：對於未完成資訊申報網站登錄、未取得型式驗證合格、登錄逾期或型式驗證逾期之產品，不得使用安全標示、驗證合格標章或易生混淆之類似標示。	Article 9(1): safety labels, conformity marks or confusingly similar marks shall not be used on products that have not completed registration, have not passed type certification, or whose registration or certification has expired.	draft	1		
OSH-0019	OSH	OSH-01	職業安全衛生法	第10條	民國114年12月19日	化學品管理	1	依本法第10條，雇主對於具有危害性之化學品，應辦理下列何者？	集中鎖存於專用倉庫，並由管理員定期清點數量及品項	於員工朝會口頭告知勞工，並請勞工簽名確認已知悉	標示、製備清單及揭示安全資料表，並採取必要之通識措施	全面改用進口化學品，並由供應商代為辦理通識措施	Under Article 10, for hazardous chemicals the employer shall:	Lock them in a dedicated warehouse and have the storekeeper periodically count the quantities and item types	Inform the laborers verbally at the morning assembly and have each of them sign to confirm they are aware	Label them, prepare an inventory, make safety data sheets available and take necessary hazard communication measures	Switch entirely to imported chemicals and let the supplier carry out all the hazard communication measures	c	第10條第1項：雇主對於具有危害性之化學品，應予標示、製備清單及揭示安全資料表，並採取必要之通識措施。	Article 10(1): the employer shall label hazardous chemicals, prepare an inventory, make safety data sheets available and take necessary hazard communication measures.	draft	1		
OSH-0020	OSH	OSH-01	職業安全衛生法	第10條	民國114年12月19日	化學品管理	2	製造者、輸入者或供應者提供危害性化學品予事業單位前，應辦理何事？資料異動時如何處理？	僅需檢附出貨發票及型錄；資料異動時免再處理	以電話口頭說明危害特性即可；異動時免通知	予以標示及提供安全資料表；資料異動時亦同	僅需提供產品價格表及規格說明；異動時亦同	Before providing hazardous chemicals to an enterprise, what must manufacturers, importers or suppliers do, and what about when the information changes?	Only attach a shipping invoice and catalogue; no action needed when information changes	Explain the hazards verbally by phone; no notification needed when information changes	Label them and provide safety data sheets; the same applies when information changes	Only provide a price list and specification sheet; the same applies when information changes	c	第10條第2項：製造者、輸入者或供應者，提供化學品與事業單位或自營作業者前，應予標示及提供安全資料表；資料異動時，亦同。	Article 10(2): before providing chemicals to an enterprise or self-employed person, they shall label the chemicals and provide safety data sheets; the same applies when the information changes.	draft	1		
OSH-0021	OSH	OSH-01	職業安全衛生法	第11條	民國114年12月19日	化學品管理	2	依本法第11條，雇主對危害性化學品應依何種情形評估風險等級並採取分級管理措施？	保存期限、供應商信用及付款條件	採購價格、品牌知名度及產地	包裝顏色、容器容量及材質	健康危害、散布狀況及使用量	Under Article 11, based on what factors shall the employer assess the risk level of hazardous chemicals and adopt graded management?	Shelf life, supplier credit rating and payment terms	Purchase price, brand reputation and country of origin	Packaging color, container volume and material used	Health hazards, dispersion conditions and quantity used	d	第11條第1項：雇主對於前條之化學品，應依其健康危害、散布狀況及使用量等情形，評估風險等級，並採取分級管理措施。	Article 11(1): the employer shall assess the risk level based on health hazards, dispersion conditions and quantity used, and adopt graded management measures.	draft	1		
OSH-0022	OSH	OSH-01	職業安全衛生法	第12條	民國114年12月19日	化學品管理	1	對於中央主管機關定有容許暴露標準之作業場所，雇主應確保勞工之危害暴露如何？	高於標準值亦可	等於標準值	低於標準值	無需管理	For operation sites with permissible exposure limits set by the central competent authority, the employer shall ensure laborers' hazard exposure is:	Above the limit is acceptable	Equal to the limit	Below the limit	Not managed	c	第12條第1項：雇主對於中央主管機關定有容許暴露標準之作業場所，應確保勞工之危害暴露低於標準值。	Article 12(1): the employer shall ensure that laborers' hazard exposure is below the permissible exposure limit.	draft	1		
OSH-0023	OSH	OSH-01	職業安全衛生法	第12條	民國114年12月19日	化學品管理	2	依本法第12條第3項，雇主對經中央主管機關指定之作業場所，應訂定何種計畫並由何者實施監測？	緊急應變計畫；由當地消防機關派員前往實施	品質管理計畫；由事業單位品管部門自行實施	年度預算計畫；由事業單位財務部門編列實施	作業環境監測計畫；由認可之作業環境監測機構實施	Under Article 12(3), for operation sites designated by the central competent authority, the employer shall formulate what plan, and who conducts the monitoring?	An emergency response plan; monitoring carried out by personnel of the local fire authority	A quality management plan; monitoring carried out by the enterprise's own quality control unit	An annual budget plan; monitoring carried out by the enterprise's own finance department staff	A workplace environment monitoring plan; monitoring by an approved environment monitoring institution	d	第12條第3項：應訂定作業環境監測計畫，並設置或委託由中央主管機關認可之作業環境監測機構實施監測。指定免經監測機構分析之項目得僱用合格監測人員辦理。	Article 12(3): the employer shall formulate a workplace environment monitoring plan and establish or commission a monitoring institution approved by the central competent authority to conduct the monitoring.	draft	1		
OSH-0024	OSH	OSH-01	職業安全衛生法	第12條	民國114年12月19日	化學品管理	2	雇主對作業環境監測計畫及監測結果，應如何處理？	僅交由企業工會存查保管即可	列為機密文件，不得對外公開	於保存三年後銷毀避免資料外洩	公開揭示，並通報中央主管機關	How shall the employer handle the workplace environment monitoring plan and results?	Hand them over to the enterprise union for safekeeping only	Keep them as confidential documents that may not be disclosed	Destroy them after three years of storage to prevent leakage	Publicly disclose them and report to the central competent authority	d	第12條第4項：雇主對於監測計畫及監測結果，應公開揭示，並通報中央主管機關。中央主管機關或勞動檢查機構得實施查核。	Article 12(4): the employer shall publicly disclose the monitoring plan and results and report them to the central competent authority, which may conduct audits.	draft	1		
OSH-0025	OSH	OSH-01	職業安全衛生法	第13條	民國114年12月19日	化學品管理	2	製造者或輸入者對於化學物質清單以外之「新化學物質」，於製造或輸入前應完成何事？	於全國性報紙刊登公開廣告，並函知同業公會備查	取得國際標準組織品質管理系統認證，並公告周知	向中央主管機關繳交化學物質安全評估報告，並經核准登記	向海關申報化學物質成分及數量，並取得放行通知	Before manufacturing or importing a 'new chemical substance' not on the chemical substance inventory, a manufacturer or importer shall:	Publish a public advertisement in a national newspaper and notify the trade association for its record	Obtain an ISO quality management system certification and publicly announce that certification to the trade	Submit a chemical substance safety assessment report to the central competent authority and obtain approved registration	Declare the chemical substance's composition and quantity to the customs authority and obtain a release notice	c	第13條第1項：對於中央主管機關公告之化學物質清單以外之新化學物質，未向中央主管機關繳交化學物質安全評估報告，並經核准登記前，不得製造或輸入含有該物質之化學品。	Article 13(1): chemicals containing a new chemical substance shall not be manufactured or imported until a safety assessment report has been submitted and registration approved.	draft	1		
OSH-0026	OSH	OSH-01	職業安全衛生法	第14條	民國114年12月19日	化學品管理	2	依本法第14條第1項，對於經中央主管機關指定之「管制性化學品」，原則上如何？	不得製造、輸入、供應或供工作者處置、使用，但經中央主管機關許可者不在此限	僅須依規定標示及提供安全資料表，即得製造、輸入及供工作者使用	僅須將運作資料報請地方主管機關備查，即得製造、輸入及供工作者使用	得自由製造、輸入、供應或供工作者處置使用，無須經中央主管機關許可	Under Article 14(1), what is the rule for 'controlled chemicals' designated by the central competent authority?	They shall not be manufactured, imported, supplied or handled/used by workers, unless permitted by the central competent authority	Labeling them and providing safety data sheets alone allows them to be manufactured, imported and used by workers	Reporting the operation data to the local competent authority alone allows their manufacture, import and use	They may be freely manufactured, imported, supplied or handled and used by workers without any permit from the authority	a	第14條第1項：對於經中央主管機關指定之管制性化學品，不得製造、輸入、供應或供工作者處置、使用。但經中央主管機關許可者，不在此限。	Article 14(1): controlled chemicals shall not be manufactured, imported, supplied or handled/used by workers unless permitted by the central competent authority.	draft	1		
OSH-0027	OSH	OSH-01	職業安全衛生法	第14條	民國114年12月19日	化學品管理	2	對於中央主管機關指定之「優先管理化學品」，製造者、輸入者、供應者或雇主應如何辦理？	將相關運作資料報請中央主管機關備查	完全禁止製造使用，無須報請任何機關	將相關運作資料報請地方主管機關核准	將相關運作資料報請勞動檢查機構許可	For 'priority management chemicals' designated by the central competent authority, manufacturers, importers, suppliers or employers shall:	Report the relevant operation data to the central competent authority for record	Stop all manufacture and use entirely, with no report to any authority	Report the relevant operation data to the local competent authority for approval	Report the relevant operation data to the labor inspection agency for a permit	a	第14條第2項：對於中央主管機關指定之優先管理化學品，應將相關運作資料報請中央主管機關備查。	Article 14(2): relevant operation data of priority management chemicals shall be reported to the central competent authority for record.	draft	1		
OSH-0028	OSH	OSH-01	職業安全衛生法	第15條	民國114年12月19日	製程安全	2	依本法第15條，下列何種工作場所應定期實施製程安全評估並製作報告？	從事石油裂解之石化工業	餐飲業廚房調理場所	小型零售商店賣場	一般行政辦公大樓場所	Under Article 15, which workplace shall periodically conduct process safety assessment and prepare a report?	Petrochemical industry engaged in petroleum cracking	A restaurant kitchen used for food preparation	A small retail shop with a sales floor	A general administrative office building workplace	a	第15條第1項：從事石油裂解之石化工業，及從事製造、處置或使用危害性化學品數量達規定量以上之工作場所，應依規定期限定期實施製程安全評估，製作報告並採取必要之預防措施；製程修改時亦同。	Article 15(1): petrochemical plants engaged in petroleum cracking, and workplaces manufacturing, handling or using hazardous chemicals above the prescribed quantity, shall periodically conduct process safety assessment, prepare reports and take preventive measures; the same applies when the process is modified.	draft	1		
OSH-0029	OSH	OSH-01	職業安全衛生法	第15條	民國114年12月19日	製程安全	2	製程安全評估報告，事業單位應報請何機關備查？	勞動檢查機構	地方消防機關	環保機關	經濟部工業局	To which agency shall the enterprise submit the process safety assessment report for record?	The labor inspection agency	The local fire authority	The environmental protection authority	The Industrial Development Bureau	a	第15條第2項：前項製程安全評估報告，事業單位應報請勞動檢查機構備查。	Article 15(2): the process safety assessment report shall be submitted to the labor inspection agency for record.	draft	1		
OSH-0030	OSH	OSH-01	職業安全衛生法	第15-1條	民國114年12月19日	工程安全	3	依本法第15條之1，事業單位將一定規模以上之工程交付規劃、設計時，應辦理下列何者？	分析潛在施工危害，編製安全衛生圖說及規範，量化編列安全衛生費用，並製作工程規劃設計安全分析報告	分析潛在施工成本，編製工程預算書及發包文件，量化編列工程管理費用，並製作工程規劃設計成本分析報告	分析潛在施工進度，編製施工進度網圖及計畫，量化編列趕工獎金費用，並製作工程施工進度管制查核報告	分析潛在營運風險，編製營造綜合保險文件，量化編列保險費用，並製作工程保險理賠處理作業報告	Under Article 15-1, when an enterprise commissions planning and design of a construction project above a certain scale, it shall:	Analyze potential construction hazards, prepare safety and health drawings and specifications, quantify safety and health costs, and prepare a planning and design safety analysis report	Analyze potential construction costs, prepare the project budget and tender documents, quantify project management costs, and prepare a planning and design cost analysis report	Analyze potential schedule risks, prepare the construction schedule network and plan, quantify acceleration bonus costs, and prepare a schedule control audit report	Analyze potential operating risks, prepare contractor's all-risk insurance documents, quantify insurance premium costs, and prepare an insurance claim handling report	a	第15條之1第1項：應依其工程特性，分析潛在施工危害，編製安全衛生圖說及規範，量化編列安全衛生費用，並製作工程規劃設計安全分析報告。	Article 15-1(1): based on the project characteristics, analyze potential construction hazards, prepare safety and health drawings and specifications, quantify safety and health costs, and prepare a planning and design safety analysis report.	draft	1		
OSH-0031	OSH	OSH-01	職業安全衛生法	第15-1條	民國114年12月19日	工程安全	3	依本法第15條之1第2項，事業單位將工程交付施工時，應使施工者事前依工程規劃設計安全分析報告做什麼？	轉交報告予監造單位，由監造單位代為評估風險並納入計畫	評估施工風險，採取必要預防設備及措施，納入施工計畫書並確實執行	閱讀報告內容，於報告封面簽名確認，送交監造單位存查即可	評估施工成本，編列必要預備工程費用，納入工程預算書並確實執行	Under Article 15-1(2), when commissioning construction, the enterprise shall require the contractor, based on the safety analysis report, to:	Forward the report to the supervising unit and let that unit assess the risks and incorporate them into the plan	Assess construction risks, adopt necessary preventive equipment and measures, incorporate them into the construction plan and implement them	Read the report, sign the cover page to confirm receipt, and send the signed report to the supervising unit for filing	Assess construction costs, budget the necessary contingency expenses, incorporate them into the project budget and implement them	b	第15條之1第2項：應使該施工者於事前依工程規劃設計安全分析報告，評估施工風險，採取必要之預防設備及措施，納入施工計畫書，並確實執行。第3項：事業單位應指派人員或委託專業機構監督及查證。	Article 15-1(2): the contractor shall assess construction risks in advance based on the report, adopt necessary preventive equipment and measures, incorporate them into the construction plan and implement them; under paragraph 3 the enterprise shall assign personnel or a professional body to supervise and verify.	draft	1		
OSH-0032	OSH	OSH-01	職業安全衛生法	第16條	民國114年12月19日	機械設備	1	經中央主管機關指定具有危險性之機械或設備，須經何者檢查合格始得使用？	勞動檢查機構或中央主管機關指定之代行檢查機構	製造廠商依規定自行實施檢查之內部檢查單位	全國性同業公會設置之產品審查委員會	事業單位雇主指定之內部自動檢查人員	Designated dangerous machinery or equipment may be used only after passing inspection by:	The labor inspection agency or an agent inspection institution designated by the central competent authority	The inspection unit of the manufacturer that carries out self-inspection under the relevant regulations	The product review committee established by the national trade association of the industry	The internal automatic inspection personnel designated by the employer of the enterprise	a	第16條第1項：非經勞動檢查機構或中央主管機關指定之代行檢查機構檢查合格，不得使用；其使用超過規定期間者，非經再檢查合格，不得繼續使用。	Article 16(1): they shall not be used unless inspected and passed by the labor inspection agency or a designated agent inspection institution; after the prescribed period, re-inspection is required.	draft	1		
OSH-0033	OSH	OSH-01	職業安全衛生法	第17條	民國114年12月19日	安全衛生設施	2	勞工工作場所之建築物，應由何人依建築法規及本法安全衛生規定設計？	職業安全衛生管理員	雇主本人或其指定人員	工地主任或工地負責人	依法登記開業之建築師	Buildings used as laborers' workplaces shall be designed by whom, in accordance with building regulations and the safety and health provisions of the Act?	An occupational safety and health administrator	The employer personally or a designated person	The site director or the site person in charge	A legally registered practicing architect	d	第17條：勞工工作場所之建築物，應由依法登記開業之建築師依建築法規及本法有關安全衛生之規定設計。	Article 17: buildings of laborers' workplaces shall be designed by a legally registered practicing architect in accordance with building regulations and the safety and health provisions of the Act.	draft	1		
