ENV-0490	ENV	ENV-29	空氣品質嚴重惡化警告發布及緊急防制辦法	第2條	民國115年3月18日	空品惡化-警告等級	1	空氣品質惡化警告依污染程度區分為幾類別幾等級？各類別之等級細分為何？	預警（初級、中級）及嚴重惡化（輕度、中度、重度）二類別五等級	預警（初級、中級、高級）及嚴重惡化（輕度、重度）二類別五等級	預警（初級）及嚴重惡化（輕度、中度、重度、極重度）二類別五等級	預警（輕度、中度）及嚴重惡化（初級、中級、重度）二類別五等級	Air quality deterioration warnings are divided into how many categories and levels, and how are they subdivided?	Alert (primary, intermediate) and severe deterioration (mild, moderate, heavy): two categories, five levels	Alert (primary, intermediate, advanced) and severe deterioration (mild, heavy): two categories, five levels	Alert (primary only) and severe deterioration (mild, moderate, heavy, extreme): two categories, five levels	Alert (mild, moderate) and severe deterioration (primary, intermediate, heavy): two categories, five levels	a	第2條：空氣品質惡化警告等級依污染程度區分為預警（細分初級、中級）及嚴重惡化（細分輕度、中度或重度）二類別五等級，依懸浮微粒、細懸浮微粒、二氧化硫、二氧化氮、一氧化碳及臭氧之濃度條件依附件一判定。所稱空氣品質嚴重惡化，包含任一空氣污染物濃度達附件一所定輕度、中度或重度嚴重惡化等級者。	Article 2 sets two categories and five levels, judged against the pollutant concentrations in Annex 1.	draft	9		
ENV-2289	ENV	ENV-50	飲用水水質標準	第3-1條	民國113年11月25日	飲用水-全氟超標通報	3	檢驗全氟及多氟烷基物質任一項目超過最大限值時，供水或管理單位應如何辦理？管理計畫執行期限為何？	應於出具檢測報告日起十四日內通報自來水法中央主管機關，並於六十日內提出飲用水水質改善計畫送公會備查；不論是否增購設備均應於一年內執行完成	應於出具檢測報告日起三十日內通報中央主管機關等機關，並於九十日內提出飲用水水質管理計畫送核准；未涉增購設備或工程者一個月內執行完成，涉及者至遲一年內完成	應於出具檢測報告日起二十四小時內通報地方主管機關，並於七日內提出飲用水水質管理計畫送備查；未涉增購設備或工程者六個月內執行完成，涉及者至遲五年內完成	應於出具檢測報告日起七日內通報中央主管機關等機關，並於三十日內提出飲用水水質管理計畫送備查；未涉增購設備或工程者三個月內執行完成，涉及者至遲二年內完成	If any PFAS item exceeds its maximum limit, the supplier must:	Notify the water supply central authority within 14 days and file an improvement plan with the association within 60 days; complete within one year regardless	Notify the central authorities within 30 days of the test report and submit a water quality management plan for approval within 90 days; complete it in 1 month, or at most 1 year if works are needed	Notify local authorities within 24 hours and submit a plan within 7 days; complete it in 6 months, or at most 5 years if equipment or works are needed	Notify the central authorities within 7 days of the test report and submit a water quality management plan within 30 days; complete it in 3 months, or at most 2 years if equipment or works are needed	d	第3-1條第2項：經檢驗其水質任一項目超過最大限值時，應於出具檢測報告日起七日內通報中央主管機關、自來水法中央主管機關及所在地直轄市、縣（市）主管機關，並於三十日內提出飲用水水質管理計畫送中央主管機關備查。第3-1條第4項：管理計畫未涉增購設備或工程施作者，應於送達之日起三個月內執行完成；涉及增購設備或工程施作者，至遲二年內完成；因天災不可抗力得於期限屆滿前三十日內申請展延。	Article 3-1, paragraphs 2 and 4.	draft	9		
ENV-2291	ENV	ENV-50	飲用水水質標準	第5條	民國113年11月25日	飲用水-災害餘氯放寬	2	自來水因暴雨或其他天然災害致水源濁度超過一五○○ NTU 時，自由有效餘氯適用何種水質標準？	自由有效餘氯限值範圍為○‧五～五‧○ 毫克／公升，且僅限二氧化氯消毒之系統適用	自由有效餘氯限值範圍為○‧二～三‧○ 毫克／公升，且僅限加氯消毒之供水系統適用	自由有效餘氯限值範圍為一‧○～三‧○ 毫克／公升，且僅限簡易自來水供水系統適用	自由有效餘氯限值範圍為○‧二～一‧○ 毫克／公升，且所有消毒方式之供水系統均適用	When source turbidity exceeds 1500 NTU due to a natural disaster, free residual chlorine may follow:	A range of 0.5-5.0 mg/L, applicable only to chlorine dioxide disinfecting systems	A range of 0.2-3.0 mg/L, applicable only to chlorine-disinfecting supply systems	A range of 1.0-3.0 mg/L, applicable only to simplified tap water supply systems	A range of 0.2-1.0 mg/L, applicable to supply systems using any disinfection method	b	第5條：自來水、簡易自來水、社區自設公共給水因暴雨或其他天然災害致飲用水水源濁度超過一五○○ NTU 時，其飲用水水質自由有效餘氯（僅限加氯消毒之供水系統）得適用○‧二～三‧○ 毫克／公升之標準。相較第3條第3款第4目之平時限值○‧二～一‧○ 毫克／公升為寬。第4條並定同一情形濁度最大限值為四 NTU。	Article 5 (compare Article 3 and Article 4).	draft	9		
ENV-2293	ENV	ENV-50	飲用水水質標準	第7條	民國113年11月25日	飲用水-檢驗方法	1	飲用水水質標準所定各水質項目之檢驗方法，由何機關訂定公告？	本標準所定各水質項目之檢驗方法，由中央主管機關訂定公告之	本標準所定各水質項目之檢驗方法，由直轄市主管機關訂定公告	本標準所定各水質項目之檢驗方法，由自來水事業自行訂定公告	本標準所定各水質項目之檢驗方法，由檢驗測定機構公會訂定之	Who prescribes the testing methods for the water quality items in these Standards?	The central competent authority prescribes and announces the methods	The municipal competent authority prescribes and announces the methods	Each waterworks enterprise prescribes and announces its own methods	The association of testing organizations prescribes the methods	a	第7條：本標準所定各水質項目之檢驗方法，由中央主管機關訂定公告之。此與第8條主管機關得委託合格檢驗測定機構協助辦理檢驗之規定相互配合。	Article 7.	draft	9		
ENV-2294	ENV	ENV-50	飲用水水質標準	第8條	民國113年11月25日	飲用水-委託檢驗	1	主管機關辦理飲用水水質標準所定水質之檢驗時，得如何辦理？	須先報請中央主管機關逐案同意後始得辦理該水質之檢驗	得委託合格之檢驗測定機構協助辦理該項水質之檢驗工作	應由其所屬環境檢驗所獨立完成，不得委託其他機構辦理	得委由受檢之供水單位自行辦理檢驗並自行出具檢測報告	When conducting water quality testing under these Standards, the competent authority may:	Proceed only after obtaining case-by-case consent from the central authority	Commission qualified environmental testing organizations to assist with the testing	Only use its own affiliated testing institute, with no commissioning permitted	Let the supplier being examined carry out and report the testing by itself	b	第8條：主管機關辦理本標準水質之檢驗，得委託合格之檢驗測定機構協助辦理。所稱合格之檢驗測定機構，指經中央主管機關核發許可證之環境檢驗測定機構。第7條並規定檢驗方法由中央主管機關訂定公告。	Article 8.	draft	9		
ENV-2295	ENV	ENV-50	飲用水水質標準	第9條	民國113年11月25日	飲用水-施行日	1	飲用水水質標準之施行日期規定為何？	本標準規定事項，除另定施行日期者外，溯及既往適用	本標準規定事項，一律自發布後六個月屆滿之日起施行	本標準規定事項，自中央主管機關另行公告之日起施行	本標準規定事項，除另定施行日期者外，自發布日施行	The effective date rule of the Drinking Water Quality Standards is:	Provisions take effect on promulgation and apply retroactively as well	All provisions take effect six months after the date of promulgation	Provisions take effect on a date separately announced by the central authority	Provisions take effect on the promulgation date unless a separate date is set	d	第9條：本標準規定事項，除另定施行日期者外，自發布日施行。此一但書呼應第3條表中鎳、汞、氯乙烯、順-1,2-二氯乙烯、鋁等項目及第3-1條全氟及多氟烷基物質標準均定有各自之施行日期。	Article 9.	draft	9		
ENV-2664	ENV	ENV-56	廢棄物清理專業技術人員管理辦法	第1條	民國111年11月29日	廢清技術人員-授權依據	1	廢棄物清理專業技術人員管理辦法係依何法條授權訂定？	依職業安全衛生法第六條規定訂定	依廢棄物清理法第四十二條規定訂定	依水污染防治法第二十一條規定訂定	依廢棄物清理法第四十四條規定訂定	Under which provision were the Regulations for Waste Clearance Professional Technical Personnel issued?	Article 6 of the Occupational Safety and Health Act	Article 42 of the Waste Disposal Act	Article 21 of the Water Pollution Control Act	Article 44 of the Waste Disposal Act	d	第1條：本辦法依廢棄物清理法（本法）第四十四條規定訂定之。至於公民營廢棄物清除處理機構許可管理辦法則係依本法第42條訂定，二者授權依據不同。第2條並規定專業技術人員之設置對象包括本法第28條第2項至第5項及第42條所定之設施機構。	Article 1.	draft	9		
ENV-2666	ENV	ENV-56	廢棄物清理專業技術人員管理辦法	第3條	民國111年11月29日	廢清技術人員-常駐規定	2	依規定設置之專業技術人員應如何常駐？未能常駐時應如何處理？	應於設施機構實際營運時間內每日到場二次；因故未能到場者，應由設施機構負責人代為簽章並作成書面紀錄	應於勞動基準法所定工作時間內以視訊方式監控；因故未能監控者，應於事後三日內補行現場查核並作成紀錄	應於勞動基準法所定工作時間內常駐於設施機構；因故未能常駐者，應備有請假紀錄或其他相關證明文件以備查閱	應於每月至少十五個工作日常駐於設施機構；因故未能常駐者，應報請主管機關核准後始得請假離開設施機構	How must the personnel be stationed, and what applies if they cannot be?	On site twice a day during the facility own actual operating hours; if absent, the responsible person signs on their behalf and makes a written record	Monitoring by video during Labor Standards Act working hours; if unable to monitor, an on-site check within three days afterwards	Stationed at the facility during Labor Standards Act working hours; if absent for cause, leave records or other supporting documents must be kept for inspection	Stationed at least fifteen working days a month; if unable to be present, prior approval from the competent authority is required	c	第3條：依本法第28條第2項至第5項及第42條所定公告或管理辦法規定所設置之專業技術人員，應於勞動基準法所定工作時間內常駐於設施機構；因故未能常駐在設施機構者，應備有請假紀錄或其他相關證明文件，以備查閱。第2條並規定專業技術人員應由訓練合格並取得合格證書者擔任。	Article 3.	draft	9		
ENV-2672	ENV	ENV-56	廢棄物清理專業技術人員管理辦法	第9條	民國111年11月29日	廢清技術人員-施行日	1	廢棄物清理專業技術人員管理辦法之施行日期規定為何？	本辦法自發布日施行，未另定其他施行日期	本辦法自發布後一年施行，並溯及既往而適用	本辦法自發布後三個月施行，並定有過渡條款	本辦法自中央主管機關另行公告之日起施行之	The effective date rule of these Regulations is:	They take effect on the date of promulgation, with no separate date set	They take effect one year after promulgation and apply retroactively	They take effect three months after promulgation, with transitional rules	They take effect on a date separately announced by the central authority	a	第9條：本辦法自發布日施行。本辦法最近一次修正日期為民國一百十一年十一月二十九日，並未另定施行日期，故修正條文自發布日生效。	Article 9.	draft	9		
ENV-2205	ENV	ENV-51	土壤處理標準	第1條	民國95年10月16日	土壤處理-授權依據	1	土壤處理標準係依何法條授權訂定？	依廢棄物清理法第三十九條第二項規定訂定	依水污染防治法第十三條第三項規定訂定	依土壤及地下水污染整治法第六條規定訂定	依水污染防治法第三十二條第三項規定訂定	Under which provision were the Soil Treatment Standards issued?	Article 39, paragraph 2 of the Waste Disposal Act	Article 13, paragraph 3 of the Water Pollution Control Act	Article 6 of the Soil and Groundwater Pollution Remediation Act	Article 32, paragraph 3 of the Water Pollution Control Act	d	第1條：本標準依水污染防治法（本法）第三十二條第三項規定訂定之。水污染防治法第32條第1項禁止廢（污）水注入地下水體或排放於土壤，第2項定有例外，第3項授權中央主管機關訂定土壤處理標準。	Article 1.	draft	9		
ENV-2207	ENV	ENV-51	土壤處理標準	第3條	民國95年10月16日	土壤處理-得採業別	1	依第3條規定，下列哪些事業或污水下水道系統得採土壤處理？	畜牧業、屠宰業、製糖業及社區專用污水下水道系統	畜牧業、動物園、製糖業及公共污水下水道系統	畜牧業、動物園、製藥業及工業區專用污水下水道系統	農業、動物園、造紙業及新開發社區專用污水下水道	Which enterprises or sewerage systems may use soil treatment under Article 3?	Livestock farming, slaughterhouses, sugar refining and community sewerage systems	Livestock farming, zoos, sugar refining and public sewerage systems	Livestock farming, zoos, pharmaceuticals and industrial park sewerage systems	Agriculture, zoos, papermaking and newly developed community sewerage systems	b	第3條：下列事業或污水下水道系統得採土壤處理──畜牧業、動物園、製糖業、公共污水下水道系統。第4條則規定飲用水水源水質保護區、土壤及地下水污染控制或整治場址及管制區等地區不得採行土壤處理。	Article 3.	draft	9		
ENV-2211	ENV	ENV-51	土壤處理標準	第6條	民國95年10月16日	土壤處理-許可證與備查	2	事業或污水下水道系統排放廢（污）水於土壤前應取得何種文件？地方主管機關核發後應如何辦理？	得先行排放廢（污）水於土壤，再於六個月內補辦許可證；地方主管機關核發許可證或核准變更登記事項，應公告於中央指定資訊網路	應依本標準申請取得土壤處理許可證始得排放廢（污）水於土壤；地方主管機關核發許可證或核准變更登記事項，應報中央主管機關核准	應依本標準申請取得土壤處理許可證始得排放廢（污）水於土壤；地方主管機關核發許可證或核准變更登記事項，應報中央主管機關備查	應向中央主管機關申請取得土壤處理許可證始得排放於土壤；地方主管機關僅負責現場稽查，無須辦理任何形式之核發或備查程序	What document is required before discharging wastewater to soil, and what must the local authority do?	Discharge may begin first with the permit obtained within six months; the local authority must publish issuance or changes on a designated website	A soil treatment permit must be obtained under these Standards before discharge; the local authority must obtain the central authority's approval for its issuance or for any approved changes	A soil treatment permit must be obtained under these Standards before discharge; the local authority must report its issuance or approved changes to the central authority for record	The permit must be sought from the central authority; the local authority only conducts site inspections without any issuance or recording duty	c	第6條：事業或污水下水道系統應依本標準申請取得廢（污）水排放土壤處理許可證（土壤處理許可證），始得排放廢（污）水於土壤；直轄市、縣（市）主管機關（地方主管機關）核發土壤處理許可證，或核准變更土壤處理許可登記事項，應報中央主管機關備查。	Article 6.	draft	9		
ENV-2212	ENV	ENV-51	土壤處理標準	第7條	民國95年10月16日	土壤處理-併同申請	3	事業或污水下水道系統申請土壤處理許可證時，應同時辦理何項申請？	得於取得土壤處理許可證後一年內補行申請其他水措；採排放於地面水體者免另取得排放許可證（文件）；以桶裝、槽車清除廢（污）水至作業環境外者，僅需報請地方主管機關備查即可免申請	應同時申請其他水污染防治措施；採排放於地面水體者應取得海洋放流管線許可；以桶裝、槽車清除未符合放流水標準之廢（污）水至作業環境外者，應依土壤及地下水污染整治法提出整治計畫書	應先取得排放地面水體許可證後始得申請土壤處理許可證；採排放於土壤者免申請其他任何水措；以桶裝、槽車清除廢（污）水至作業環境外者，應向目的事業主管機關申請核發運輸許可證	應同時申請其他水污染防治措施；採排放於地面水體者應取得排放許可證（文件）；以桶裝、槽車清除未符合放流水標準之廢（污）水至作業環境外者，應同時依廢棄物清理法申請審查事業廢棄物清理計畫書	When applying for a soil treatment permit, the applicant must simultaneously:	May apply for its other water pollution control measures within one year after the permit; needs no surface water discharge permit when discharging to surface water; and need only file a record with the local authority when trucking substandard wastewater off site	Apply for its other measures; obtain an ocean outfall pipeline permit if discharging to surface water; and file a remediation plan under the Soil and Groundwater Remediation Act if trucking wastewater off site	Obtain a surface water discharge permit before applying at all; needs no other measures for soil discharge; and obtain a transport permit from the industry authority if trucking wastewater off site	Apply for its other water pollution control measures; obtain a surface water discharge permit if discharging to surface water; and file an industrial waste disposal plan under the Waste Disposal Act if trucking substandard wastewater off site	d	第7條：事業或污水下水道系統申請土壤處理許可證時，應同時申請其他水污染防治措施（水措）；其採排放廢（污）水於地面水體者，應取得排放地面水體許可證或簡易排放地面水體許可文件；其以桶裝、槽車或其他非管線、溝渠清除未符合放流水標準之廢（污）水至作業環境外者，應同時依廢棄物清理法規定申請審查事業廢棄物清理計畫書。第28條並定其清除及後續處理應依廢棄物清理法辦理。	Article 7 (see also Article 28).	draft	9		
ENV-2213	ENV	ENV-51	土壤處理標準	第8條	民國95年10月16日	土壤處理-水措計畫先行	2	應先檢具水措計畫之事業申請土壤處理許可證者，其水措計畫之程序及效力為何？	得先行進行水措設施之建造、裝置，並於完工後補送水措計畫審查核准；經核准之水措計畫於取得土壤處理許可證後仍繼續有效存在	應先將水污染防治措施計畫送中央主管機關審查核准後，始得進行水措設施之建造、裝置；經核准之水措計畫有效期間與許可證相同為三年	應先將水污染防治措施計畫送地方主管機關審查核准後，始得進行水措設施之建造、裝置；經核准之水措計畫於取得土壤處理許可證後失其效力	應先將水污染防治措施計畫報請目的事業主管機關備查後，始得進行水措設施之建造、裝置；經核准之水措計畫自核准日起五年後失其效力	For enterprises required to file a control plan first, the plan's procedure and effect are:	Facilities may be built first with the plan submitted after completion; the approved plan remains valid after the soil treatment permit is obtained	The plan must be approved by the central authority before construction; the approved plan is valid for three years like the permit itself	The plan must be approved by the local authority before facilities are built or installed; the approved plan lapses once the soil treatment permit is obtained	The plan need only be filed for record with the industry authority before construction; the approved plan lapses five years after approval	c	第8條：本法第13條第2項公告之事業（應先檢具水措計畫之事業），申請土壤處理許可證者，應依水污染防治措施計畫及許可申請審查辦法規定，先將水污染防治措施計畫（水措計畫）送地方主管機關審查核准後，始得進行水措設施之建造、裝置；事業經核准之水措計畫於取得土壤處理許可證後，失其效力。	Article 8.	draft	9		
ENV-2214	ENV	ENV-51	土壤處理標準	第9條	民國95年10月16日	土壤處理-申請時機文件	2	事業或污水下水道系統應於何時申請土壤處理許可證？應檢附哪些主要文件？	應於水措設施設置完成後、排放廢（污）水於土壤前，填具申請表並僅需檢附負責人身分證明文件影本及土地所有權狀影本共二項文件即可提出申請	應於水措設施設置完成後、排放廢（污）水於土壤前，填具申請表並檢附基本資料表、土壤及地下水相關檢測報告、農業主管機關認定文件及土地區段地籍資料等文件	應於排放廢（污）水於土壤屆滿一年後，填具申請表並檢附基本資料表、土壤及地下水相關檢測報告、農業主管機關認定文件及土地區段地籍資料等文件	應於水措設施動工興建前、取得工廠登記證後，填具申請表並檢附基本資料表、空氣污染物排放檢測報告、環境影響評估定稿本及水權登記證明文件等文件	When must a soil treatment permit be applied for, and what key documents are required?	After the facilities are completed and before discharging to soil; with an application form and only two documents, the responsible person's ID copy and the land title deed copy	After the control facilities are completed and before discharging to soil; with an application form, basic data sheet, soil and groundwater test reports, agricultural authority certification and land registry data	One full year after discharge of wastewater to soil has begun; with an application form, a basic data sheet, soil and groundwater test reports, agricultural authority certification and land registry data for the segment	Before construction begins and after factory registration; with an application form, basic data sheet, air emission test reports, the final EIA report and water rights certificates	b	第9條第1項：事業或污水下水道系統應於水措設施設置完成後，排放廢（污）水於土壤前，填具土壤處理許可證申請表，並檢附基本資料表、負責人身分證明文件影本、相關許可登記執照影本、水措資料表及其書面文件、土壤及地下水相關檢測報告、中央農業主管機關所屬農業試驗單位或地方農業主管機關之認定文件影本、土地區段地籍資料及同意文件影本等十二款文件。	Article 9, paragraph 1.	draft	9		
ENV-2215	ENV	ENV-51	土壤處理標準	第10條	民國95年10月16日	土壤處理-前業者違規	3	同一土地區段之前一業者於一定期間內有違規停工或繞流排放者，申請人應另檢附何種文件？	應另檢附相關設施單元之累計型水量計測設施、水質自動監測設施及攝錄影監視系統之設置完工照片	應另檢附前一業者之違規裁處書影本、罰鍰繳納證明及土地所有權人切結書等相關證明文件之影本	應另檢附相關設施單元之瞬時型水量計測設施、水質人工採樣紀錄及門禁刷卡管制系統之設置完工照片	應另檢附由環境工程技師簽證之水質水量平衡計算書及最近三年內之土壤污染潛勢調查報告書影本	If the previous operator on the same land had shutdown penalties or bypass discharge, the applicant must also attach:	Completion photos of cumulative-type flow metering facilities, automatic water quality monitoring facilities and video surveillance systems for the relevant units	Copies of the previous operator's penalty notice, proof of fine payment and an affidavit from the landowner as supporting documents	Completion photos of instantaneous-type flow metering facilities, manual water quality sampling records and access card control systems for the relevant units	A water and mass balance calculation certified by an environmental engineer and a soil pollution potential survey report from the last three years	a	第10條：應先檢具水措計畫之事業於申請水措計畫日前一年內，同一土地區段之前一業者，有違反本法相關規定經主管機關裁處停工（業）、於限期改善期間內自報停工（業），或經查獲繞流排放者，應另檢附相關設施單元之累計型水量計測設施、水質自動監測設施及攝錄影監視系統之設置完工照片；公共污水下水道系統或非屬應先檢具水措計畫之事業，於申請土壤處理許可證日前一年內有同一情形者亦同。	Article 10.	draft	9		
ENV-2216	ENV	ENV-51	土壤處理標準	第11條	民國95年10月16日	土壤處理-登記事項	2	地方主管機關核發土壤處理許可證，應登記之事項為何？	核准日期字號、承辦人員姓名及聯絡電話、專家學者審查意見摘要、地址或座落位置及適用土地區段位置、許可種類及有效期間、環評審查結論	核准日期字號、事業或污水下水道系統名稱、負責人姓名及身分證明文件字號、地址或座落位置及適用土地區段位置、許可種類及有效期間、許可事項	核准日期字號、事業或污水下水道系統資本額、員工人數及勞保投保資料、地址或座落位置及適用土地區段位置、審查費金額、專責人員姓名	核准日期字號、事業或污水下水道系統名稱、負責人姓名及身分證明文件字號、土地公告現值及地價稅籍編號、放流水標準限值、歷次罰鍰紀錄	What items must be registered on a soil treatment permit?	Approval date and number; the case officer's name and phone; a summary of expert review opinions; address or location and the land segment; permit type and validity; the EIA conclusion	Approval date and document number; the enterprise or sewerage system name; the responsible person's name and ID number; address or location and the land segment; permit type and validity period; permitted matters	Approval date and document number; the enterprise's paid-in capital; employee numbers and labor insurance data; address or location and the land segment; the review fee amount; the dedicated personnel's name	Approval date and number; the enterprise name; the responsible person's name and ID number; the land's assessed value and tax number; effluent standard limits; past fine records	b	第11條：地方主管機關核發土壤處理許可證，應登記事項如下──核准日期、字號；事業或污水下水道系統名稱；負責人姓名、身分證明文件字號；地址或座落位置、適用土地區段位置；許可種類及有效期間；許可事項。第15條並定有效期間為三年。	Article 11.	draft	9		
ENV-2217	ENV	ENV-51	土壤處理標準	第12條	民國95年10月16日	土壤處理-30日內變更	3	下列何種土壤處理許可證登記事項之變更，應於事實發生後三十日內向地方主管機關辦理？	負責人變更、公司組織型態變更、營業項目增列、股東結構調整、實收資本額增減，及其他經目的事業主管機關核准應辦理變更登記之相關事項等六款事項	基本資料、廢（污）水水量與污泥量之計測設施及計量方式、增加或變更用水來源或主要製程設施且未增加水量者、核准餘裕量內之受託處理委託者、水質自動監測設施及攝錄影監視系統	基本資料、適用土地區段之位置與面積、飼養頭數之增減、種植作物種類之變更、土壤處理許可證有效期間之延長，及承受水體水質分類之調整等六款登記事項	廢（污）水前處理設施或其操作參數、污泥處理設施之處理能力、廢（污）水每日最大處理量、污泥每日最大產生量，及其他經地方主管機關認定應辦理變更登記之相關事項	Which registered items may be changed by filing within 30 days after the event?	Change of responsible person; change of corporate form; added business items; shareholder restructuring; change in paid-in capital; and other matters approved by the industry authority	Basic data; metering facilities and methods for wastewater and sludge; added or changed water sources or main process facilities without added volume; entrusting parties within the approved surplus capacity; automatic monitoring and video surveillance systems	Basic data; the location and area of the land segment; changes in head count; changes in crop type; extension of the permit's validity period; and adjustment of receiving water classification	Pretreatment facilities or their operating parameters; sludge treatment facility capacity; the maximum daily wastewater treatment volume; the maximum daily sludge generation; and other matters the local competent authority identifies as requiring change registration	b	第12條第1項：變更下列登記事項應於事實發生後三十日內向地方主管機關辦理變更──基本資料；廢（污）水水量、污泥量之計測設施、計量方式及其校正維護方法；增加或變更作業系統用水來源、產生廢（污）水之主要製程設施或每日最大生產服務規模，且未增加用水量、廢（污）水產生量及未變更前處理與污泥處理設施功能者；受託處理同業別廢（污）水於核准餘裕量內之委託者；水質自動監測設施及攝錄影監視系統。其餘事項依第13條應於變更前送審核准。	Article 12, paragraph 1 (compare Article 13).	draft	9		
ENV-2218	ENV	ENV-51	土壤處理標準	第13條	民國95年10月16日	土壤處理-事前變更與功能測試	3	第12條以外之土壤處理許可證登記事項變更，應如何辦理？何種情形應進行功能測試？	應於變更前送地方主管機關審查經核准後始得變更；涉及前處理設施或其操作參數、污泥處理設施、每日最大處理量或污泥每日最大產生量者，應於變更前三十日內進行功能測試	應於變更前送地方主管機關審查經核准後始得變更；涉及基本資料、計量方式或核准餘裕量內受託處理委託者之變更者，應於變更前九十日內進行五日以上功能測試	應於變更前送中央主管機關審查經核准後始得變更；涉及前處理設施或其操作參數、污泥處理設施、每日最大處理量或污泥每日最大產生量者，得免進行任何形式之功能測試	應於變更後三十日內送地方主管機關備查即得變更；涉及前處理設施或其操作參數、污泥處理設施、每日最大處理量或污泥每日最大產生量者，應於變更後六十日內進行功能測試	How are changes other than those in Article 12 handled, and when is performance testing required?	They must be approved by the local authority before the change; performance testing within 30 days before the change is required for pretreatment facilities or parameters, sludge facilities, maximum daily treatment volume or sludge generation	They must be approved by the local authority before the change; testing of five days or more within 90 days is required for basic data, metering or entrusting parties	They must be approved by the central authority before the change; no performance testing of any kind is required for those items	They may be made after filing with the local authority within 30 days; performance testing within 60 days after the change is required for pretreatment facilities or parameters, sludge facilities, maximum daily treatment volume or sludge generation	a	第13條：事業或污水下水道系統變更第12條以外之土壤處理許可證登記事項，應於變更前送地方主管機關審查，經核准後始得變更；前項變更涉及廢（污）水前處理設施或其操作參數、污泥處理設施、廢（污）水每日最大處理量、污泥每日最大產生量及其他經地方主管機關認定之事項者，應於變更前三十日內進行功能測試。第14條並定辦理變更應填具申請表並檢附相關文件。	Article 13.	draft	9		
ENV-2219	ENV	ENV-51	土壤處理標準	第14條	民國95年10月16日	土壤處理-變更程序文件	2	事業或污水下水道系統辦理土壤處理許可證變更時，應如何提出？	應填具土壤處理許可證申請表並檢附與變更有關之文件，送地方主管機關審查；涉及第13條第2項規定者，應檢附該功能測試合格報告	應以口頭方式向地方主管機關承辦人員報備其變更內容；涉及第13條第2項規定者，應於事後一年內補送功能測試合格報告	應填具土壤處理許可證申請表並重新檢附全部原申請文件，送中央主管機關審查；涉及第13條第2項規定者，應檢附功能測試報告	應填具土壤處理許可證申請表並檢附與變更有關之文件，送地方主管機關備查；涉及第13條第2項規定者，得以自主檢測紀錄替代之	How must a change to a soil treatment permit be filed?	File the permit application form with documents relating to the change for the local authority's review; attach the passing performance test report where Article 13, paragraph 2 applies	Report the change orally to the local authority's case officer; submit the passing performance test report within one year afterwards where applicable	File the form with all original application documents again for the central authority's review; attach a performance test report where Article 13, paragraph 2 applies	File the permit application form with documents relating to the change for the local authority's record; self-monitoring records may substitute where Article 13, paragraph 2 applies	a	第14條：事業或污水下水道系統辦理變更時，應填具土壤處理許可證申請表，並檢附與變更有關之文件，送地方主管機關審查；前項申請涉及第13條第2項規定者，應檢附該功能測試合格報告。第17條另定繞流排放等情形應加附監視系統完工照片或三十日內功能測試合格報告。	Article 14.	draft	9		
ENV-2221	ENV	ENV-51	土壤處理標準	第16條	民國95年10月16日	土壤處理-展延檢測報告	2	申請土壤處理許可證展延時，應檢附之檢測報告其時效規定為何？	最近一次核發許可證時之土壤檢測報告，以及申請日前九十日內承受水體之地面水體水質檢測報告	申請日前九十日內之土壤及地下水檢測報告，以及申請日前九十日內排放於土壤之廢（污）水水質檢測報告	申請日前三十日內之土壤及地下水檢測報告，以及申請日前三十日內排放於土壤之廢（污）水水質檢測報告	申請日前一年內之土壤及地下水檢測報告，以及申請日前二年內排放於土壤之廢（污）水水質檢測報告	For a renewal application, the required test reports must date from:	The soil test report from the last permit issuance, and receiving surface water quality reports from within 90 days before the application	Soil and groundwater test reports from within 90 days before the application, and wastewater quality reports for soil discharge from within 90 days before it	Soil and groundwater test reports from within 30 days before the application, and wastewater quality reports for soil discharge from within 30 days before it	Soil and groundwater test reports from within one year before the application, and wastewater quality reports from within two years before it	b	第16條第4款、第5款：事業或污水下水道系統申請展延時，應檢附申請日前九十日內之土壤及地下水檢測報告，以及申請日前九十日內排放於土壤之廢（污）水水質檢測報告；另應檢附相關許可登記執照影本、農業主管機關認定文件影本、水措設施現況照片、委託處理契約書影本及攔水渠現況照片等文件。	Article 16, subparagraphs 4-5.	draft	9		
