ENV-0447	ENV	ENV-26	空氣污染防制專責單位或專責人員設置及管理辦法	第2條	民國108年8月6日	空污專責-類別	2	空氣污染防制專責人員分為哪兩類？空氣污染防制專責人員又分為哪兩級？	固定污染源專責人員及移動污染源專責人員；第一級及第二級	室內空氣品質專責人員及噪音防制專責人員；初級及進階級	空氣污染防制專責人員及廢水處理專責人員；高級及初級	空氣污染防制專責人員及健康風險評估專責人員；甲級及乙級	Air pollution control dedicated personnel fall into which two categories, and air pollution control personnel are further graded as:	Stationary source personnel and mobile source personnel; Level 1 and Level 2	Indoor air quality personnel and noise control personnel; basic and advanced	Air pollution control personnel and wastewater treatment personnel; senior and junior	Air pollution control personnel and health risk assessment personnel; Class A and Class B	d	第2條：專責人員指空氣污染防制專責人員及健康風險評估專責人員，應由經中央主管機關訓練合格取得合格證書者擔任。第3條：空氣污染防制專責人員分甲級及乙級；設置等級依空污法第34條公告事項；專責單位至少應包括甲級二人及乙級一人。第4條：同一處所得與廢（污）水處理專責單位合併設置，具雙重資格者得互兼。	Articles 2–4; a dedicated unit needs at least two Class A and one Class B personnel.	active	8		
ENV-0489	ENV	ENV-28	空氣品質標準	第2條	民國113年9月30日	空品標準-定義	2	空氣品質標準所稱「八小時平均值」「二十四小時值」「三個月移動平均值」各指？	任意八個小時之小時平均值之中位數；任意二十四小時內各測值之算術平均值；任意三個月有效數據之中位數	任意八次採樣結果之算術平均值；連續採樣二十四小時所得樣本之最大值；每季有效數據平均值之算術平均值	八個測站小時平均值之算術平均值；一日內各小時平均值中之最大值；連續三個月有效數據中之最大值	連續八個小時之小時平均值之算術平均值；連續採樣二十四小時所得樣本分析之值；連續三個月有效數據平均值之算術平均值	Under the Air Quality Standards, the '8-hour average', '24-hour value' and '3-month moving average' mean:	The median of any eight hourly averages; the arithmetic mean of readings in any 24-hour period; the median of any three months of valid data	The arithmetic mean of any eight sampling results; the maximum value found in a continuous 24-hour sample; the arithmetic mean of each quarter's valid data averages	The arithmetic mean of hourly averages at eight stations; the maximum among a day's hourly averages; the maximum among three consecutive months of valid data	The arithmetic mean of eight consecutive hourly averages; the analyzed value of a continuous 24-hour sample; the arithmetic mean of three consecutive months of valid data	d	第1條：依空污法第5條第3項訂定。第2條：小時平均值指一小時內各測值算術平均；八小時平均值指連續八個小時之小時平均值之算術平均；日平均值指一日內各小時平均值之算術平均；二十四小時值指連續採樣二十四小時所得樣本分析之值；年平均值指全年各日平均值之算術平均；三個月移動平均值指連續三個月有效數據平均值之算術平均。第3條：各項空氣污染物之標準如表（PM10、PM2.5、O₃、SO₂、NO₂、CO、鉛等）。	Articles 1–3.	active	8		
ENV-0491	ENV	ENV-28	空氣品質標準	第4條	民國113年9月30日	空品標準-符合判定	3	空氣污染防制區符合空氣品質標準之判定，懸浮微粒各站每年日平均值取第幾累計百分比對應值？計算連續幾年之算術平均？臭氧八小時平均值取第幾累計百分比？	第一百累計百分比；三年；第一百累計百分比	第九十累計百分比；五年；第九十累計百分比	第五十累計百分比；一年；第五十累計百分比	第九十八累計百分比；三年；第九十五累計百分比	Attainment for particulates uses which percentile of each station's daily averages, averaged over how many consecutive years, and ozone 8-hour averages use which percentile?	100th percentile; 3 years; 100th percentile	90th percentile; 5 years; 90th percentile	50th percentile; 1 year; 50th percentile	98th percentile; 3 years; 95th percentile	d	第4條：懸浮微粒各站每年日平均值由低到高排列取第九十八累計百分比對應值計算連續三年算術平均須小於日平均值標準，年平均值連續三年平均須小於年平均值標準；細懸浮微粒二十四小時值取第九十八累計百分比連續三年平均及年平均值連續三年平均；臭氧每日最大小時平均值取第九十八累計百分比、每日最大八小時平均值取第九十五累計百分比，均連續三年平均；二氧化硫二氧化氮每日最大小時平均值第九十八累計百分比及年平均值；一氧化碳小時及八小時均第九十八累計百分比；經認可之特殊事件當日數值不採計。第5條：PM2.5 以公告之手動檢測方法為標準方法，得以自動監測數據轉換替代。	Articles 4–5.	active	8		
ENV-0736	ENV	ENV-30	室內空氣品質管理法	第3條	民國100年11月23日	室內空品-污染物	2	室內空氣品質管理法所稱室內空氣污染物包括哪些？	二氧化碳、一氧化碳、甲醛、總揮發性有機化合物、細菌、真菌、PM10、PM2.5、臭氧及其他指定公告物質	二氧化碳、一氧化碳、甲醛、總揮發性有機化合物、細菌、真菌、噪音、溫度、濕度及照度等物理因子	二氧化碳、二氧化硫、鉛、總揮發性有機化合物、病毒、塵蟎、PM10、PM2.5、氡氣及其他指定公告物質	一氧化碳、甲醛、氨氣、多環芳香烴化合物、石綿纖維、花粉、PM1、PM10、二氧化氮及其他公告物質	Indoor air pollutants under the Indoor Air Quality Management Act include:	CO₂, CO, formaldehyde, TVOC, bacteria, fungi, PM10, PM2.5, ozone and other designated substances	CO₂, CO, formaldehyde, TVOC, bacteria, fungi, noise, temperature, humidity and illuminance as physical factors	CO₂, SO₂, lead, TVOC, viruses, dust mites, PM10, PM2.5, radon and other designated substances	CO, formaldehyde, ammonia, PAHs, asbestos fibers, pollen, PM1, PM10, NO₂ and other designated substances	a	第3條：室內指供公眾使用建築物之密閉或半密閉空間及大眾運輸工具搭乘空間；室內空氣污染物指室內空氣中常態逸散經長期暴露足以妨害健康之物質，包括二氧化碳、一氧化碳、甲醛、總揮發性有機化合物、細菌、真菌、PM10、PM2.5、臭氧及其他指定公告物質；室內空氣品質指污染物濃度及空氣中之溼度及溫度。第4條：建築主管機關管通風設施裝修建材、經濟主管機關管建材逸散及空氣清淨機國家標準、衛生主管機關管傳染病原醫療空調菸害、交通主管機關管大眾運輸空調通風。	Articles 3–4.	active	8		
ENV-0740	ENV	ENV-30	室內空氣品質管理法	第6條	民國100年11月23日	室內空品-公告場所	2	下列何者屬室內空氣品質管理法得經公告之公私場所？	石化工廠廠房、鋼鐵冶煉車間、紡織染整廠、水泥拌合場、露天採石場、廢棄物焚化爐、污水處理廠、鍋爐房、倉儲區及油品儲槽區等	獨棟住宅及集合住宅、私人別墅、農舍、員工宿舍寢室、露營區、自用小客車、私人書房及書庫、私人健身房、屋頂加蓋空間、地下室儲藏室等	農場畜舍、溫室栽培區、養殖魚塭、堆肥場、農產品集貨場、屠宰場、飼料加工廠、農機具存放棚、田間臨時工作站及灌溉抽水站等	高中以下學校、大專圖書館博物館、醫療及社福機構、政府及企業辦公場所、大眾運輸車站、金融郵局電信營業場所、運動場所、電影院歌劇院、旅館商場餐飲店等	Which premises may be designated under the Indoor Air Quality Management Act?	Petrochemical plant buildings, steel smelting shops, textile dyeing mills, cement batching yards, open quarries, waste incinerators, sewage treatment plants, boiler rooms, warehouses and tank farms, etc.	Detached and multi-unit residences, private villas, farmhouses, staff dormitories, campsites, private cars, home studies and book rooms, home gyms, rooftop extensions, basement storerooms, etc.	Farm animal sheds, greenhouse cultivation areas, aquaculture ponds, composting yards, produce collection stations, slaughterhouses, feed mills, machinery sheds, field work stations and irrigation pump houses	Schools, libraries and museums, medical and welfare institutions, government and corporate offices, transit stations, banks and post offices, gyms, cinemas and theaters, hotels, malls and restaurants, etc.	d	第6條：經中央主管機關依公眾聚集量進出量污染物危害風險及特殊需求綜合考量逐批公告者：高中以下學校及兒少活動場所、大專圖書館博物館美術館補習班等、醫療護理醫事及社福機構、政府機關及公民營企業辦公場所、鐵路航空捷運客運搭乘空間及車站、金融機構郵局電信營業場所、體育運動健身場所、教室圖書室實驗室表演廳禮堂展覽室會議廳、歌劇院電影院視聽歌唱資訊休閒場所、旅館商場市場餐飲店、其他公共場所及大眾運輸工具。第7條：公告場所應符合室內空氣品質標準（不可歸責事由除外）。	Articles 6–7.	active	8		
ENV-0742	ENV	ENV-30	室內空氣品質管理法	第8條	民國100年11月23日	室內空品-管理義務	2	公告場所所有人管理人或使用人應辦理何事項？	訂定室內空氣品質維護管理計畫、置專責人員（僅需具高中學歷）、自行以簡易儀器每年檢測一次並留存紀錄、指定場所設自動監測設施每年公布	訂定室內裝修施工計畫、置職業安全衛生管理員（經勞動部認可）、委託建築師定期檢查通風設施並公布、指定場所設消防偵煙設施即時公布	張貼禁菸標示及空氣品質告示牌、指定清潔人員（無須受訓）、每年委託空調廠商清洗風管一次並記錄、於場所入口設置溫濕度計	訂定室內空氣品質維護管理計畫、置專責人員（經訓練取得合格證書）、委託檢驗測定機構定期檢測並公布及記錄、指定場所設自動監測設施即時公布	Owners, managers or users of designated premises must:	Adopt an IAQ maintenance plan, appoint a person with only a high school diploma, self-test annually with simple instruments, and publish monitor data yearly where designated	Adopt an interior renovation plan, appoint a safety manager certified by the labor ministry, have architects inspect ventilation, and install smoke detectors where designated	Post no-smoking and air quality signs, designate untrained cleaning staff, have a contractor clean the ducts once a year with records, and put a thermometer at the entrance	Adopt an IAQ maintenance plan, appoint a certified dedicated person, commission periodic testing with published records, and install real-time monitors where designated	d	第8條：應訂定室內空氣品質維護管理計畫據以執行，室內使用變更影響空品時應立即檢討修正。第9條：應置室內空氣品質維護管理專責人員，經訓練取得合格證書。第10條：應委託檢驗測定機構定期實施檢驗測定並定期公布結果作成紀錄；經指定之公告場所應設自動監測設施連續監測並即時公布於場所內或入口明顯處。第11條：檢驗測定機構應取得許可證。第12條：主管機關得派員現場檢查檢測查核紀錄，不得規避妨礙拒絕。	Articles 8–12.	active	8		
ENV-0749	ENV	ENV-30	室內空氣品質管理法	第13條、第15條	民國100年11月23日	室內空品-罰則	3	公告場所不符合室內空氣品質標準經限期改善屆期未改善者，處新臺幣多少罰鍰？紀錄虛偽記載者？改善期間應如何標示？	十萬元以上五十萬元以下；一百萬元以上五百萬元以下；於主管機關網站公告該場所名稱及地址	一萬元以上五萬元以下；五萬元以上二十五萬元以下；於場所入口明顯處標示室內空氣品質不合格	五萬元以上二十五萬元以下；十萬元以上五十萬元以下；於場所入口明顯處標示室內空氣品質不合格	五千元以上二萬五千元以下；一萬元以上五萬元以下；由現場稽查人員口頭告知場所負責人即可	Designated premises failing IAQ standards after a correction deadline are fined, false records are fined, and during correction the premises must:	NT$100,000–500,000; NT$1,000,000–5,000,000; publish the premises' name and address on the authority's website	NT$10,000–50,000; NT$50,000–250,000; post an 'IAQ non-compliant' notice at the entrance	NT$50,000–250,000; NT$100,000–500,000; post an 'IAQ non-compliant' notice at the entrance	NT$5,000–25,000; NT$10,000–50,000; a verbal notice from the on-site inspector to the person in charge	c	第13條：紀錄虛偽記載處十萬元以上五十萬元以下罰鍰。第14條：規避妨礙拒絕檢查者處十萬元以上五十萬元以下並得按次處罰。第15條：不符標準經限期改善屆期未改善處五萬元以上二十五萬元以下並再命限期改善，仍未改善按次處罰，情節重大得限制禁止使用或命停業；改善期間應於入口明顯處標示室內空氣品質不合格，未標示且繼續使用處五千元以上二萬五千元以下。第17條：未訂計畫或未置專責人員屆期未改善處一萬元以上五萬元以下。第18條：未定期檢測公布等屆期未改善處五千元以上二萬五千元以下。第20條：改善期間以九十日為限，得申請延長最長不超過六個月。第21條：情節重大指一年內二次處罰仍違反或嚴重惡化未採緊急應變致嚴重危害公眾健康之虞。	Articles 13–21.	active	8		
ENV-0763	ENV	ENV-31	室內空氣品質標準	第2條	民國101年11月23日	室內空品標準-數值	2	室內空氣品質標準中，二氧化碳八小時值標準為多少 ppm？甲醛一小時值？PM2.5 二十四小時值？	八○○ ppm；○‧○一 ppm；二五 μg/m³	一○○○ ppm；○‧○八 ppm；三五 μg/m³	五○○ ppm；○‧一 ppm；一五 μg/m³	二○○○ ppm；○‧五 ppm；五○ μg/m³	Indoor air quality standards set CO₂ (8-hour) at, formaldehyde (1-hour) at, and PM2.5 (24-hour) at:	800 ppm; 0.01 ppm; 25 μg/m³	1,000 ppm; 0.08 ppm; 35 μg/m³	500 ppm; 0.1 ppm; 15 μg/m³	2,000 ppm; 0.5 ppm; 50 μg/m³	b	第2條：二氧化碳八小時值 1000 ppm、一氧化碳八小時值 9 ppm、甲醛一小時值 0.08 ppm、TVOC 一小時值 0.56 ppm（十二種 VOC 總和）、細菌最高值 1500 CFU/m³、真菌最高值 1000 CFU/m³（室內外比值小於等於 1.3 者不在此限）、PM10 二十四小時值 75 μg/m³、PM2.5 二十四小時值 35 μg/m³、臭氧八小時值 0.06 ppm。第4條：各項目分別判定未超過者始認定符合。	Article 2 (also CO 9 ppm, TVOC 0.56 ppm, bacteria 1,500 CFU/m³, fungi 1,000 CFU/m³, PM10 75 μg/m³, ozone 0.06 ppm).	active	8		
ENV-0764	ENV	ENV-31	室內空氣品質標準	第2條、第3條	民國101年11月23日	室內空品標準-TVOC	3	室內空氣品質標準之總揮發性有機化合物（TVOC）係採計幾種化合物之總和？真菌濃度室內外比值小於等於多少者不受真菌標準限制？	三種；一‧五	六種；一	二十種；二	十二種；一‧三	TVOC in the indoor standards sums how many compounds, and fungi are exempt from the limit when the indoor/outdoor ratio is at most:	3; 1.5	6; 1	20; 2	12; 1.3	d	第3條：一小時值指一小時內各測值算術平均或一小時累計採樣測值；八小時值、二十四小時值類推；最高值指依公告檢測方法採樣分析值；TVOC 採計苯、四氯化碳、氯仿、1,2-二氯苯、1,4-二氯苯、二氯甲烷、乙苯、苯乙烯、四氯乙烯、三氯乙烯、甲苯及二甲苯（對間鄰）十二種化合物濃度總和；真菌濃度室內外比值指室內真菌濃度除以室外真菌濃度，小於等於 1.3 者不受 1000 CFU/m³ 限制。	Article 3.	active	8		
ENV-1602	ENV	ENV-39	噪音管制法施行細則	第3條	民國99年3月11日	噪音細則-監測點	3	直轄市第二類及第三類噪音管制區內應各指定幾個以上環境及交通噪音監測點？環境噪音監測點於寬度八公尺以上道路應距道路邊緣幾公尺以上？每一監測點每季應進行幾次以上二十四小時連續測定？	四個以上；三十公尺；二次	八個以上；一百公尺；一次	一個以上；十公尺；一次	二個以上；五十公尺；四次	Municipal Class 2 and 3 noise control zones need at least how many environmental and traffic noise monitoring points each, environmental points must be at least how far from roads 8 m or wider, and each point is measured continuously for 24 hours how often?	4 or more; 30 m; twice per quarter	8 or more; 100 m; once per year	1 or more; 10 m; once per quarter	2 or more; 50 m; four times per quarter	a	第2條：管制標準以最高容許音量為準，單位分貝；機動車輛指道路上不依軌道或電力架設以原動機行駛之車輛。第3條：直轄市第一類及第四類管制區各指定二以上（縣市各一以上）、第二類及第三類各四以上（縣市各二以上）環境及交通噪音監測點；環境噪音監測點於寬度八公尺以上道路距道路邊緣三十公尺以上、六公尺以上未滿八公尺者十五公尺以上，高度離地一點二至一點五公尺；交通噪音監測點距建物牆面一公尺以上；每一監測點每季二次以上二十四小時連續測定；數量位置報中央主管機關備查。	Articles 2–3.	active	8		
ENV-1607	ENV	ENV-39	噪音管制法施行細則	第7條、第8條	民國99年3月11日	噪音細則-改善計畫	3	陸上運輸系統噪音改善計畫，地方主管機關應於送達之日起幾日內完成審查核定？經核定無法於營運範圍內改善者，應於幾日內訂定噪音補助計畫？	十日；三十日	三十日；九十日	九十日；三百六十五日	六十日；一百八十日	Local authorities must review land transport noise improvement plans within how many days of receipt, and if noise cannot be abated within the operator's scope, a subsidy plan must be prepared within:	10 days; 30 days	30 days; 90 days	90 days; 365 days	60 days; 180 days	d	第6條：快速道路指高速公路及快速公路交通管制規則之快速公路及市區道路之快速道路；其他交通噪音指省道縣道主要次要道路等。第7條：改善計畫應包括執行機關、超標路段交通狀況及圖說、量測結果成因分析、防制措施及設施設計圖說、功能評估、期程、民眾意見、可行性分析；地方主管機關應於送達之日起六十日內完成審查核定，欠缺者三十日內通知限期補正，補正總日數不超過六十日。第8條：經核定無法於營運或管理範圍內改善者應自核定之日起一百八十日內訂定噪音補助計畫，補助建築物以既有合法建築物為限且以一次為限。第9至11條：民用及軍用機場航空噪音改善計畫內容。	Articles 6–11.	active	8		
ENV-1613	ENV	ENV-39	噪音管制法施行細則	第12條	民國99年3月11日	噪音細則-室內航空噪音	3	室內航空噪音日夜音量之測定，噪音計應設定為何種加權？動特性？測定地點？	A 加權；快特性（FAST）；建築物窗外一點五公尺處門窗開啟之地點，高度一點五至二公尺	A 加權；慢特性（SLOW）；建築物外牆面內緣向內一公尺處門窗密閉具代表性地點，高度一點二至一點五公尺	Z 加權；脈衝特性（IMPULSE）；建築物外牆面向外一公尺處之室外空曠地點，高度離地面二公尺	C 加權；快特性（FAST）；建築物屋頂平台中央開闊且無遮蔽之地點，高度離屋頂面三公尺至五公尺	Indoor aircraft day-night noise level measurements use which weighting, time response, and location?	A-weighting; fast response; 1.5 m outside the window with the windows open, 1.5–2 m above the floor	A-weighting; slow response; 1 m inside the exterior wall at a representative closed-window spot, 1.2–1.5 m high	Z-weighting; impulse response; 1 m outside the exterior wall in an open outdoor spot, 2 m above the ground	C-weighting; fast response; the open unobstructed center of the building's rooftop platform, 3–5 m above the roof	b	第12條：依美國聯邦飛航規則第一百五十號規定，噪音計設定 A 加權，連續蒐集二十四小時航空噪音日夜音量，使用 IEC Class 1 噪音計頻帶 20Hz 至 20kHz，動特性慢特性，測定地點為建築物外牆面內緣向內一公尺處門窗密閉具代表性之地點，高度離地面或樓板一點二至一點五公尺。第13條：進入公私場所檢查或鑑定噪音之人員應經訓練合格領有證書。	Articles 12–13.	active	8		
ENV-1615	ENV	ENV-39	噪音管制法施行細則	第14條	民國99年3月11日	噪音細則-按日連續處罰	3	噪音管制法第24條所定按日連續處罰，指音量超過管制標準幾分貝以上，經限期改善後仍逾標準幾分貝以上，且未採取具體吸隔音防振措施或可變更地點而未調整者？	五分貝；三分貝	一分貝；一分貝	十分貝；五分貝	三分貝；一分貝	Daily consecutive fines under the Noise Control Act apply when measured noise exceeds the standard by at least, and still exceeds it after the correction deadline by at least:	5 dB; 3 dB	1 dB; 1 dB	10 dB; 5 dB	3 dB; 1 dB	a	第14條：按日連續處罰指違反第9條第1項經測定音量超過噪音管制標準五分貝以上，經限期改善後仍逾管制標準三分貝以上，且工廠娛樂或營業場所之非移動性噪音源或第9條第1項第6款公告設施未採取具體吸（隔）音防振隔振改善措施或可變更設置地點而未調整者。第15條：經命停工停業停止使用或自報者應於復工前檢具改善完成報告書申請復工，查驗合格始得恢復。第16條：改善完成報告書應載明噪音源狀況、改善前量測結果、防制措施及設施圖說、改善功效、設施相片等。	Articles 14–16.	active	8		
ENV-1620	ENV	ENV-40	環境音量標準	第2條	民國99年1月21日	環境音量-時段	3	環境音量標準所定第一、二類管制區之日間晚間夜間時段各為何？第三、四類管制區？	日間上午六時至晚上八時、晚間八時至十時、夜間十時至翌日六時；日間七時至晚上八時、晚間八時至十一時、夜間十一時至翌日七時	日間上午八時至下午五時、晚間五時至八時、夜間八時至翌日八時；日間七時至晚上七時、晚間七時至十一時、夜間十一時至翌日七時	日間上午六時至晚上八時、晚間八時至十一時、夜間十一時至翌日六時；日間七時至晚上八時、晚間八時至十時、夜間十時至翌日七時	日間上午六時至下午六時、晚間六時至十時、夜間十時至翌日六時；日間六時至下午六時、晚間六時至十時、夜間十時至翌日六時	Under the Environmental Noise Standards, day/evening/night periods for Class 1–2 zones are, and for Class 3–4 zones:	6 a.m.–8 p.m., 8–10 p.m., 10 p.m.–6 a.m.; 7 a.m.–8 p.m., 8–11 p.m., 11 p.m.–7 a.m.	8 a.m.–5 p.m., 5–8 p.m., 8 p.m.–8 a.m.; 7 a.m.–7 p.m., 7–11 p.m., 11 p.m.–7 a.m.	6 a.m.–8 p.m., 8–11 p.m., 11 p.m.–6 a.m.; 7 a.m.–8 p.m., 8–10 p.m., 10 p.m.–7 a.m.	6 a.m.–6 p.m., 6–10 p.m., 10 p.m.–6 a.m.; 6 a.m.–6 p.m., 6–10 p.m., 10 p.m.–6 a.m.	a	第2條：管制區指噪音管制區劃定作業準則之第一類至第四類；道路邊地區指距寬度八公尺以上道路邊緣三十公尺以內或未滿八公尺道路邊緣十五公尺以內；日間第一二類管制區為上午六時至晚上八時、第三四類為上午七時至晚上八時；晚間第一二類晚上八時至十時、第三四類晚上八時至十一時；夜間第一二類晚上十時至翌日六時、第三四類晚上十一時至翌日七時；音量單位 dB(A)；均能音量 Leq 為特定時段環境音量之能量平均值；航空噪音日夜音量 DNL 夜間（晚上十時至翌日七時）加權十分貝。	Article 2.	active	8		
ENV-1621	ENV	ENV-40	環境音量標準	第3條	民國99年1月21日	環境音量-測定	3	道路交通環境音量測定應使用何種噪音計？測定高度？動特性？氣象條件？	CNS 7129 二型或 IEC 61672-1 Class 2；離地三公尺至五公尺；慢特性；無雨路乾且風速每秒十公尺以下	CNS 7129 一型或 IEC 61672-1 Class 1；離地零點五至一公尺；脈衝特性；雨天亦可測定且風速不予限制	CNS 7129 一型或 IEC 61672-1 Class 1；離地一點二至一點五公尺；快特性；無雨路乾且風速每秒五公尺以下	符合國家標準之簡易噪音計或手機應用程式；置於地面量測；快特性；無風無雨且氣溫二十五度以下	Road traffic environmental noise is measured with which meter, at what height, with what time response, and under what weather?	CNS 7129 Type 2 or IEC 61672-1 Class 2; 3–5 m above ground; slow response; no rain, dry road and wind at most 10 m/s	CNS 7129 Type 1 or IEC 61672-1 Class 1; 0.5–1 m above ground; impulse response; rain permitted and no wind speed limit	CNS 7129 Type 1 or IEC 61672-1 Class 1; 1.2–1.5 m above ground; fast response; no rain, dry road and wind at most 5 m/s	Any simple meter meeting national standards or a phone app; placed on the ground; fast response; no wind or rain and below 25°C	c	第3條：使用 CNS 7129 一型或 IEC 61672-1 Class 1 噪音計；道路測定高度離地面樓板一點二至一點五公尺，航空固定式監測至少三公尺；道路測定地點於陳情人居住地點室外距建築物一至二公尺或室內開窗距窗一點五公尺，道路邊地區距道路邊緣一公尺（有建築物者距牆面一公尺以上）；航空測點周圍三點五公尺無遮蔽反射物且單一事件最大音量與背景至少相差十分貝；動特性道路快特性航空慢特性；道路二十四小時連續測定，航空固定站全年、非固定站連續十日以上；氣象道路無雨路乾風速每秒五公尺以下、航空風速每秒十公尺以下；紀錄應含日期時間地點座標人員儀器校正結果氣象適用標準；附近有明顯噪音源應停止另尋地點。	Article 3.	active	8		
ENV-1622	ENV	ENV-40	環境音量標準	第4條	民國99年1月21日	環境音量-道路標準	3	第一類或第二類管制區內緊鄰八公尺以上道路之道路交通噪音環境音量標準，日間晚間夜間均能音量各為幾分貝？第三或第四類管制區緊鄰八公尺以上道路？	71、69、63；74、73、69	74、70、67；76、75、72	80、75、70；85、80、75	60、55、50；65、60、55	Road traffic noise limits (Leq day/evening/night) beside roads 8 m or wider in Class 1–2 zones are, and in Class 3–4 zones:	71, 69, 63; 74, 73, 69	74, 70, 67; 76, 75, 72	80, 75, 70; 85, 80, 75	60, 55, 50; 65, 60, 55	b	第4條：道路交通噪音環境音量標準（Leq，日間/晚間/夜間）：第一或二類管制區緊鄰未滿八公尺道路 71/69/63、緊鄰八公尺以上道路 74/70/67；第三或四類管制區緊鄰未滿八公尺道路 74/73/69、緊鄰八公尺以上道路 76/75/72。第5條：航空噪音環境音量標準非屬航空噪音防制區之區域，噴射及螺旋槳飛機起降航空站全年航空噪音日夜音量 60、直昇機航空站 52。	Articles 4–5 (aircraft: DNL 60 for jet/propeller airports, 52 for heliports outside noise control zones).	active	8		
ENV-1861	ENV	ENV-44	水污染防治法施行細則	第8條	民國107年12月21日	水污細則-繞流排放	3	水污染防治法第18條之1所定「繞流排放」包括下列何種情形？	未接觸冷卻水由核准放流口排放、經核准之土壤處理場灌溉排放、回收再利用之製程用水循環使用、經審查同意之整治用水回注、其他已依法申報登記之排放情形	由未經核准登記之放流口排放、未經核准之收集處理流程排放且污染物濃度達放流水標準五倍以上或 pH 小於二或大於十一、自共同排放管線採樣口排放、貯留許可者排放水質異常、其他意圖逃避稽查之繞開情形	由經核准登記之放流口排放、經核准之收集處理流程排放且污染物濃度達放流水標準二倍以上或 pH 小於四或大於九、自專用排放管線出水口排放、貯留許可者排放水質正常、其他經主管機關同意之排放情形	因暴雨致雨水下水道溢流排放、因停電致處理設施暫停而由緊急貯留池排放、廠區屋頂雨水逕流排入雨水下水道、消防演練用水排放、其他非人為故意之天然因素排放情形	'Bypass discharge' under Article 18-1 of the Water Pollution Control Act includes:	Discharge of non-contact cooling water through approved outlets, irrigation discharge at approved soil treatment sites, reuse of recycled process water, approved remediation water reinjection, and other lawfully registered discharges	Discharge through unapproved outlets, discharge bypassing approved treatment with pollutants at 5× effluent limits or pH below 2 or above 11, discharge from sampling ports on shared pipelines, abnormal discharge under storage permits, and other evasion of inspection	Discharge through approved outlets, discharge through approved treatment with pollutants at 2× effluent limits or pH below 4 or above 9, discharge from outlets on dedicated pipelines, normal discharge under storage permits, and other discharges approved by the authority	Storm overflow from rainwater sewers, discharge from emergency storage ponds when a power failure halts treatment, rooftop rainwater runoff into storm drains, fire drill water discharge, and other discharges from natural causes	b	第8條：以專管渠道閥門或泵浦使廢污水由未經核准登記之放流口排放或未依核准排放口排入下水道（僅排放未接觸冷卻水者除外）；未經核准登記之收集處理單元流程而由核准放流口排放且污染物濃度為放流水標準限值五倍以上（pH 大腸桿菌群水溫除外）或 pH 小於二或大於十一；自共同排放管線採樣口排放；取得貯留許可者排放水質有前述情形；其他經認定意圖逃避稽查之繞開情形。第13條之1：輸送或貯存設備指收集貯存處理排放之單元桶槽泵浦閥門管線溝渠及輸送貯存原料產品油品藥劑廢棄物之設備，疏漏包含溢流滲漏洩漏。	Articles 8 and 13-1.	active	8		
ENV-1862	ENV	ENV-44	水污染防治法施行細則	第9條	民國107年12月21日	水污細則-處理設施功能	3	廢（污）水（前）處理設施應具備足夠功能，其中可預見異常作業或暴雨突增水量及逕流廢水之處理容量，每日廢水產生量五百立方公尺以上者不得低於最大容量百分之多少？未達五百立方公尺者？	百分之五；百分之十	百分之十；百分之二十	百分之一；百分之五	百分之二十；百分之三十	Wastewater (pre)treatment facilities must reserve capacity for foreseeable abnormal operations or storm surges of at least what share of maximum capacity for facilities generating 500 m³/day or more, and for smaller ones?	5%; 10%	10%; 20%	1%; 5%	20%; 30%	a	第9條：在最大產能服務規模可預見異常作業或暴雨突增水量及應收集之逕流廢水下均能使處理後廢污水符合規定（排入下水道者符合下水道法）；易損壞不易換裝部分應有備份裝置及備品；設獨立專用電度表；異常作業或暴雨突增及逕流廢水處理容量，每日廢水產生量五百立方公尺以上者不得低於最大容量百分之五、未達五百立方公尺者不得低於百分之十。第10條：正常操作指依許可登記之操作參數執行、沉澱設施累積污泥高度低於水深二分之一、放流水導電度不得低於前一處理設施處理後廢污水導電度百分之八十。	Articles 9–10 (normal operation also requires sludge below half the settling tank depth and effluent conductivity at least 80% of pre-stage conductivity).	active	8		
ENV-1865	ENV	ENV-44	水污染防治法施行細則	第11條	民國107年12月21日	水污細則-功能檢查	3	主管機關為查證廢污水處理設施操作功能實施檢查時，應於檢查幾日前通知事業於檢查當日將生產提高至經常最大水污染產生量？事業因故無法配合應於原訂檢查幾日前敘明理由？	三十日；七日	十四日；三日	七日；一日	一日；當日	For functional inspections of wastewater treatment, authorities notify the enterprise how many days ahead to run at maximum pollution load, and an enterprise unable to comply must explain at least how many days before?	30 days; 7 days	14 days; 3 days	7 days; 1 day	1 day; same day	b	第11條：應於檢查十四日前通知事業於檢查當日將生產提高至申報或實際已達之經常最大水污染產生量狀態下操作處理設施；事業因故無法配合應於原訂檢查三日前敘明具體理由可達狀態之日期並檢附證明送經同意另訂日期。第12條：查證工作得委任委託委辦機關法人團體。第13條：進入軍事機關查證應會同憲兵或軍事機關環保人員。第21條：復工查驗及評鑑以實際經常最大廢污水產生量測試設施功能並評估申報與檢驗資料。	Articles 11–13 and 21.	active	8		
