ENV-1537	ENV	ENV-208	既存固定污染源污染物排放量認可準則	第1條	民國100年6月24日	既存排放量認可-法源	1	既存固定污染源污染物排放量認可準則係依據哪一條文授權訂定？	依空氣污染防制法第八條第五項規定訂定之	依空氣污染防制法第六條第四項規定訂定之	依空氣污染防制法第十二條第三項規定訂定之	依空氣污染防制法第二十一條第二項規定訂定之	Under which provision are the Regulations for Recognition of Pollutant Emissions from Existing Stationary Sources adopted?	Adopted under Article 8, Paragraph 5 of the Air Pollution Control Act	Adopted under Article 6, Paragraph 4 of the Air Pollution Control Act	Adopted under Article 12, Paragraph 3 of the Air Pollution Control Act	Adopted under Article 21, Paragraph 2 of the Air Pollution Control Act	a	第1條：本準則依空氣污染防制法第八條第五項規定訂定。空污法第八條規範總量管制區內固定污染源排放量之認可與交易，第十二條則為分期分區公告實施總量管制之依據，兩者搭配適用。	Article 1: adopted under Article 8(5) of the Air Pollution Control Act.	draft	14		
ENV-1548	ENV	ENV-208	既存固定污染源污染物排放量認可準則	第9條	民國100年6月24日	既存排放量認可-施行	1	既存固定污染源污染物排放量認可準則之施行日期規定為何？	本準則自發布後三個月施行	本準則自發布日施行	本準則自一百年七月一日施行	本準則自發布後一年施行	When do these Regulations take effect?	They take effect three months after promulgation	They take effect on the date of promulgation	They take effect on July 1 of Year 100 (2011)	They take effect one year after promulgation	b	第9條：本準則自發布日施行，無另定緩衝期間；申請期限則另依第2條自公告實施總量管制之日起一年內計算。	Article 9: effective upon promulgation.	draft	14		
ENV-1549	ENV	ENV-209	三級防制區既存固定污染源應削減污染物排放量準則	第1條	民國109年7月10日	三級防制區削減-法源	1	三級防制區既存固定污染源應削減污染物排放量準則之法源依據為何？	依空氣污染防制法第六條第四項規定訂定之	依空氣污染防制法第八條第五項規定訂定之	依空氣污染防制法第十二條第二項規定訂定之	依空氣污染防制法第二十四條第三項規定訂定之	What is the statutory basis of these Regulations on emission reduction by existing sources in Class 3 areas?	Adopted under Article 6, Paragraph 4 of the Air Pollution Control Act	Adopted under Article 8, Paragraph 5 of the Air Pollution Control Act	Adopted under Article 12, Paragraph 2 of the Air Pollution Control Act	Adopted under Article 24, Paragraph 3 of the Air Pollution Control Act	a	第1條：本準則依空氣污染防制法第六條第四項規定訂定。空污法第六條規範三級防制區內既存固定污染源應削減污染物排放量之義務，本準則則具體訂定其適用門檻與改善期限。	Article 1: adopted under Article 6(4) of the Air Pollution Control Act.	draft	14		
ENV-1550	ENV	ENV-209	三級防制區既存固定污染源應削減污染物排放量準則	第2條	民國109年7月10日	三級防制區削減-適用門檻	2	位於三級防制區內之公私場所，於何種條件下應依本準則削減氮氧化物排放量？	具備附表所列條件說明之製程，且操作許可證記載任一既存固定污染源之氮氧化物年許可排放量達四十公噸以上者	具備附表所列條件說明之製程，且設置許可證記載任一新設固定污染源之氮氧化物年許可排放量達二十公噸以上者	具備附表所列條件說明之製程，且操作許可證記載全廠合計之氮氧化物年許可排放量達一百公噸以上者	具備附表所列條件說明之製程，且操作許可證記載任一既存固定污染源之硫氧化物年許可排放量達四公噸以上者	When must a premises in a Class 3 control area reduce NOx emissions under these Regulations?	It has a process listed in the appended table and its operating permit records any existing source with permitted annual NOx of 40 tonnes or more	It has a process listed in the appended table and its installation permit records any new source with permitted annual NOx of 20 tonnes or more	It has a process listed in the appended table and its operating permit records plant-wide permitted annual NOx of 100 tonnes or more	It has a process listed in the appended table and its operating permit records any existing source with permitted annual SOx of 4 tonnes or more	a	第2條第1項：位於三級防制區內、具備附表所列條件說明之製程，且操作許可證記載任一既存固定污染源氮氧化物年許可排放量達四十公噸以上者，應依本準則削減氮氧化物排放量。	Article 2(1): listed process plus permitted annual NOx of 40 tonnes or more for any single existing source.	draft	14		
ENV-1551	ENV	ENV-209	三級防制區既存固定污染源應削減污染物排放量準則	第2條	民國109年7月10日	三級防制區削減-既存定義	2	本準則所稱既存固定污染源，指自本準則發布日前具備何種情形之固定污染源？	已通過環境影響評估審查、已完成開發用地取得或已提出開發計畫申請者	已取得設置許可證、已完成試車程序或已申請操作許可證但尚未取得核准者	已建造完成並連續運轉三年以上，且已完成空氣污染防制設施改善工程者	已建造完成、建造中、已完成工程招標程序或未經招標程序已訂立工程施作契約者	What counts as an existing stationary source under these Regulations?	One that has passed EIA review, completed acquisition of the development site, or filed a development plan application	One already holding an installation permit, having completed trial runs, or having applied for but not yet obtained an operating permit	One already built and operating continuously for over three years with air pollution control equipment improvements completed	One already built, under construction, with tendering completed, or with a construction contract signed without tendering, before promulgation	d	第2條第2項：既存固定污染源係指自本準則發布日前，固定污染源已建造完成、建造中、已完成工程招標程序，或未經招標程序而已訂立工程施作契約者。	Article 2(2): built, under construction, tendered, or under a signed construction contract before promulgation.	draft	14		
ENV-1552	ENV	ENV-209	三級防制區既存固定污染源應削減污染物排放量準則	第3條	民國109年7月10日	三級防制區削減-展延檢附	3	既存固定污染源之製程符合附表所列應符合條件者，於申請操作許可證展延時應如何辦理？	應檢具最近三年連續自動監測紀錄或其他足以證明符合附表所列年排放總量之證明文件，併同展延申請所需資料一併辦理	應檢具最近一年檢測報告或其他足以證明符合附表所列排放管道濃度或削減率之證明文件，併同展延申請所需資料一併辦理	應檢具最近一年空氣污染防制費繳納證明或其他足以證明已完成設備汰換之文件，併同展延申請所需資料一併辦理	應檢具最近五年檢測報告及環境影響評估審查結論，證明符合附表所列之削減率後，另案報請中央主管機關核定	What must a compliant process submit when applying to renew its operating permit?	Three years of continuous monitoring records or other proof of meeting the annual emission total in the appended table, filed together with the renewal application	A test report from the past year or other proof of meeting the stack concentration or reduction rate in the appended table, filed together with the renewal application	An air pollution fee payment certificate for the past year or other proof that equipment replacement is complete, filed together with the renewal application	Five years of test reports plus the EIA review conclusion proving the reduction rate, submitted separately to the central authority for approval	b	第3條第1項第1款：製程符合附表所列應符合條件者，應檢具最近一年檢測報告或其他足以證明符合附表所列排放管道濃度或削減率之證明文件，併同固定污染源操作許可證展延申請所需檢附資料一併辦理。	Article 3(1)(1): a test report from the past year proving the stack concentration or reduction rate.	draft	14		
ENV-1553	ENV	ENV-209	三級防制區既存固定污染源應削減污染物排放量準則	第3條	民國109年7月10日	三級防制區削減-改善期限	3	既存固定污染源之製程未能符合附表所列條件而需增設防制設施者，應如何辦理？其改善期限最遲為何時？	應檢具空氣污染防制計畫向目的事業主管機關申請核定改善期限，改善期限不得逾一百十二年七月三十一日	應檢具空氣污染防制計畫向中央主管機關申請核定工程改善所需期限，改善期限不得逾一百十年十二月三十一日	應檢具空氣污染防制計畫向審核機關申請核定工程改善所需期限，改善期限不得逾一百十四年六月三十日	應檢具固定污染源設置許可申請書向審核機關報備工程改善進度，改善期限不得逾一百十六年六月三十日	How does a non-compliant process proceed, and what is the latest improvement deadline?	Submit an air pollution control plan to the industry competent authority for approval, with the deadline not beyond 31 July of Year 112	Submit an air pollution control plan to the central competent authority for approval of the improvement period, which may not extend beyond 31 December of Year 110	Submit an air pollution control plan to the reviewing agency for approval of the improvement period, which may not extend beyond 30 June of Year 114	Submit a stationary source installation permit application to the reviewing agency reporting progress, with the deadline not beyond 30 June of Year 116	c	第3條第1項第2款：需增加空氣污染防制設施者，應檢具設施種類、構造、效能、流程、設計圖說、設置經費及進度之空氣污染防制計畫，向審核機關申請核定工程改善所需期限，改善期限不得逾一百十四年六月三十日。第2項：專責處理一般廢棄物之廢棄物焚化處理程序，經報請審核機關核准者不受此限制。	Article 3(1)(2): control plan to the reviewing agency; deadline no later than 30 June of Year 114.	draft	14		
ENV-1554	ENV	ENV-209	三級防制區既存固定污染源應削減污染物排放量準則	第4條	民國109年7月10日	三級防制區削減-施行	1	三級防制區既存固定污染源應削減污染物排放量準則之施行日期為何？	本準則自發布後六個月施行	本準則自發布日施行	本準則自發布後一年施行	本準則自一百十四年七月一日施行	When do these Regulations take effect?	They take effect six months after promulgation	They take effect on the date of promulgation	They take effect one year after promulgation	They take effect on July 1 of Year 114 (2025)	b	第4條：本準則自發布日施行。發布日並同時作為第2條第2項既存固定污染源之認定時點。	Article 4: effective upon promulgation.	draft	14		
ENV-1754	ENV	ENV-210	機動車輛噪音驗證核可準則	第1條	民國100年12月1日	車輛噪音驗證-法源	1	機動車輛噪音驗證核可準則係依據哪一條文授權訂定？	依噪音管制法第十二條第四項規定訂定之	依噪音管制法第十四條第三項規定訂定之	依噪音管制法第九條第二項規定訂定之	依噪音管制法第二十四條第一項規定訂定之	Under which provision are the Motor Vehicle Noise Verification Approval Regulations adopted?	Adopted under Article 12, Paragraph 4 of the Noise Control Act	Adopted under Article 14, Paragraph 3 of the Noise Control Act	Adopted under Article 9, Paragraph 2 of the Noise Control Act	Adopted under Article 24, Paragraph 1 of the Noise Control Act	a	第1條：本準則依噪音管制法第十二條第四項規定訂定，就進口及大型客車之噪音驗證核可程序為具體規範。	Article 1: adopted under Article 12(4) of the Noise Control Act.	draft	14		
ENV-1755	ENV	ENV-210	機動車輛噪音驗證核可準則	第2條	民國100年12月1日	車輛噪音驗證-定義	2	本準則所稱加速噪音與原地噪音之定義分別為何？	加速噪音指機動車輛於一定路程、一定檔位行駛狀態下測出之平均音量；原地噪音指車輛於原地在最高引擎轉速下測出之平均音量	加速噪音指機動車輛行駛於高速公路連續十分鐘之等效音量；原地噪音指車輛停於原地在怠速狀態下所測出之最小音量	加速噪音指機動車輛於原地由怠速加速至最高轉速時測出之最大音量；原地噪音指車輛於一定路程等速行駛時測出之背景音量	加速噪音指機動車輛於一定路程、一定檔位行駛狀態下測出之最大音量；原地噪音指車輛於原地在一定引擎轉速下測出之最大音量	How are acceleration noise and stationary noise defined?	Acceleration noise is the average level measured over a set distance in a set gear; stationary noise is the average level measured at rest at maximum engine speed	Acceleration noise is the equivalent level over ten minutes of highway driving; stationary noise is the minimum level measured while the vehicle idles in place	Acceleration noise is the maximum level while accelerating in place from idle to top speed; stationary noise is the background level while cruising a set distance	Acceleration noise is the maximum level measured over a set distance in a set gear; stationary noise is the maximum level measured at rest at a set engine speed	d	第2條第1、2款：加速噪音指機動車輛於一定路程、一定檔位行駛狀態下測出之最大音量；原地噪音指機動車輛於原地在一定引擎轉速下測出之最大音量。第4條並要求測定報告應包括兩者之測定結果。	Article 2(1)-(2): both are maximum measured levels, one while driving, one at rest.	draft	14		
ENV-1756	ENV	ENV-210	機動車輛噪音驗證核可準則	第2條	民國100年12月1日	車輛噪音驗證-定義	2	本準則所稱測定報告及合格證明，分別由何者作成或核發？	測定報告指車輛製造廠自行檢測符合機動車輛噪音管制標準之報告；合格證明指經公路監理機關核發之機動車輛車型噪音審驗合格證明文件	測定報告指海關委託之檢驗機構檢測符合噪音管制標準之報告；合格證明指經直轄市、縣（市）主管機關核發之車型噪音審驗合格證明	測定報告指中央主管機關指定之檢驗測定機構檢測符合機動車輛噪音管制標準之報告；合格證明指經中央主管機關核發之車型噪音審驗合格證明	測定報告指進口商所屬公會出具之噪音檢測結果報告書；合格證明指經目的事業主管機關核發之機動車輛噪音管制標準符合證明	Who produces the test report and who issues the certificate of conformity?	The test report is self-tested by the vehicle manufacturer showing compliance with the noise standard; the certificate is issued by the highway supervision authority	The test report comes from a laboratory commissioned by customs showing compliance with the noise standard; the certificate is issued by the municipal or county authority	The report comes from a testing organization designated by the central authority meeting the vehicle noise standard; the certificate is issued by the central authority	The test report is issued by the importer's trade association; the certificate is issued by the industry competent authority as a noise standard compliance certificate	c	第2條第3、4款：測定報告指中央主管機關指定之檢驗測定機構檢測符合機動車輛噪音管制標準之測定報告；合格證明指依審驗辦法檢具車型審驗測定車噪音測定報告等文件，送經中央主管機關核發之車型噪音審驗合格證明。	Article 2(3)-(4): designated testing organization; certificate issued by the central competent authority.	draft	14		
ENV-1757	ENV	ENV-210	機動車輛噪音驗證核可準則	第3條	民國100年12月1日	車輛噪音驗證-適用範圍	2	機動車輛噪音驗證核可準則適用於取得何種車輛之合格證明或測定報告者？	適用於取得總重量逾三千五百公斤貨車及國產機器腳踏車之合格證明或測定報告者	適用於取得總重量逾二千五百公斤貨車及國產機動車輛之合格證明或測定報告者	適用於取得總重量未逾三千五百公斤客車及進口機器腳踏車之測定報告或合格證明者	適用於取得總重量逾三千五百公斤客車及進口機動車輛之合格證明或測定報告者	Which vehicles fall within the scope of these Regulations?	Those holding a certificate or test report for cargo vehicles over 3,500 kg gross weight and for domestically made motorcycles	Those holding a certificate or test report for cargo vehicles over 2,500 kg gross weight and for domestically made motor vehicles	Those holding a test report or certificate for passenger vehicles not over 3,500 kg gross weight and for imported motorcycles	Those holding a certificate or test report for passenger vehicles over 3,500 kg gross weight and for imported motor vehicles	d	第3條：本準則適用於取得總重量逾三千五百公斤客車及進口機動車輛之合格證明或測定報告者，即以大型客車與進口車輛為規範對象。	Article 3: passenger vehicles over 3,500 kg and imported motor vehicles.	draft	14		
ENV-1758	ENV	ENV-210	機動車輛噪音驗證核可準則	第4條	民國100年12月1日	車輛噪音驗證-測定報告	1	依本準則提出之測定報告，應包括哪些項目之測定結果？	應包括加速噪音及原地噪音之測定結果	應包括加速噪音及夜間等效音量之測定結果	應包括原地噪音及車內音量之測定結果	應包括加速噪音及排氣管噪音之測定結果	What results must the test report contain?	It must contain the results for acceleration noise and stationary noise	It must contain the results for acceleration noise and night equivalent level	It must contain the results for stationary noise and in-cabin sound level	It must contain the results for acceleration noise and exhaust pipe noise	a	第4條：測定報告應包括加速噪音及原地噪音之測定結果，兩者定義見第2條第1、2款。	Article 4: acceleration noise and stationary noise.	draft	14		
