file	index	law_id	law	article	law_date	bad_option	option_text	correct_option
batch11_l2	46	OSH-23	工業用機器人危害預防標準	第37條	107.02.14	b	自發布日施行；修正條文自一百零三年一月一日施行；一百零七年二月十四日修正發布之條文自公告日施行	自發布日施行；修正條文自一百零三年七月三日施行；一百零七年二月十四日修正發布之條
batch11_l2	46	OSH-23	工業用機器人危害預防標準	第37條	107.02.14	d	自發布日施行；修正條文自一百零一年七月三日施行；一百零七年二月十四日修正發布之條文自次月施行	自發布日施行；修正條文自一百零三年七月三日施行；一百零七年二月十四日修正發布之條
batch11_n1	43	OSH-50	特定化學物質危害預防標準	第51條	110.09.16	b	自中華民國一百十年九月十六日施行	自中華民國一百十二年七月一日施行
batch11_n2	24	OSH-45	粉塵危害預防標準	第25條	103.06.25	b	本標準自發布日施行；一百零三年六月二十五日修正條文，自一百零四年一月一日施行	本標準自發布日施行；一百零三年六月二十五日修正條文，自一百零三年七月三日施行
batch11_n2	24	OSH-45	粉塵危害預防標準	第25條	103.06.25	c	本標準自發布後六個月施行；一百零三年六月二十五日之修正條文，則自發布日施行	本標準自發布日施行；一百零三年六月二十五日修正條文，自一百零三年七月三日施行
batch11_n2	24	OSH-45	粉塵危害預防標準	第25條	103.06.25	d	本標準自發布日施行；一百零三年六月二十五日修正條文，自一百十二年七月一日施行	本標準自發布日施行；一百零三年六月二十五日修正條文，自一百零三年七月三日施行
batch11_n2	35	OSH-43	危害性化學品評估及分級管理辦法	第12條	103.12.31	c	本辦法自中華民國一百零三年十二月三十一日施行	本辦法自中華民國一百零四年一月一日施行
batch12_a1	47	ENV-100	公告場所室內空氣品質檢驗測定管理辦法	第18條	111.06.24	b	本辦法自發布日施行；一百十一年六月二十四日修正之全部條文自一百十二年一月一日施行	本辦法自發布日施行；一百十一年六月二十四日修正之第十條條文自一百十一年七月一日施
batch12_a1	47	ENV-100	公告場所室內空氣品質檢驗測定管理辦法	第18條	111.06.24	c	本辦法自發布後六個月施行；一百十一年六月二十四日修正之第十條條文自發布日施行	本辦法自發布日施行；一百十一年六月二十四日修正之第十條條文自一百十一年七月一日施
batch12_a1	47	ENV-100	公告場所室內空氣品質檢驗測定管理辦法	第18條	111.06.24	d	本辦法自發布日施行；一百十一年六月二十四日修正之第十三條條文自一百十一年七月一日施行	本辦法自發布日施行；一百十一年六月二十四日修正之第十條條文自一百十一年七月一日施
batch12_a4	28	ENV-110	光電材料及元件製造業空氣污染管制及排放標準	第9條	95.01.05	b	應自中華民國九十五年一月五日起符合本標準規定	應自中華民國九十六年一月一日起符合本標準規定
batch12_c1	33	ENV-122	玻璃業空氣污染物排放標準	第3條	103.11.14	c	新設者指自一百零三年十一月十四日起取得操作許可證；既存者指該日前已取得設置許可證而尚未建造者	新設者指自一百零三年十一月十四日起設立；既存者指該日前已完成建造、建造中或已完成
batch12_d1	34	ENV-137	違反室內空氣品質管理法罰鍰額度裁罰準則	第9條	101.11.23	b	自中華民國一百零一年十一月二十三日後六個月施行	自中華民國一百零一年十一月二十三日施行
batch12_d1	43	ENV-139	鉛二次冶煉廠空氣污染物排放標準	第8條	110.06.29	b	一百十年六月二十九日修正發布之全部條文均自一百十一年一月一日施行，並無分階段施行之規定	一百十年六月二十九日修正發布之第七條及第五條附表自一百十年七月一日施行，其餘自發
batch12_d1	43	ENV-139	鉛二次冶煉廠空氣污染物排放標準	第8條	110.06.29	c	一百十年六月二十九日修正發布之第七條及第五條附表自一百十二年一月一日施行，其餘於發布後三個月施行	一百十年六月二十九日修正發布之第七條及第五條附表自一百十年七月一日施行，其餘自發
batch12_d1	43	ENV-139	鉛二次冶煉廠空氣污染物排放標準	第8條	110.06.29	d	一百十年六月二十九日修正發布之條文自公告後六個月施行，第五條附表則授權地方主管機關另定施行日	一百十年六月二十九日修正發布之第七條及第五條附表自一百十年七月一日施行，其餘自發
batch12_d2	3	ENV-140	電力設施空氣污染物排放標準	第2條	103.12.01	b	緊急備用設施年累積運轉不得超過三百六十小時；防制設備年累積維修不得超過二百四十小時；新設污染源指一百	緊急備用設施年累積運轉不得超過七百二十小時；防制設備年累積維修不得超過一百二十小
batch12_d2	8	ENV-140	電力設施空氣污染物排放標準	第6條	103.12.01	c	自一百零三年十二月一日至一百十年十二月三十一日止，於年排放總量未超過限值下依附表五，不受附表一限制；	自一百零五年十二月一日至一百十五年十二月三十一日止，於氮氧化物年排放總量未超過限
batch12_d2	11	ENV-140	電力設施空氣污染物排放標準	第9條	103.12.01	c	一律自中華民國一百零三年十二月一日施行	除另定施行日期者外，自發布日施行
batch12_d2	14	ENV-141	聚氨基甲酸酯塗布業揮發性有機物空氣污染管制及排放標準	第2條	112.04.25	b	揮發性有機物指初始沸點在攝氏一百五十度以下之有機化合物；既存製程指一百十二年四月二十五日以前已建造等	揮發性有機物指初始沸點在攝氏二百五十度以下之有機化合物；既存製程指一百十四年四月
batch12_d2	20	ENV-141	聚氨基甲酸酯塗布業揮發性有機物空氣污染管制及排放標準	第7條	112.04.25	b	應自一百十二年四月二十五日起符合；得於該期限前檢具空氣污染改善計畫申請核定改善期限，最長不得逾一百十	應自一百十四年五月一日起符合；得於該期限前檢具空氣污染改善計畫申請核定改善期限，
batch12_d3	15	ENV-143	廢棄物焚化爐空氣污染物排放標準	第14條	95.12.25	c	一律自中華民國九十五年十二月二十五日施行	除已另訂施行日期者外，自發布日起施行
batch12_d3	27	ENV-144	廢棄物焚化爐戴奧辛管制及排放標準	第10條	92.08.20	d	應自中華民國九十二年八月二十日起符合戴奧辛排放標準	應自中華民國九十年八月八日起符合戴奧辛排放標準值
batch12_d3	44	ENV-148	磚瓦窯業開放式隧道窯粒狀污染物排放標準	第7條	88.04.07	c	一律自中華民國八十八年四月七日起施行	除另定施行日期者外，自發布日施行
batch12_e1	1	ENV-149	鋼鐵業集塵灰高溫冶煉設施戴奧辛管制及排放標準	第2條	94.10.12	b	九十四年十月十二日前已取得設置許可證或操作許可證者；更換或擴增設備致戴奧辛排放增量達年許可排放量百分	九十四年十月十二日前已完成建造或建造中等；更換或擴增設備致戴奧辛排放增量達年許可
batch12_e1	4	ENV-149	鋼鐵業集塵灰高溫冶煉設施戴奧辛管制及排放標準	第5條	94.10.12	b	自九十四年十月十二日為 5 ng-TEQ/Nm3，自九十五年九月一日起加嚴為 2 ng-TEQ/Nm	自九十四年十月十二日為 9 ng-TEQ/Nm3，自九十五年九月一日起加嚴為 1
batch12_e1	4	ENV-149	鋼鐵業集塵灰高溫冶煉設施戴奧辛管制及排放標準	第5條	94.10.12	c	自九十四年十月十二日為 9 ng-TEQ/Nm3，自九十七年一月一日起加嚴為 0.4 ng-TEQ/	自九十四年十月十二日為 9 ng-TEQ/Nm3，自九十五年九月一日起加嚴為 1
batch12_e1	5	ENV-149	鋼鐵業集塵灰高溫冶煉設施戴奧辛管制及排放標準	第5條	94.10.12	c	排放標準值 0.1 ng-TEQ/Nm3，自中華民國九十四年十月十二日施行	排放標準值 0.4 ng-TEQ/Nm3，自中華民國九十四年十月十二日施行
batch12_e4	11	ENV-155	飲用水水源水質標準	第10條	86.09.24	b	自中華民國八十六年九月二十四日施行	自中華民國八十七年五月二十一日施行
batch12_h2	30	ENV-186	應回收廢棄物回收處理業管理辦法	第27條	115.07.13	b	本辦法自發布後六個月施行；一百十五年七月十三日修正發布之第二十三條，自發布日起即行施行	本辦法自發布日施行；一百十五年七月十三日修正發布之第二十三條，自一百十六年一月一
batch12_h2	30	ENV-186	應回收廢棄物回收處理業管理辦法	第27條	115.07.13	c	本辦法自發布日施行；一百十五年七月十三日修正發布之第二十三條，自一百十七年七月一日施行	本辦法自發布日施行；一百十五年七月十三日修正發布之第二十三條，自一百十六年一月一
batch12_h2	30	ENV-186	應回收廢棄物回收處理業管理辦法	第27條	115.07.13	d	本辦法自一百十五年一月一日施行；一百十五年七月十三日修正發布之第二十三條，自公布後三年施行	本辦法自發布日施行；一百十五年七月十三日修正發布之第二十三條，自一百十六年一月一
batch12_i2	14	ENV-192	病媒防治業管理辦法	第9條、第13條	105.12.30	b	本辦法自中華民國一百零五年十二月三十日施行，並溯及既往適用於既有業者	本辦法自發布日施行，其中施作紀錄按月申報規定另定自一百零七年二月一日適用
batch12_i2	21	ENV-193	違反毒性及關注化學物質管理法罰鍰額度裁罰準則	第6條	110.08.30	b	本準則自中華民國一百十年八月三十日施行，修正條文自公布後三個月施行	本準則自中華民國一百零九年一月十六日施行，修正條文則自發布日施行
batch12_i2	31	ENV-194	遺傳工程環境用藥微生物製劑開發試驗研究管理辦法	第9條	95.06.12	b	本辦法自中華民國九十五年六月十二日施行，並溯及適用於施行前之試驗	本辦法自發布日施行，並未另定過渡期間或延後生效之特別規定於條文中
batch12_i2	43	ENV-195	環境用藥工廠設廠標準	第12條	95.07.10	b	本標準自中華民國九十五年七月十日施行，既有工廠得於二年內完成改善	本標準自發布日施行，並未於條文中另定過渡期間或延後生效之特別規定
batch12_i3	17	ENV-196	環境用藥專業技術人員設置管理辦法	第18條	112.03.03	b	本辦法自中華民國一百十二年三月三日施行，既有設置者得於一年內補正	本辦法自發布日施行，並未於條文中另定過渡期間或延後生效之特別規定
batch12_i3	29	ENV-197	環境用藥貯存置放使用管理辦法	第12條	95.06.29	b	本辦法自中華民國九十五年六月二十九日施行，既有業者得於一年內改善	本辦法自發布日施行，並未於條文中另定過渡期間或延後生效之特別規定
batch12_i3	34	ENV-198	環境用藥微生物製劑使用於生態及水源保育或保護區運作管理辦法	第5條	95.06.29	b	本辦法自中華民國九十五年六月二十九日施行，既有施用者得一年內補正	本辦法自發布日施行，並未於條文中另定過渡期間或延後生效之特別規定
batch13_a2	35	ENV-39	噪音管制法施行細則	第13條	99.03.11	b	應經直轄市、縣（市）主管機關甄選並具備技師資格；自中華民國九十九年三月十一日起適用	應經中央主管機關或其委託之機構訓練合格並領有證書；自中華民國一百年七月一日起適用
batch13_b2	43	ENV-55	事業廢棄物清理計畫書審查管理辦法	第19條	114.07.10	c	本辦法自發布日施行；修正條文則自中華民國一百十四年七月十日起施行	本辦法自中華民國一百零七年七月一日施行；修正條文則自發布日施行
batch13_c3	17	ENV-67	毒性及關注化學物質管理法施行細則	第19條	108.09.03	c	自中華民國一百零八年九月三日施行	自中華民國一百零九年一月十六日施行
batch13_c3	43	ENV-69	毒性及關注化學物質專業技術管理人員設置及管理辦法	第18條	108.12.25	c	自中華民國一百零八年十二月二十五日施行	自中華民國一百零九年一月十六日施行
batch13_e2	20	ENV-96	環境保護專責及技術人員訓練管理辦法	第23條之1	109.07.01	b	自執行業務事實發生年度之當年一月一日起算；修正施行前已設置者，自一百零九年七月一日起算	自執行業務事實發生年度之次年一月一日起算；修正施行前已設置者，自一百十年一月一日
batch13_e2	29	ENV-96	環境保護專責及技術人員訓練管理辦法	第30條	109.07.01	b	本辦法自發布日施行；一百零九年七月一日修正條文自一百零九年七月一日施行	本辦法自發布日施行；一百零九年七月一日修正條文自一百零九年一月十六日施行
batch13_e2	29	ENV-96	環境保護專責及技術人員訓練管理辦法	第30條	109.07.01	c	本辦法自公布日施行；一百零九年七月一日修正條文自一百十年一月一日起施行	本辦法自發布日施行；一百零九年七月一日修正條文自一百零九年一月十六日施行
batch13_e2	29	ENV-96	環境保護專責及技術人員訓練管理辦法	第30條	109.07.01	d	本辦法自發布後三個月施行；一百零九年七月一日修正之條文自發布日施行	本辦法自發布日施行；一百零九年七月一日修正條文自一百零九年一月十六日施行
batch14_b1	48	ENV-219	環境用藥標示準則	第8條	95.07.24	b	自中華民國九十五年七月二十四日施行	自發布日施行，未另訂特定之施行日期
batch14_b3	10	ENV-221	毒性及關注化學物質事故調查處理報告作業準則	第7條	110.07.01	b	自中華民國一百十年七月一日起施行	自中華民國一百零九年一月十六日施行
batch14_b3	38	ENV-223	辦理土壤及地下水污染場址整治目標公聽會作業準則	第13條	105.01.22	b	自中華民國一百零五年一月二十二日施行	自發布日施行，未另訂特定之施行日期
batch1_c	44	OSH-02	職業安全衛生法施行細則	第54條	115.06.26	a	115年6月26日	115年7月1日
batch4_a	72	OSH-09	職業安全衛生管理辦法	第90條	115.06.29	b	115年6月29日	115年7月1日
batch9_b6	16	ENV-47	水污染防治措施計畫及許可申請審查管理辦法	第62條	115.03.24	b	本辦法自發布日施行；一百十五年三月二十四日修正發布之條文，除第五十六條自發布日施行外，自一百十六年一	本辦法自發布日施行；一百十五年三月二十四日修正發布之條文，除第五十七條自發布日施
batch9_b6	16	ENV-47	水污染防治措施計畫及許可申請審查管理辦法	第62條	115.03.24	c	本辦法自發布日施行；一百十五年三月二十四日修正發布之條文一律自發布日施行，並無另定施行日期之特別規定	本辦法自發布日施行；一百十五年三月二十四日修正發布之條文，除第五十七條自發布日施
batch9_b6	16	ENV-47	水污染防治措施計畫及許可申請審查管理辦法	第62條	115.03.24	d	本辦法自發布後六個月施行；一百十五年三月二十四日修正發布之條文，除第五十七條自發布日施行外，自一百十	本辦法自發布日施行；一百十五年三月二十四日修正發布之條文，除第五十七條自發布日施
batch9_e1	6	ENV-81	地下水污染監測標準	第7條	102.12.18	b	本標準自發布日施行；一百零二年十二月十八日修正之條文，自一百零四年七月一日施行	本標準自發布日施行；一百零二年十二月十八日修正之條文，自一百零三年一月一日施行
batch9_e1	6	ENV-81	地下水污染監測標準	第7條	102.12.18	c	本標準自發布後六個月施行；一百零二年十二月十八日修正之條文，自發布日即行施行	本標準自發布日施行；一百零二年十二月十八日修正之條文，自一百零三年一月一日施行
batch9_e1	6	ENV-81	地下水污染監測標準	第7條	102.12.18	d	本標準自發布後一年施行；一百零二年十二月十八日修正之條文，自一百零五年起施行	本標準自發布日施行；一百零二年十二月十八日修正之條文，自一百零三年一月一日施行
batch9_e1	31	ENV-83	防止貯存系統污染地下水體設施及監測設備設置管理辦法	第33條	111.10.11	b	自中華民國一百十一年十月十一日施行	自中華民國一百十年一月一日施行
batch9_e2	40	ENV-88	溫室氣體減量額度交易拍賣及移轉管理辦法	第38條	113.07.01	b	自中華民國一百十三年七月一日發布日施行	自中華民國一百十三年八月十五日施行
batch9_e4	30	ENV-94	環境教育人員認證及管理辦法	第19條	112.08.11	d	本辦法自一百十二年八月十一日修正日施行	本辦法自發布日施行，未另定緩衝生效日期
