law_id	name	local	online	status
OSH-47	有機溶劑中毒預防規則	114-05-14	114-05-14	OK
OSH-48	勞動基準法	113-07-31	113-07-31	OK
OSH-49	勞動基準法施行細則	113-03-27	113-03-27	OK
OSH-50	特定化學物質危害預防標準	110-09-16	110-09-16	OK
ENV-01	空氣污染防制法	107-08-01	107-08-01	OK
ENV-02	空氣污染防制法施行細則	109-09-18	109-09-18	OK
ENV-03	營建工程空氣污染防制設施管理辦法	110-10-18	110-10-18	OK
ENV-04	固定污染源逸散性粒狀污染物空氣污染防制設施管理辦法	112-07-06	112-07-06	OK
ENV-05	噪音管制法	114-12-26	114-12-26	OK
ENV-06	噪音管制標準	102-08-05	102-08-05	OK
ENV-07	水污染防治法	107-06-13	107-06-13	OK
ENV-08	放流水標準	113-12-18	113-12-18	OK
ENV-09	水污染防治措施及檢測申報管理辦法	115-04-20	115-04-20	OK
ENV-10	廢棄物清理法	115-07-15	115-07-15	OK
ENV-11	事業廢棄物貯存清除處理方法及設施標準	112-11-01	112-11-01	OK
ENV-12	營建剩餘土石方處理方案	113-05-15		SKIP
ENV-13	環境影響評估法	114-11-28	114-11-28	OK
ENV-14	海洋污染防治法	112-05-31	112-05-31	OK
ENV-15	海岸管理法	104-02-04	104-02-04	OK
ENV-16	海洋保育法	113-07-31	113-07-31	OK
ENV-17	野生動物保育法	114-02-18	114-02-18	OK
ENV-18	濕地保育法	102-07-03	102-07-03	OK
ENV-19	土壤及地下水污染整治法	099-02-03	099-02-03	OK
ENV-20	毒性及關注化學物質管理法	108-01-16	108-01-16	OK
ENV-21	環境基本法	091-12-11	091-12-11	OK
ENV-22	氣候變遷因應法	112-02-15	112-02-15	OK
ENV-23	環境教育法	106-11-29	106-11-29	OK
ENV-24	資源循環推動法	115-06-17	115-06-17	OK
ENV-25	公害糾紛處理法	098-06-17	098-06-17	OK
ENV-26	空氣污染防制專責單位或專責人員設置及管理辦法	108-08-06	108-08-06	OK
ENV-27	固定污染源空氣污染物排放標準	112-06-14	112-06-14	OK
ENV-28	空氣品質標準	113-09-30	113-09-30	OK
ENV-29	空氣品質嚴重惡化警告發布及緊急防制辦法	115-03-18	115-03-18	OK
ENV-30	室內空氣品質管理法	100-11-23	100-11-23	OK
ENV-31	室內空氣品質標準	101-11-23	101-11-23	OK
ENV-32	固定污染源設置操作及燃料使用許可證管理辦法	108-09-26	108-09-26	OK
ENV-33	空氣污染防制費收費辦法	111-03-24	111-03-24	OK
ENV-34	揮發性有機物空氣污染管制及排放標準	112-12-04	112-12-04	OK
ENV-35	鍋爐空氣污染物排放標準	114-01-02	114-01-02	OK
ENV-36	汽車停車怠速管理辦法	108-01-25	108-01-25	OK
ENV-37	空氣污染行為管制執行準則	108-07-25	108-07-25	OK
ENV-38	空氣品質監測站設置及監測準則	108-09-09	108-09-09	OK
ENV-39	噪音管制法施行細則	099-03-11	099-03-11	OK
ENV-40	環境音量標準	099-01-21	099-01-21	OK
ENV-41	噪音管制區劃定作業準則	109-08-05	109-08-05	OK
ENV-42	易發生噪音設施設置及操作許可辦法	099-07-16	099-07-16	OK
ENV-43	機動車輛噪音管制標準	109-12-01	109-12-01	OK
ENV-44	水污染防治法施行細則	107-12-21	107-12-21	OK
ENV-45	地面水體分類及水質標準	115-03-27	115-03-27	OK
ENV-46	廢（污）水處理專責單位或人員設置及管理辦法	110-02-05	110-02-05	OK
ENV-47	水污染防治措施計畫及許可申請審查管理辦法	115-03-24	115-03-24	OK
ENV-48	事業或污水下水道系統排放廢（污）水緊急應變辦法	094-08-26	094-08-26	OK
ENV-49	飲用水管理條例	095-01-27	095-01-27	OK
ENV-50	飲用水水質標準	113-11-25	113-11-25	OK
ENV-51	土壤處理標準	095-10-16	095-10-16	OK
ENV-52	廢棄物清理法施行細則	108-11-06	108-11-06	OK
ENV-53	有害事業廢棄物認定標準	109-02-21	109-02-21	OK
ENV-54	公民營廢棄物清除處理機構許可管理辦法	113-05-17	113-05-17	OK
ENV-55	事業廢棄物清理計畫書審查管理辦法	114-07-10	114-07-10	OK
ENV-56	廢棄物清理專業技術人員管理辦法	111-11-29	111-11-29	OK
ENV-57	一般廢棄物回收清除處理辦法	114-01-03	114-01-03	OK
ENV-58	應回收廢棄物責任業者管理辦法	113-12-16	113-12-16	OK
ENV-59	事業委託清理之相當注意義務認定準則	110-02-23	110-02-23	OK
ENV-60	環境部事業廢棄物再利用管理辦法	114-03-06	114-03-06	OK
ENV-61	共通性事業廢棄物再利用管理辦法	115-06-02	115-06-02	OK
ENV-62	資源回收再利用法施行細則	092-08-27	092-08-27	OK
ENV-63	環境影響評估法施行細則	115-02-05	115-02-05	OK
ENV-64	開發行為應實施環境影響評估細目及範圍認定標準	115-02-05	115-02-05	OK
ENV-65	開發行為環境影響評估作業準則	110-02-02	110-02-02	OK
ENV-66	政府政策環境影響評估作業辦法	095-04-07	095-04-07	OK
ENV-67	毒性及關注化學物質管理法施行細則	108-09-03	108-09-03	OK
ENV-68	毒性及關注化學物質危害預防及應變計畫作業辦法	109-10-21	109-10-21	OK
ENV-69	毒性及關注化學物質專業技術管理人員設置及管理辦法	108-12-25	108-12-25	OK
ENV-70	毒性及關注化學物質標示與安全資料表管理辦法	111-11-04	111-11-04	OK
ENV-71	毒性及關注化學物質運送管理辦法	109-01-22	109-01-22	OK
ENV-72	毒性及關注化學物質許可登記核可管理辦法	113-06-11	113-06-11	OK
ENV-73	毒性及關注化學物質運作與釋放量紀錄管理辦法	108-12-25	108-12-25	OK
ENV-74	毒性及關注化學物質應變器材與偵測警報設備管理辦法	109-01-13	109-01-13	OK
ENV-75	新化學物質及既有化學物質資料登錄辦法	110-11-23	110-11-23	OK
ENV-76	環境用藥管理法	105-12-07	105-12-07	OK
ENV-77	土壤及地下水污染整治法施行細則	099-12-31	099-12-31	OK
ENV-78	土壤污染管制標準	100-01-31	100-01-31	OK
ENV-79	地下水污染管制標準	114-12-23	114-12-23	OK
ENV-80	土壤污染監測標準	100-01-31	100-01-31	OK
ENV-81	地下水污染監測標準	102-12-18	102-12-18	OK
ENV-82	土壤及地下水污染場址初步評估暨處理等級評定辦法	102-04-24	102-04-24	OK
ENV-83	防止貯存系統污染地下水體設施及監測設備設置管理辦法	111-10-11	111-10-11	OK
ENV-84	氣候變遷因應法施行細則	112-12-29	112-12-29	OK
ENV-85	溫室氣體排放量盤查登錄及查驗管理辦法	114-12-19	114-12-19	OK
ENV-86	碳費收費辦法	113-08-29	113-08-29	OK
ENV-87	自主減量計畫管理辦法	113-08-29	113-08-29	OK
ENV-88	溫室氣體減量額度交易拍賣及移轉管理辦法	113-07-01	113-07-01	OK
ENV-89	溫室氣體自願減量專案管理辦法	112-10-12	112-10-12	OK
ENV-90	溫室氣體排放量增量抵換管理辦法	112-10-12	112-10-12	OK
ENV-91	自願性產品碳足跡核定標示及管理辦法	114-03-19	114-03-19	OK
ENV-92	環境教育法施行細則	113-04-17	113-04-17	OK
ENV-93	環境講習執行辦法	107-05-29	107-05-29	OK
ENV-94	環境教育人員認證及管理辦法	112-08-11	112-08-11	OK
ENV-95	公害糾紛處理法施行細則	093-11-24	093-11-24	OK
ENV-96	環境保護專責及技術人員訓練管理辦法	109-07-01	109-07-01	OK
ENV-97	環境檢驗測定機構管理辦法	114-10-02	114-10-02	OK
ENV-98	違反環境影響評估法按日連續處罰執行準則	093-11-03	093-11-03	OK
ENV-99	中小型廢棄物焚化爐戴奧辛管制及排放標準	094-03-16	094-03-16	OK
ENV-100	公告場所室內空氣品質檢驗測定管理辦法	111-06-24	111-06-24	OK
ENV-101	公私場所固定污染源申請改善排放空氣污染物總量及濃度管理辦法	108-03-05	108-03-05	OK
ENV-102	公私場所固定污染源空氣污染物排放量申報管理辦法	108-06-11	108-06-11	OK
ENV-103	公私場所固定污染源復工試車評鑑及管理辦法	109-01-31	109-01-31	OK
ENV-104	公私場所固定污染源違反空氣污染防制法應處罰鍰額度裁罰準則	113-12-31	113-12-31	OK
ENV-105	公私場所固定污染源燃料混燒比例成分及防制設施管制標準	114-01-02	114-01-02	OK
ENV-106	水泥業空氣污染物排放標準	115-05-18	115-05-18	OK
ENV-107	加油站油氣回收設施管理辦法	110-05-07	110-05-07	OK
ENV-108	半導體製造業空氣污染管制及排放標準	112-05-04	112-05-04	OK
ENV-109	民用航空器噪音管制標準	098-07-16	098-07-16	OK
ENV-110	光電材料及元件製造業空氣污染管制及排放標準	095-01-05	095-01-05	OK
ENV-111	汽車製造業表面塗裝作業空氣污染物排放標準	094-12-16	094-12-16	OK
ENV-112	汽油及替代清潔燃料引擎汽車排放空氣污染物檢驗站設置及管理辦法	114-06-11	114-06-11	OK
ENV-113	固定污染源有害空氣污染物排放標準	110-02-26	110-02-26	OK
ENV-114	固定污染源自行或委託檢測及申報管理辦法	111-06-06	111-06-06	OK
ENV-115	固定污染源空氣污染物連續自動監測設施管理辦法	114-01-02	114-01-02	OK
ENV-116	固定污染源戴奧辛排放標準	095-01-02	095-01-02	OK
ENV-117	易致空氣污染之物質使用許可證管理辦法	109-03-23	109-03-23	OK
ENV-118	室內空氣品質管理法施行細則	101-11-23	101-11-23	OK
ENV-119	室內空氣品質維護管理專責人員設置管理辦法	105-08-11	105-08-11	OK
ENV-120	建物及工業維護塗料揮發性有機物成分標準	108-08-13	108-08-13	OK
ENV-121	氟氯烴管理辦法	114-10-13	114-10-13	OK
ENV-122	玻璃業空氣污染物排放標準	103-11-14	103-11-14	OK
ENV-123	特殊性工業區緩衝地帶及空氣品質監測設施設置標準	103-03-05	103-03-05	OK
ENV-124	乾洗作業空氣污染防制設施管制標準	088-09-22	088-09-22	OK
ENV-125	移動污染源空氣污染防制設備管理辦法	108-06-12	108-06-12	OK
ENV-126	移動污染源空氣污染物排放標準	112-06-30	112-06-30	OK
ENV-127	移動污染源違反空氣污染防制法裁罰準則	113-10-28	113-10-28	OK
ENV-128	移動污染源燃料成分管制標準	109-03-20	109-03-20	OK
ENV-129	移動污染源燃料販賣進口許可及管理辦法	108-09-06	108-09-06	OK
ENV-130	陸上運輸系統噪音管制標準	102-09-11	102-09-11	OK
ENV-131	陶瓷業空氣污染物排放標準	109-09-17	109-09-17	OK
ENV-132	氯乙烯及聚氯乙烯製造業空氣污染物管制及排放標準	110-01-28	110-01-28	OK
ENV-133	溴化甲烷管理辦法	108-02-18	108-02-18	OK
ENV-134	煉鋼及鑄造電爐粒狀污染物管制及排放標準	102-11-19	102-11-19	OK
ENV-135	煉鋼業電弧爐戴奧辛管制及排放標準	109-12-23	109-12-23	OK
ENV-136	違反空氣污染防制法按次處罰通知限期改善補正或申報執行準則	108-08-19	108-08-19	OK
ENV-137	違反室內空氣品質管理法罰鍰額度裁罰準則	101-11-23	101-11-23	OK
ENV-138	違反噪音管制法按日連續處罰執行準則	099-03-11	099-03-11	OK
ENV-139	鉛二次冶煉廠空氣污染物排放標準	110-06-29	110-06-29	OK
ENV-140	電力設施空氣污染物排放標準	103-12-01	103-12-01	OK
ENV-141	聚氨基甲酸酯塗布業揮發性有機物空氣污染管制及排放標準	112-04-25	112-04-25	OK
ENV-142	蒙特婁議定書列管化學物質管理辦法	108-02-15	108-02-15	OK
ENV-143	廢棄物焚化爐空氣污染物排放標準	095-12-25	095-12-25	OK
ENV-144	廢棄物焚化爐戴奧辛管制及排放標準	092-08-20	092-08-20	OK
ENV-145	熱風乾燥機粒狀污染物排放標準	088-03-17	088-03-17	OK
ENV-146	膠帶製造業揮發性有機物空氣污染管制及排放標準	111-06-22	111-06-22	OK
ENV-147	機車排放空氣污染物檢驗站設置及管理辦法	113-04-17	113-04-17	OK
ENV-148	磚瓦窯業開放式隧道窯粒狀污染物排放標準	088-04-07	088-04-07	OK
ENV-149	鋼鐵業集塵灰高溫冶煉設施戴奧辛管制及排放標準	094-10-12	094-10-12	OK
ENV-150	鋼鐵業燒結工場空氣污染物排放標準	101-06-14	101-06-14	OK
ENV-151	鋼鐵業燒結工場戴奧辛管制及排放標準	093-06-16	093-06-16	OK
ENV-152	餐飲業空氣污染防制設施管理辦法	110-08-24	110-08-24	OK
ENV-153	瀝青拌合業粒狀污染物排放標準	088-04-07	088-04-07	OK
ENV-154	海洋放流管線放流水標準	106-10-20	106-10-20	OK
ENV-155	飲用水水源水質標準	086-09-24	086-09-24	OK
ENV-156	飲用水連續供水固定設備使用及維護管理辦法	095-07-07	095-07-07	OK
ENV-157	飲用水管理條例施行細則	095-08-07	095-08-07	OK
ENV-158	違反水污染防治法按次處罰通知限期改善或補正執行準則	104-08-24	104-08-24	OK
ENV-159	違反水污染防治法罰鍰額度裁罰準則	113-11-07	113-11-07	OK
ENV-160	違反飲用水管理條例按日連續處罰執行準則	095-08-07	095-08-07	OK
ENV-161	預鑄式建築物污水處理設施管理辦法	098-09-17	098-09-17	OK
ENV-162	廢（污）水處理專責人員違反水污染防治法罰鍰額度裁罰準則	105-05-19	105-05-19	OK
ENV-163	二氧化碳捕捉後封存管理辦法	115-08-25	115-08-25	OK
ENV-164	氫氟碳化物管理辦法	114-02-25	114-02-25	OK
ENV-165	溫室氣體抵換專案管理辦法	107-12-27	107-12-27	OK
ENV-166	溫室氣體認證機構及查驗機構管理辦法	114-03-19	114-03-19	OK
ENV-167	共通性事業廢棄物作為固體再生燃料原料再利用管理辦法	114-01-17	114-01-17	OK
ENV-168	再生資源再使用管理辦法	114-11-21	114-11-21	OK
ENV-169	再生資源限制或禁止輸入輸出管理辦法	092-07-02	092-07-02	OK
ENV-170	有害事業廢棄物檢測及紀錄管理辦法	109-02-21	109-02-21	OK
ENV-171	事業自行清除處理事業廢棄物許可管理辦法	110-09-03	110-09-03	OK
ENV-172	事業廢棄物處理設施餘裕處理容量許可管理辦法	111-07-20	111-07-20	OK
ENV-173	事業廢棄物輸入輸出管理辦法	114-06-10	114-06-10	OK
ENV-174	依促進民間參與公共建設法設置之廢棄物清除處理設施管理辦法	091-06-26	091-06-26	OK
ENV-175	指定公營事業設置廢棄物清除處理設施管理辦法	091-07-10	091-07-10	OK
ENV-176	違反廢棄物清理法按日連續處罰執行準則	091-05-01	091-05-01	OK
ENV-177	違反廢棄物清理法罰鍰額度裁罰準則	110-03-18	110-03-18	OK
ENV-178	廢容器回收貯存清除處理方法及設施標準	103-12-29	103-12-29	OK
ENV-179	廢乾電池回收貯存清除處理方法及設施標準	105-04-08	105-04-08	OK
ENV-180	廢照明光源回收貯存清除處理方法及設施標準	110-07-14	110-07-14	OK
ENV-181	廢鉛蓄電池回收貯存清除處理方法及設施標準	096-02-16	096-02-16	OK
ENV-182	廢電子電器暨廢資訊物品回收貯存清除處理方法及設施標準	107-07-13	107-07-13	OK
ENV-183	廢輪胎回收貯存清除處理方法及設施標準	103-05-20	103-05-20	OK
ENV-184	廢機動車輛回收貯存清除處理方法及設施標準	097-01-04	097-01-04	OK
ENV-185	應回收廢棄物回收清除處理補貼申請審核管理辦法	107-09-07	107-09-07	OK
ENV-186	應回收廢棄物回收處理業管理辦法	115-07-13	115-07-13	OK
ENV-187	環境部再生資源再生利用管理辦法	114-12-08	114-12-08	OK
ENV-188	毒性及關注化學物質災害事故應變車輛管理辦法	112-07-03	112-07-03	OK
ENV-189	毒性及關注化學物質災害與懸浮微粒物質災害救助種類及標準	111-11-16	111-11-16	OK
ENV-190	毒性及關注化學物質專業應變人員管理辦法	109-11-03	109-11-03	OK
ENV-191	毒性及關注化學物質環境事故專業應變諮詢機關（構）認證及管理辦法	109-03-03	109-03-03	OK
ENV-192	病媒防治業管理辦法	105-12-30	105-12-30	OK
ENV-193	違反毒性及關注化學物質管理法罰鍰額度裁罰準則	110-08-30	110-08-30	OK
ENV-194	遺傳工程環境用藥微生物製劑開發試驗研究管理辦法	095-06-12	095-06-12	OK
ENV-195	環境用藥工廠設廠標準	095-07-10	095-07-10	OK
ENV-196	環境用藥專業技術人員設置管理辦法	112-03-03	112-03-03	OK
ENV-197	環境用藥貯存置放使用管理辦法	095-06-29	095-06-29	OK
ENV-198	環境用藥微生物製劑使用於生態及水源保育或保護區運作管理辦法	095-06-29	095-06-29	OK
ENV-199	環境用藥管理法施行細則	095-08-29	095-08-29	OK
ENV-200	環境用藥廣告管理辦法	095-07-25	095-07-25	OK
ENV-201	土壤污染評估調查人員管理辦法	111-10-19	111-10-19	OK
ENV-202	土壤污染評估調查及檢測作業管理辦法	114-12-29	114-12-29	OK
ENV-203	污染土地關係人之善良管理人注意義務認定準則	102-11-11	102-11-11	OK
ENV-204	機動車輛排放空氣污染物及噪音檢驗測定機構管理辦法	114-10-03	114-10-03	OK
ENV-205	環境教育設施場所認證及管理辦法	112-08-11	112-08-11	OK
ENV-206	環境教育機構認證及管理辦法	112-08-08	112-08-08	OK
ENV-207	環境檢驗測定機構違反環保法規罰鍰額度裁罰準則	115-04-30	115-04-30	OK
ENV-208	既存固定污染源污染物排放量認可準則	100-06-24	100-06-24	OK
ENV-209	三級防制區既存固定污染源應削減污染物排放量準則	109-07-10	109-07-10	OK
ENV-210	機動車輛噪音驗證核可準則	100-12-01	100-12-01	OK
ENV-211	飲用水水質處理藥劑申請公告作業準則	103-08-15	103-08-15	OK
ENV-212	飲用水水源水質或淨水處理改善計畫審核準則	095-07-04	095-07-04	OK
ENV-213	氣候變遷風險評估作業準則	114-07-16	114-07-16	OK
ENV-214	環境用藥原體轉讓申請作業準則	095-07-04	095-07-04	OK
ENV-215	環境用藥專供輸出申請作業準則	095-07-06	095-07-06	OK
ENV-216	環境用藥專供試驗研究教育示範專案防治或登記用申請作業準則	107-10-16	107-10-16	OK
ENV-217	環境用藥許可證申請核發作業準則	113-03-08	113-03-08	OK
ENV-218	環境用藥分裝調配及委託製造作業準則	095-07-21	095-07-21	OK
ENV-219	環境用藥標示準則	095-07-24	095-07-24	OK
ENV-220	環境用藥販賣業及病媒防治業許可執照申請核發作業準則	113-03-11	113-03-11	OK
ENV-221	毒性及關注化學物質事故調查處理報告作業準則	109-01-16	109-01-16	OK
ENV-222	土壤底泥及地下水污染物檢驗測定品質管制準則	100-09-08	100-09-08	OK
ENV-223	辦理土壤及地下水污染場址整治目標公聽會作業準則	105-01-22	105-01-22	OK
