batch10_c2 #22 [zh] 第57條 | 本法所定屆期未補正或完成改善之按次處罰，其限 | 正確最短 9 vs 14
batch12_c2 #42 [zh] 第7條 | 移動污染源空氣污染防制設備管理辦法之施行日期 | 正確最短 9 vs 12
batch12_c3 #13 [zh] 第11條 | 乾洗作業空氣污染防制設施管制標準之施行日期為 | 正確最短 10 vs 13
batch12_c3 #32 [zh] 第5條 | 移動污染源違反空氣污染防制法裁罰準則之施行日 | 正確最短 9 vs 12
batch12_c4 #18 [zh] 第18條 | 移動污染源燃料販賣進口許可及管理辦法之施行日 | 正確最短 9 vs 12
batch12_c4 #22 [en] 第3條 | 本標準管制之空氣污染物項目及適用對象為何？其 | 正確最短 158 vs 171
batch12_c4 #48 [zh] 第15條 | 溴化甲烷管理辦法之施行日期為何？ | 正確最短 9 vs 12
batch12_d1 #35 [en] 第9條 | 違反室內空氣品質管理法罰鍰額度裁罰準則之施行 | 正確最短 20 vs 34
batch12_d1 #40 [zh] 第5條 | 本標準之各項空氣污染物排放規定值如何呈現？ | 正確最短 11 vs 14
batch12_d2 #46 [zh] 第24條 | 蒙特婁議定書列管化學物質管理辦法之施行日期為 | 正確最短 9 vs 12
batch12_d3 #38 [zh] 第9條 | 熱風乾燥機粒狀污染物排放標準之施行日期為何？ | 正確最短 9 vs 12
batch12_d4 #42 [zh] 第22條 | 機車排放空氣污染物檢驗站設置及管理辦法之施行 | 正確最短 9 vs 12
batch12_e1 #37 [zh] 第8條 | 本辦法之施行日期如何規定？ | 正確最短 6 vs 8
batch12_e2 #13 [zh] 第9條 | 本標準之施行日期如何規定？ | 正確最短 6 vs 8
batch12_e2 #26 [zh] 第9條 | 本標準之施行日期如何規定？ | 正確最短 6 vs 8
batch12_e4 #24 [zh] 第11條 | 本辦法之施行日期如何規定？ | 正確最短 6 vs 8
batch12_f1 #15 [zh] 第11條 | 違反水污染防治法按次處罰通知限期改善或補正執 | 正確最短 6 vs 9
batch12_f1 #27 [zh] 第8條 | 違反水污染防治法罰鍰額度裁罰準則之施行日期為 | 正確最短 6 vs 9
batch12_f1 #38 [zh] 第9條 | 違反飲用水管理條例按日連續處罰執行準則之施行 | 正確最短 6 vs 9
batch12_f1 #44 [zh] 第5條 | 廢（污）水處理專責人員違反水污染防治法罰鍰額 | 正確最短 6 vs 9
batch12_f2 #22 [zh] 第17條 | 預鑄式建築物污水處理設施管理辦法之施行日期為 | 正確最短 6 vs 9
batch12_f2 #32 [zh] 第7條 | 有害事業廢棄物檢測及紀錄管理辦法所訂之相關文 | 正確最短 9 vs 13
batch12_f2 #33 [zh] 第8條 | 有害事業廢棄物檢測及紀錄管理辦法之施行日期為 | 正確最短 6 vs 9
batch12_f2 #43 [zh] 第10條 | 再生資源限制或禁止輸入輸出管理辦法所定之相關 | 正確最短 9 vs 13
batch12_f2 #46 [zh] 第13條 | 再生資源限制或禁止輸入輸出管理辦法之施行日期 | 正確最短 6 vs 9
batch12_f3 #43 [zh] 第18條 | 再生資源再使用管理辦法所定之相關文書及證明文 | 正確最短 6 vs 13
batch12_f3 #43 [en] 第18條 | 再生資源再使用管理辦法所定之相關文書及證明文 | 正確最短 50 vs 63
batch12_f3 #44 [zh] 第19條 | 再生資源再使用管理辦法之施行日期為何？ | 正確最短 6 vs 9
batch12_f4 #20 [zh] 第18條 | 事業自行清除處理事業廢棄物許可管理辦法之施行 | 正確最短 6 vs 9
batch12_f4 #43 [zh] 第18條 | 事業廢棄物處理設施餘裕處理容量許可管理辦法之 | 正確最短 6 vs 9
batch12_h1 #34 [en] 第15條 | 中央主管機關核發補貼費之依據為何？ | 正確最短 31 vs 40
batch12_h3 #20 [zh] 第18條 | 本辦法所定之相關文書及證明文件格式，由何機關 | 正確最短 6 vs 9
batch12_j1 #40 [zh] 第30條 | 二氧化碳捕捉後封存管理辦法之施行日期規定為何 | 正確最短 6 vs 8
batch12_j2 #22 [zh] 第20條 | 氫氟碳化物管理辦法之施行日期規定為何？ | 正確最短 6 vs 8
batch12_j2 #45 [zh] 第23條 | 溫室氣體抵換專案管理辦法之施行日期規定為何？ | 正確最短 6 vs 8
batch12_j3 #36 [zh] 第34條 | 本辦法所定之相關文件為外文者，應如何處理？ | 正確最短 7 vs 10
batch12_j3 #41 [zh] 第38條 | 溫室氣體認證機構及查驗機構管理辦法之施行日期 | 正確最短 6 vs 8
batch12_j3 #47 [zh] 第6條 | 數行為違反同一或不同管理辦法或機動車輛管理辦 | 正確最短 6 vs 11
batch12_j3 #47 [en] 第6條 | 數行為違反同一或不同管理辦法或機動車輛管理辦 | 正確最短 29 vs 42
batch12_j3 #48 [zh] 第7條 | 環境檢驗測定機構違反環保法規罰鍰額度裁罰準則 | 正確最短 6 vs 8
batch12_j4 #18 [zh] 第16條 | 設施場所檢送之申請文件有虛偽不實者，中央主管 | 正確最短 6 vs 18
batch12_j4 #18 [en] 第16條 | 設施場所檢送之申請文件有虛偽不實者，中央主管 | 正確最短 33 vs 68
batch12_j4 #22 [zh] 第20條 | 環境教育設施場所認證及管理辦法之施行日期規定 | 正確最短 6 vs 8
batch12_j4 #42 [zh] 第18條 | 環境教育機構檢送之申請文件有虛偽不實者，核發 | 正確最短 6 vs 21
batch12_j4 #42 [en] 第18條 | 環境教育機構檢送之申請文件有虛偽不實者，核發 | 正確最短 33 vs 68
batch12_j4 #44 [zh] 第20條 | 環境教育機構認證之核發、撤銷或廢止，應如何公 | 正確最短 11 vs 14
batch12_j4 #45 [zh] 第21條 | 環境教育機構認證及管理辦法之施行日期規定為何 | 正確最短 6 vs 8
batch13_a2 #25 [en] 第1條 | 噪音管制法施行細則係依何規定訂定？ | 正確最短 35 vs 47
batch13_a3 #1 [en] 第1條 | 水污染防治法施行細則係依何規定訂定？ | 正確最短 45 vs 58
batch13_a3 #2 [zh] 第2條 | 本法第二條第八款所稱作業環境，其定義為何？ | 正確最短 8 vs 12
batch13_d2 #10 [en] 第1條 | 氣候變遷因應法施行細則係依據母法何條規定訂定 | 正確最短 45 vs 58
batch13_d2 #34 [zh] 第23條 | 中央主管機關依本法第十條第二項舉辦公聽會，其 | 正確最短 9 vs 12
batch13_d2 #36 [zh] 第25條 | 氣候變遷因應法施行細則之施行日期規定為何？ | 正確最短 9 vs 12
batch13_d3 #41 [zh] 第23條 | 碳費收費辦法之施行日期規定為何？ | 正確最短 9 vs 12
batch13_e1 #22 [zh] 第7條 | 環境講習對象之出席方式有何規定？ | 正確最短 11 vs 15
batch1_a #7 [en] 第3條 | 本法所稱中央主管機關為何？ | 正確最短 17 vs 24
batch1_b #10 [zh] 第22-2條 | 雇主因接獲被霸凌勞工申訴而知悉時，對申訴事件 | 正確最短 5 vs 9
batch1_b #10 [en] 第22-2條 | 雇主因接獲被霸凌勞工申訴而知悉時，對申訴事件 | 正確最短 32 vs 41
batch1_b #30 [en] 第30條 | 依本法第30條第1項，雇主不得使妊娠中之女性 | 正確最短 28 vs 36
batch1_b #41 [zh] 第37條 | 事業單位工作場所發生職業災害，雇主應即採取急 | 正確最短 4 vs 6
batch1_b #42 [zh] 第37條 | 事業單位勞動場所發生死亡災害時，雇主應於幾小 | 正確最短 3 vs 5
batch1_c #26 [zh] 第23條 | 下列何者屬施行細則第23條所列具有危險性之設 | 正確最短 2 vs 3
batch1_c #26 [en] 第23條 | 下列何者屬施行細則第23條所列具有危險性之設 | 正確最短 6 vs 11
batch1_c #34 [zh] 第33條 | 下列何者不屬施行細則第33條所稱之安全衛生人 | 正確最短 5 vs 7
batch1_c #34 [en] 第33條 | 下列何者不屬施行細則第33條所稱之安全衛生人 | 正確最短 15 vs 23
batch2_a #7 [en] 第19-1條 | 設施規則所稱「局限空間」之定義，不包括下列何 | 正確最短 27 vs 34
batch2_a #30 [en] 第56條 | 對於鑽孔機、截角機等旋轉刃具作業，勞工手指有 | 正確最短 6 vs 8
batch2_a #49 [zh] 第108條 | 高壓氣體貯存，可燃性氣體、有毒性氣體及氧氣之 | 正確最短 5 vs 8
batch2_a #50 [en] 第116條 | 車輛系營建機械及堆高機，除乘坐席位外，於作業 | 正確最短 2 vs 18
batch2_b #29 [en] 第226條 | 高度二公尺以上之作業場所遇強風、大雨等惡劣氣 | 正確最短 13 vs 21
batch2_b #54 [zh] 第287-1條 | 使勞工使用輸氣管面罩呼吸防護具時，應避免使用 | 正確最短 2 vs 4
batch2_b #75 [zh] 第326-1條 | 自營作業者獨立作業或以其作業交付承攬時，是否 | 正確最短 2 vs 3
batch2_c #29 [en] 第47條 | 雇主得否使勞工在施工架上使用梯子、合梯或踏凳 | 正確最短 2 vs 3
batch3_a #5 [zh] 第5條 | 從事缺氧危險作業時應適當換氣，保持氧氣濃度在 | 正確最短 2 vs 4
batch3_a #12 [zh] 第20條 | 雇主使勞工從事缺氧危險作業時，應於每一班次指 | 正確最短 6 vs 8
batch3_a #31 [zh] 第5條 | 重工作之時量平均綜合溫度熱指數達攝氏 25. | 正確最短 4 vs 11
batch3_a #31 [en] 第5條 | 重工作之時量平均綜合溫度熱指數達攝氏 25. | 正確最短 15 vs 19
batch3_b #35 [zh] 第57條 | 使用水肺從事潛水作業時，除攜帶水中計時器、深 | 正確最短 3 vs 4
batch3_b #42 [zh] 第5條 | 裝有危害性化學品之容器，應標示之事項不包括下 | 正確最短 2 vs 4
batch3_b #42 [en] 第5條 | 裝有危害性化學品之容器，應標示之事項不包括下 | 正確最短 5 vs 16
batch3_c #14 [en] 第8條 | 身體虛弱經醫師診斷認為身體狀況不良之勞工，雇 | 正確最短 2 vs 3
batch4_a #51 [en] 第42條 | 雇主對異常氣壓之再壓室或減壓艙，應每多久定期 | 正確最短 5 vs 7
batch4_b #3 [zh] 第5條 | 雇主對擔任職業安全管理師、職業衛生管理師及職 | 正確最短 2 vs 4
batch5_d #29 [zh] 第5條 | 性別平等工作法第13條、第19條及第23條所 | 正確最短 2 vs 3
batch6_a #24 [en] 第14條 | 設置第6條規定設施顯有困難時，雇主得向何機關 | 正確最短 102 vs 114
batch8_b #3 [en] 第8條 | 公告場所所有人管理人或使用人應辦理何事項？ | 正確最短 168 vs 184
batch8_d #3 [en] 第17條 | 污染行為人有何情形時，地方主管機關得依土污法 | 正確最短 198 vs 214
batch9_c1 #25 [en] 第25條 | 一般廢棄物採焚化處理以外之熱處理法者，其設施 | 正確最短 54 vs 80
batch9_c1 #37 [zh] 第38條 | 本辦法之施行日期規定為何？ | 正確最短 9 vs 12
batch9_c2 #32 [zh] 第24條 | 本辦法之施行日期規定為何？ | 正確最短 9 vs 12
batch9_c3 #9 [zh] 第17條 | 本辦法之施行日期規定為何？ | 正確最短 9 vs 12
batch9_c3 #21 [zh] 第19條 | 本細則之施行日期規定為何？ | 正確最短 9 vs 12
batch9_c4 #29 [zh] 第38條 | 本細則之施行日期規定為何？ | 正確最短 9 vs 12
batch9_d10 #26 [en] 第56條 | 各級主管機關依本法應收取之規費標準，由何機關 | 正確最短 31 vs 41
batch9_d10 #29 [en] 第59條 | 環境用藥管理法之施行細則，由何機關訂定？ | 正確最短 31 vs 42
batch9_d10 #30 [zh] 第60條 | 環境用藥管理法之施行日期規定為何？ | 正確最短 6 vs 9
batch9_d2 #23 [zh] 第53條 | 開發行為應實施環境影響評估細目及範圍認定標準 | 正確最短 6 vs 10
batch9_d4 #2 [en] 第1條 | 政府政策環境影響評估作業辦法之訂定依據為何？ | 正確最短 53 vs 65
batch9_d4 #10 [zh] 第9條 | 政府政策環境影響評估作業辦法之施行日期規定為 | 正確最短 6 vs 9
batch9_d6 #24 [zh] 第23條 | 毒性及關注化學物質許可登記核可管理辦法之施行 | 正確最短 6 vs 16
batch9_d8 #22 [zh] 第22條 | 依本法第69條第2項予以公開之資料，中央主管 | 正確最短 6 vs 10
batch9_d8 #22 [en] 第22條 | 依本法第69條第2項予以公開之資料，中央主管 | 正確最短 21 vs 45
batch9_d8 #32 [zh] 第32條 | 新化學物質及既有化學物質資料登錄辦法之施行日 | 正確最短 6 vs 10
batch9_d9 #26 [zh] 第26條 | 環境用藥之貯存、置放、數量、地點、使用藥劑種 | 正確最短 9 vs 15
batch9_d9 #26 [en] 第26條 | 環境用藥之貯存、置放、數量、地點、使用藥劑種 | 正確最短 31 vs 55
