code	file	index	law_id	article	issue	detail	question
D2	batch10_b5	3	ENV-25	第17條	正確選項缺依據	應自行迴避該調處事項；該規定依第四十條於裁決程序準用之	調處委員對於調處事項涉及本身或其家屬時，應如何處理？該規定於裁決程序如何適用？
D5	batch10_c1	5	ENV-07	第4條	題幹疑似洩答	辦理水污染研究訓練及防治	各級主管機關為辦理水污染研究、訓練及防治有關事宜，得如何辦理？
D3	batch10_c1	37	ENV-07	第27條	選項b 中英數值不同	zh多:[24.0] en多:[4.0, 20.0]	排放廢（污）水有嚴重危害人體健康、農漁業生產或飲用水水源之虞時，負責人應如何處理
D3	batch10_c1	38	ENV-07	第28條	選項b 中英數值不同	zh多:[24.0] en多:[4.0, 20.0]	輸送或貯存設備有疏漏污染物或廢（污）水至水體之虞者，事業應如何處理？實際疏漏致污
D3	batch10_c1	42	ENV-07	第31條	選項d 中英數值不同	zh多:[5000.0] en多:[5.0]	排放廢（污）水於總量管制水體者，在何種情形應自行設置放流水水質水量自動監測系統？
D5	batch10_c1	43	ENV-07	第32條	題幹疑似洩答	注入地下水體或排放於土壤	廢（污）水可否注入地下水體或排放於土壤？例外要件為何？
D2	batch10_c1	51	ENV-07	第38條	正確選項缺依據	該條業經刪除，現行條文僅保留條次而無實質內容規定	水污染防治法第三十八條之現行狀態為何？
D3	batch10_c2	4	ENV-07	第44條	選項d 中英數值不同	zh多:[180.0] en多:[80.0]	事業或污水下水道系統未於期限內繳納水污染防治費者，應如何處理？
D1	batch10_c2	11	ENV-07	第48條	選項b 疑似也對	百萬元以下罰鍰主管機關並應令事業全部停工或停業必要時應勒令歇	未取得貯留或稀釋許可文件而貯留或稀釋廢（污）水者，如何處罰？
D1	batch10_c2	20	ENV-07	第56條	選項b 疑似也對	元以上三百萬元以下罰鍰並通知限期申報屆期未申報或申報不完全者	依第二十條第三項、第二十二條、第三十一條第二項、第三十二條第四項或第三十三條第二
D2	batch10_c2	23	ENV-07	第58條	正確選項缺依據	應分別處罰	同一事業設置數放流口，或數事業共同設置廢水處理設施或使用同一放流口，其排放未符標
D3	batch10_c2	24	ENV-07	第59條	選項a 中英數值不同	zh多:[24.0] en多:[4.0, 20.0]	廢（污）水處理設施發生故障時，於故障發生幾小時內符合規定者得不適用主管機關所定標
D3	batch10_c2	24	ENV-07	第59條	選項b 中英數值不同	zh多:[48.0] en多:[8.0, 40.0]	廢（污）水處理設施發生故障時，於故障發生幾小時內符合規定者得不適用主管機關所定標
D3	batch10_c2	24	ENV-07	第59條	選項d 中英數值不同	zh多:[72.0] en多:[70.0]	廢（污）水處理設施發生故障時，於故障發生幾小時內符合規定者得不適用主管機關所定標
D2	batch10_c2	26	ENV-07	第60條	正確選項缺依據	視為未完成改善	事業未於依第四十條、第四十三條、第四十六條或第五十三條所為通知改善之期限屆滿前，
D3	batch10_c2	27	ENV-07	第61條	選項c 中英數值不同	zh多:[180.0] en多:[80.0]	依本法通知限期補正、改善或申報者，其補正、改善或申報期間之上限為何？
D3	batch10_c2	27	ENV-07	第61條	選項d 中英數值不同	zh多:[365.0] en多:[5.0, 60.0]	依本法通知限期補正、改善或申報者，其補正、改善或申報期間之上限為何？
D3	batch10_c2	28	ENV-07	第62條	選項d 中英數值不同	zh多:[180.0] en多:[80.0]	因天災或其他不可抗力事由致不能於改善期限內完成改善者，應如何辦理？
D2	batch10_c2	33	ENV-07	第65條	正確選項缺依據	該條業經刪除，現行條文僅保留條次而無實質內容規定	水污染防治法第六十五條之現行狀態為何？
D3	batch10_c2	45	ENV-07	第72條	選項d 中英數值不同	zh多:[120.0] en多:[20.0]	主管機關疏於執行本法時，受害人民或公益團體得如何救濟？其等待期間為何？
D3	batch10_c2	46	ENV-07	第73條	選項c 中英數值不同	zh多:[500.0] en多:[5.0]	本法所稱情節重大，包括下列何種情形？
D2	batch10_c2	49	ENV-07	第75條	正確選項缺依據	自公布日施行	水污染防治法之施行日期規定為何？
D2	batch10_c3	10	ENV-08	第2條	正確選項缺依據	依其規定，即優先適用該另定之排放標準或地方增訂加嚴之放流水標準	特定業別、區域另定有排放標準，或地方主管機關增訂加嚴轄內放流水標準時，應如何適用
D3	batch10_c3	11	ENV-08	第2條之1	選項c 中英數值不同	zh多:[75.0] en多:[5.0, 70.0]	工業區污水下水道系統之石油化學業和化工業許可核准納管水量，達許可核准排放水量多少
D3	batch10_c3	17	ENV-08	第5條	選項b 中英數值不同	zh多:[29.0] en多:[9.0, 20.0]	本標準所稱總毒性有機物，係指多少種化合物之濃度總和？
D3	batch10_c3	18	ENV-08	第5條	選項c 中英數值不同	zh多:[75.0] en多:[5.0, 70.0]	石油化學業高含氮製程之認定，除屬所列含氮製程外尚須符合何要件？
D3	batch10_c3	20	ENV-08	第5條	選項d 中英數值不同	zh多:[29.0] en多:[9.0, 20.0]	本標準所稱戴奧辛之檢測及表示方式為何？
D3	batch10_c3	21	ENV-08	第5條	選項a 中英數值不同	zh多:[29.0] en多:[20.0]	本標準所稱總有機磷劑、總氨基甲酸鹽及除草劑，分別指多少種化合物濃度之總和？
D3	batch10_c3	21	ENV-08	第5條	選項c 中英數值不同	zh多:[29.0] en多:[20.0]	本標準所稱總有機磷劑、總氨基甲酸鹽及除草劑，分別指多少種化合物濃度之總和？
D3	batch10_c3	21	ENV-08	第5條	選項d 中英數值不同	zh多:[29.0] en多:[9.0, 20.0]	本標準所稱總有機磷劑、總氨基甲酸鹽及除草劑，分別指多少種化合物濃度之總和？
D3	batch10_c3	30	ENV-08	第8條	選項a 中英數值不同	zh多:[75.0] en多:[5.0, 70.0]	廢水混合處理排放者，在何條件下得申請以單一業別之放流水標準管制共同管制項目？
D3	batch10_c3	30	ENV-08	第8條	選項d 中英數值不同	zh多:[75.0] en多:[5.0, 70.0]	廢水混合處理排放者，在何條件下得申請以單一業別之放流水標準管制共同管制項目？
D3	batch10_c3	36	ENV-08	第5條	選項a 中英數值不同	zh多:[27.0] en多:[7.0, 20.0]	化工業高含氮製程之列舉範圍與石油化學業高含氮製程相比有何差異？
D3	batch10_c3	36	ENV-08	第5條	選項b 中英數值不同	zh多:[27.0] en多:[7.0, 20.0]	化工業高含氮製程之列舉範圍與石油化學業高含氮製程相比有何差異？
D3	batch10_c3	36	ENV-08	第5條	選項c 中英數值不同	zh多:[27.0] en多:[7.0, 20.0]	化工業高含氮製程之列舉範圍與石油化學業高含氮製程相比有何差異？
D3	batch10_c3	37	ENV-08	第5條	選項b 中英數值不同	zh多:[4.0] en多:[24.0]	本標準所稱總氨基甲酸鹽，係指哪些化合物之濃度總和？
D3	batch10_c3	37	ENV-08	第5條	選項c 中英數值不同	zh多:[29.0] en多:[9.0, 20.0]	本標準所稱總氨基甲酸鹽，係指哪些化合物之濃度總和？
D3	batch10_c3	38	ENV-08	第5條	選項a 中英數值不同	zh多:[4.0] en多:[24.0]	本標準所稱除草劑，係指多少種化合物之濃度總和？包括哪些？
D1	batch10_d1	0	ENV-09	第1條	選項c 疑似也對	本法第十八條第十九條準用第十八條第二十條第三項第二十二條第三	本辦法係依據哪一部法律及其哪些條文規定訂定？
D4	batch10_d1	2	ENV-09	第2條	選項a與b過於相似	0.97	本辦法對非連續性排放及 TUa 之定義為何？
D2	batch10_d1	3	ENV-09	第3條	正確選項缺依據	作業廢水、洩放廢水、未接觸冷卻水、逕流廢水	本辦法所定事業廢水類別包括哪四類？
D4	batch10_d1	23	ENV-09	第19條	選項a與b過於相似	0.98	應設置廢水處理專責單位之事業，其委託之代操作人員應具何種資格？現場紀錄應保存多久
D4	batch10_d1	30	ENV-09	第26條	選項a與b過於相似	0.98	採土壤處理者，應於何處設置攔水渠？何種情形不在此限？
D2	batch10_d2	0	ENV-09	第44條	正確選項缺依據	該條業經刪除，事業無須再依該條規定辦理，其排放管理回歸本章其他條文	本辦法第四十四條之現行效力為何？事業應如何辦理？
D4	batch10_d2	7	ENV-09	第48條	選項a與b過於相似	0.98	餐飲業及觀光旅館提供餐飲及溫泉泡湯服務者，應分別設置或採行何種措施？
D1	batch10_d2	11	ENV-09	第49條之2	選項b 疑似也對	載運車輛進出情形收容處理之土質種類收容量及處理量並作成紀錄保	事業收容處理淤泥或含水量大於百分之三十之土壤、連續壁皂土等營建剩餘土石方者，應記
D1	batch10_d2	11	ENV-09	第49條之2	選項d 疑似也對	載運車輛進出情形收容處理之土質種類收容量及處理量並作成紀錄保	事業收容處理淤泥或含水量大於百分之三十之土壤、連續壁皂土等營建剩餘土石方者，應記
D4	batch10_d2	11	ENV-09	第49條之2	選項a與b過於相似	0.97	事業收容處理淤泥或含水量大於百分之三十之土壤、連續壁皂土等營建剩餘土石方者，應記
D2	batch10_d2	36	ENV-09	第58條	正確選項缺依據	該條業經刪除，事業無須再依該條規定辦理相關事項	本辦法第五十八條之現行效力為何？
D2	batch10_d2	40	ENV-09	第60條之1	正確選項缺依據	該條業經刪除，事業無須再依該條規定辦理相關事項	本辦法第六十條之一之現行效力為何？
D4	batch10_d2	47	ENV-09	第66條	選項a與b過於相似	0.98	獨立專用累計型水量計測設施有設置困難經主管機關同意者，得如何辦理？其非連續自動記
D2	batch10_d2	50	ENV-09	第69條	正確選項缺依據	該條業經刪除，事業無須再依該條規定辦理相關事項	本辦法第六十九條之現行效力為何？
D1	batch10_d2	51	ENV-09	第70條	選項b 疑似也對	本法及相關法規所定事業應遵行之規定	事業經下水道主管機關指定為應設置專用污水下水道系統之地區或場所者，應如何辦理？
D1	batch10_d3	4	ENV-09	第70條之3	選項b 疑似也對	應自期滿六個月前起算三個月之期間內向農業主管機關申請展延每次	沼液沼渣農地肥分使用計畫之有效期限為何？應於何時申請展延？每次展延期限為何？
D3	batch10_d3	10	ENV-09	第70條之9	選項d 中英數值不同	zh多:[4.0] en多:[70.0]	有哪些情形者，以違反本辦法依本法規定處分？
D2	batch10_d3	17	ENV-09	第74條	正確選項缺依據	受託者應申報每月自行產生水量及餘裕量與收受來源業別及累積受託水量；稀釋者應申報稀	採處理設施且以餘裕量受託處理、採稀釋或委託代操作者，除依第七十三條申報外，還應申
D1	batch10_d3	42	ENV-09	第89條	選項c 疑似也對	採樣及量測但逕流廢水之水質水量不在此限	事業或污水下水道系統申報之水質、水量，其採樣及量測時間有何規定？
D1	batch10_d4	7	ENV-09	第92條之1	選項d 疑似也對	工業區專用污水下水道系統以外之污水下水道系統應於每年一月底前	事業及工業區專用污水下水道系統管理機關（構）應於何時上傳現況照片等資料文件？
D1	batch10_d4	8	ENV-09	第93條	選項b 疑似也對	應於每年二月底前申報前一年七月至十二月之資料每年八月底前申報	事業或污水下水道系統之一般申報期間為何？
D4	batch10_d4	13	ENV-09	第97條	選項a與b過於相似	0.98	工業區專用污水下水道系統之溝渠及管線巡查檢修頻率為何？
D4	batch10_d4	17	ENV-09	第99條	選項a與b過於相似	0.97	工業區專用污水下水道系統對納管用戶之分項檢測頻率規定為何？
D1	batch10_d4	22	ENV-09	第102條	選項b 疑似也對	次以上時應以書面提報異常進流改善計畫報請主管機關審查核准並依	工業區專用污水下水道系統之緊急應變放流口於多久內使用幾次以上時，應提報異常進流改
D2	batch10_d4	24	ENV-09	第104條	正確選項缺依據	該條業經刪除，應設置自動監測設施之對象改依第一百零五條規定認定	本辦法第一百零四條之現行效力為何？
D4	batch10_d4	29	ENV-09	第106條之2	選項a與b過於相似	0.98	事業設置之自動監測設施連線傳輸資料有虛偽不實或造假情事者，應如何辦理？
D4	batch10_d4	30	ENV-09	第107條	選項a與b過於相似	0.97	自動監測（視）設施之主機、數據採擷及處理系統汰換與原設置廠牌或型號不同時，應如何
D2	batch10_d4	33	ENV-09	第109條	正確選項缺依據	該條業經刪除，自動監測設施之傳輸作業改依第一百零八條規定辦理	本辦法第一百零九條之現行效力為何？
D2	batch10_d4	36	ENV-09	第111條	正確選項缺依據	該條業經刪除，事業無須再依該條規定辦理相關事項	本辦法第一百十一條之現行效力為何？
D2	batch10_d4	37	ENV-09	第111條之1	正確選項缺依據	以日曆天為準	本辦法所定期限日數規定之認定，應以何者為準？
D2	batch10_d4	39	ENV-09	第113條	正確選項缺依據	該條業經刪除，事業無須再依該條規定辦理相關事項	本辦法第一百十三條之現行效力為何？
D2	batch10_d4	40	ENV-09	第113條之1	正確選項缺依據	該條業經刪除，事業無須再依該條規定辦理相關事項	本辦法第一百十三條之一之現行效力為何？
D1	batch10_d4	42	ENV-09	第114條	選項d 疑似也對	一百零二年三月八日修正發布之第四十九條之一自一百零四年一月一	本辦法之施行日期規定為何？
D3	batch10_d4	42	ENV-09	第114條	選項a 中英數值不同	zh多:[7.0] en多:[49.0, 75.0]	本辦法之施行日期規定為何？
D3	batch10_d4	42	ENV-09	第114條	選項b 中英數值不同	zh多:[7.0] en多:[49.0, 75.0]	本辦法之施行日期規定為何？
D3	batch10_d4	42	ENV-09	第114條	選項d 中英數值不同	zh多:[7.0] en多:[49.0, 75.0]	本辦法之施行日期規定為何？
D5	batch10_e1	14	ENV-10	第13條	題幹疑似洩答	一般廢棄物回收貯存設備	各級執行機關就一般廢棄物回收、貯存設備之設置，其法定義務為何？
D2	batch10_e1	23	ENV-10	第21條	正確選項缺依據	該條業經刪除而無現行內容；應回收廢棄物之指定、責任業者繳費、基金運用、補貼及標誌	關於應回收廢棄物回收清除處理制度，本法第二十一條之現行狀態及該領域現行規範依據為
D5	batch10_e1	38	ENV-10	第34條	題幹疑似洩答	中央目的事業主管機關	事業無法自行清理其事業廢棄物且無處理機構可供委託處理時，中央目的事業主管機關得會
D5	batch10_e2	2	ENV-10	第42條	題幹疑似洩答	分級專業技術人員設置	公民營廢棄物清除處理機構應具備之條件、分級、專業技術人員設置及許可期限等事項，其
D1	batch10_e2	5	ENV-10	第45條	選項b 疑似也對	年以下有期徒刑得併科新臺幣一千萬元以下罰金	違反第十二條、第二十八條第一項、第三十六條第一項、第三十九條或第四十一條第一項規
D1	batch10_e2	5	ENV-10	第45條	選項c 疑似也對	處三年以上十年以下有期徒刑得併科新臺幣二千五百萬元以下罰金	違反第十二條、第二十八條第一項、第三十六條第一項、第三十九條或第四十一條第一項規
D1	batch10_e2	5	ENV-10	第45條	選項d 疑似也對	處一年以上七年以下有期徒刑得併科新臺幣二千萬元以下罰金	違反第十二條、第二十八條第一項、第三十六條第一項、第三十九條或第四十一條第一項規
D2	batch10_e2	27	ENV-10	第61條	正確選項缺依據	該條業經刪除而無現行內容；違反本法之刑事處罰、行政罰鍰、情節重大認定及裁罰準則等	關於違反本法之處罰體系，本法第六十一條之現行狀態及該領域現行規範依據為何？
D3	batch10_e2	28	ENV-10	第62條	選項c 中英數值不同	zh多:[180.0] en多:[80.0]	依本法限期改善或申報，其改善或申報期間之上限為何？得否延長？
D2	batch10_e2	31	ENV-10	第64條	正確選項缺依據	該條業經刪除而無現行內容；罰鍰及清除處理費未繳之強制執行與裁罰準則等事項，現依第	關於本法罰鍰之執行與救濟，本法第六十四條之現行狀態及該領域現行規範依據為何？
D2	batch10_e2	32	ENV-10	第65條	正確選項缺依據	移送強制執行	依本法所處之罰鍰拒不繳納者，應如何處理？
D5	batch10_e2	44	ENV-10	第74條	題幹疑似洩答	廢棄物研究訓練及管理之有關事宜	主管機關、目的事業主管機關就廢棄物研究、訓練及管理之有關事宜，得為何種處置？
D3	batch10_e2	47	ENV-10	第77條	選項a 中英數值不同	zh多:[6.0, 16.0] en多:[39.0]	本法之施行日期為何？一百十五年六月十六日修正之第三十九條至第三十九條之五及相關處
D3	batch10_e3	2	ENV-11	第2條	選項c 中英數值不同	zh多:[100.0] en多:[6.0]	本標準所稱滅菌法之指標微生物削減率至少須達多少？破壞去除效率（DRE）之定義為何
D3	batch10_e3	10	ENV-11	第8條	選項d 中英數值不同	zh多:[180.0] en多:[80.0]	感染性廢棄物於廢棄物產出機構之貯存條件為何？以熱處理法及滅菌法處理者應分別以何種
D3	batch10_e3	21	ENV-11	第17條	選項a 中英數值不同	zh多:[35.0] en多:[5.0, 30.0]	有害事業廢棄物送達處理機構所載不符時應如何處理？事業應於清運後幾日內主動追蹤？聯
D2	batch10_e3	54	ENV-11	第44條	正確選項缺依據	該條業經刪除而無現行內容；替代處理方法核准、委託清理書面契約及檢測報告檢附等，現	關於事業廢棄物清理之契約及替代處理方法規範，本標準第四十四條之現行狀態及該領域現
D2	batch10_e3	56	ENV-11	第46條	正確選項缺依據	自發布日施行	本標準之施行日期為何？
D5	batch10_e4	9	ENV-24	第10條	題幹疑似洩答	源頭減量及資源循環推動機制	目的事業主管機關就源頭減量及資源循環推動機制，負有何種義務？
D1	batch10_e4	41	ENV-24	第42條	選項b 疑似也對	千元以上十五萬元以下罰鍰並通知限期改善屆期仍未完成改善者按次	指定物品或其包裝、容器之製造、輸入業者違反第十六條第一項重複使用公告，或違反第十
D3	batch10_e5	8	ENV-12	參、剩餘土石方處理方針	選項b 中英數值不同	zh多:[24.0] en多:[4.0, 20.0]	公共工程主辦機關應於招標文件及契約書規定承包廠商於何時上網申報？主辦機關應於何時
D5	batch10_e5	19	ENV-12	陸、機關權責分工原則	題幹疑似洩答	授權屬鄉鎮市公所執行	直轄市政府及縣（市）政府就營建剩餘土石方負有何種權責？經授權屬鄉（鎮、市）公所執
D5	batch10_f1	10	ENV-14	第8條	題幹疑似洩答	環境分類品質標準及海	中央主管機關就海域環境分類、品質標準及海洋管制區之訂定權限為何？
D3	batch10_f2	24	ENV-14	第50條	選項d 中英數值不同	zh多:[4.0] en多:[20.0, 21.0, 25.0, 30.0]	第五十條所定罰鍰之適用情形，涵蓋哪些條文所定之義務違反？
D3	batch10_f2	36	ENV-14	第60條	選項c 中英數值不同	zh多:[4.0] en多:[11.0, 30.0, 36.0]	哪些監測、製作或申報義務之違反，應處新臺幣二十萬元以上一百萬元以下罰鍰？
D3	batch10_f2	37	ENV-14	第61條	選項c 中英數值不同	zh多:[180.0] en多:[80.0]	未依規定繳納期限繳納海洋污染防治費者，應如何加計利息？逾期多久仍未繳納者處以罰鍰
D1	batch10_f3	3	ENV-15	第3條	選項c 疑似也對	部在直轄市為直轄市政府在縣市為縣市政府	本法所稱主管機關為何？
D1	batch10_f3	3	ENV-15	第3條	選項d 疑似也對	部在直轄市為直轄市政府在縣市為縣市政府	本法所稱主管機關為何？
D3	batch10_f3	5	ENV-15	第5條	選項d 中英數值不同	zh多:[45.0] en多:[5.0, 40.0]	中央主管機關應於何時劃定公告海岸地區範圍？公開展覽期間有何要求？
D2	batch10_f3	49	ENV-15	第41條	正確選項缺依據	得沒入之	因第三十二條第一項、第三十三條第一項或第三十四條第一項之行為所生或所得之物及所用
D2	batch10_f3	50	ENV-15	第42條	正確選項缺依據	沒收之	犯本法之罪者，其所生或所得之物及所用之物應如何處理？
D2	batch10_f3	54	ENV-15	第46條	正確選項缺依據	自公布日施行	本法之施行日期如何規定？
D1	batch10_f4	16	ENV-16	第22條	選項b 疑似也對	十萬元以下罰鍰但原住民基於傳統文化祭儀生活所需之利用的行為不	於海洋庇護區之緩衝區內未經許可從事禁止行為者，應如何處罰？有無除外規定？
D3	batch10_f4	36	ENV-16	第26條	選項b 中英數值不同	zh多:[24.0] en多:[20.0]	違反核心區、緩衝區、永續利用區規定或第十四條第一項公告事項者，主管機關應命其接受
D3	batch10_f4	36	ENV-16	第26條	選項d 中英數值不同	zh多:[48.0] en多:[40.0]	違反核心區、緩衝區、永續利用區規定或第十四條第一項公告事項者，主管機關應命其接受
D2	batch10_f4	42	ENV-16	第31條	正確選項缺依據	由行政院定之	本法之施行日期如何規定？
D1	batch10_g2	5	ENV-17	第34條	選項b 疑似也對	應具備適當場所及設備並注意安全及衛生其場所設備標準及飼養管理	飼養或繁殖保育類或具有危險性之野生動物，對場所設備有何要求？相關標準及辦法由誰訂
D1	batch10_g2	27	ENV-17	第50條	選項c 疑似也對	處新臺幣二萬元以上十萬元以下罰鍰	在野生動物保護區內違反公告管制事項而獵捕、宰殺一般類野生動物者，其罰鍰為何？
D2	batch10_g2	34	ENV-17	第51條之1	正確選項缺依據	使用第19條第1項第1款炸藥爆裂物、第7款獸鋏或第8款其他經公告禁止之方法者	第51條之1之專屬罰則，適用於原住民族使用哪些禁止獵捕方式之情形？
D1	batch10_g3	9	ENV-18	第7條	選項b 疑似也對	應設審議小組由專家學者社會公正人士及政府機關代表組成其中專家	中央主管機關辦理重要濕地評定及計畫擬訂之審議，應如何組成審議小組？
D3	batch10_g3	14	ENV-18	第10條	選項a 中英數值不同	zh多:[180.0] en多:[80.0]	重要濕地評定、變更及廢止之審議，應於何時完成？得否延長？
D3	batch10_g3	14	ENV-18	第10條	選項b 中英數值不同	zh多:[180.0] en多:[80.0]	重要濕地評定、變更及廢止之審議，應於何時完成？得否延長？
D3	batch10_g3	16	ENV-18	第12條	選項b 中英數值不同	zh多:[180.0] en多:[80.0]	暫定重要濕地如何產生？經公告為暫定重要濕地者，應於多久內完成評定？
D3	batch10_g3	22	ENV-18	第15條	選項a 中英數值不同	zh多:[51.0] en多:[5000.0]	重要濕地保育利用計畫之計畫圖比例尺有何限制？鄰接之其他濕地應如何處理？
D3	batch10_g3	22	ENV-18	第15條	選項b 中英數值不同	zh多:[20001.0] en多:[25000.0]	重要濕地保育利用計畫之計畫圖比例尺有何限制？鄰接之其他濕地應如何處理？
D3	batch10_g3	22	ENV-18	第15條	選項c 中英數值不同	zh多:[11.0] en多:[1000.0]	重要濕地保育利用計畫之計畫圖比例尺有何限制？鄰接之其他濕地應如何處理？
D3	batch10_g3	22	ENV-18	第15條	選項d 中英數值不同	zh多:[11.0] en多:[100000.0]	重要濕地保育利用計畫之計畫圖比例尺有何限制？鄰接之其他濕地應如何處理？
D1	batch10_g3	26	ENV-18	第18條	選項b 疑似也對	十日內將計畫書圖公告並登載於政府公報及新聞紙並以專屬網頁網際	重要濕地保育利用計畫經核定後，主管機關應於何時、以何種方式公告？
D1	batch10_g3	26	ENV-18	第18條	選項c 疑似也對	之日起算三十日內將計畫書圖公告並登載於政府公報及新聞紙並以專	重要濕地保育利用計畫經核定後，主管機關應於何時、以何種方式公告？
D1	batch10_g3	45	ENV-18	第35條	選項b 疑似也對	十萬元以下罰鍰並命其停止使用行為限期改正或恢復原狀屆期未停止	違反允許明智利用項目管理規定、國際級國家級濕地開發建築限制、或第25條第1款至第
D3	batch10_g3	49	ENV-18	第39條	選項d 中英數值不同	zh多:[24.0] en多:[4.0, 20.0, 25.0, 35.0]	違反本法哪些規定者，除依法處罰外並應接受環境教育課程？時數為何？
D3	batch10_h1	11	ENV-19	第7條	選項c 中英數值不同	zh多:[24.0] en多:[4.0, 20.0]	主管機關為查證工作時發現污染有影響人體健康、農漁業生產或飲用水水源之虞者，得採應
D3	batch10_h1	22	ENV-19	第15條	選項c 中英數值不同	zh多:[4.0] en多:[5.0, 7.0]	第十五條第一項各款應變必要措施中，主管機關得命污染行為人、潛在污染責任人、污染土
D3	batch10_h2	16	ENV-19	第39條	選項d 中英數值不同	zh多:[180.0] en多:[80.0]	未依第二十八條第二項所定收費辦法於期限內繳納整治費者，應如何加計利息？逾期多久仍
D3	batch10_h2	27	ENV-19	第43條	選項d 中英數值不同	zh多:[180.0] en多:[80.0]	應繳納之費用屆期未繳納者，滯納金如何加徵？逾期多久仍未繳納者處罰鍰？
