level	file	index	law_id	law	article	missing_numbers	question	correct_option
B	batch2_b	50	OSH-07	職業安全衛生設施規則	第277-1條	30	事業單位勞工人數達多少人以上，雇主應訂定呼吸防護計畫並據以執行？	三十人
B	batch2_b	52	OSH-07	職業安全衛生設施規則	第286-3條	10	事業單位從事外送作業勞工人數在多少人以上，雇主應訂定外送作業危害防止計畫？	十人
B	batch2_b	55	OSH-07	職業安全衛生設施規則	第299條	16	氧氣濃度未達百分之多少之場所，應設置警告標示牌並禁止非作業人員進入？	百分之十六
B	batch2_b	56	OSH-07	職業安全衛生設施規則	第300條	30	勞工八小時日時量平均音壓級超過多少分貝或暴露劑量超過百分之多少時，雇主應使勞工戴	八十分貝或百分之三十
B	batch2_b	58	OSH-07	職業安全衛生設施規則	第300-1條	30	事業單位勞工人數達多少人以上，對於噪音超過八十五分貝之工作場所應訂定聽力保護計畫	三十人
B	batch2_b	61	OSH-07	職業安全衛生設施規則	第308條	30	坑內之溫度應保持在攝氏幾度以下？超過時應使勞工停止作業？	三十度
B	batch2_b	62	OSH-07	職業安全衛生設施規則	第309條	5	勞工經常作業之室內作業場所，每一勞工原則上應有多少立方公尺以上之空間（設備及高度	五立方公尺
B	batch2_b	69	OSH-07	職業安全衛生設施規則	第324-1條	30	使勞工從事重複性作業，為預防肌肉骨骼疾病，勞工人數達多少人以上之事業單位應訂定人	三十人
B	batch2_b	71	OSH-07	職業安全衛生設施規則	第324-3條	30	為預防勞工執行職務遭受不法侵害，勞工人數達多少人以上之事業單位應訂定執行職務遭受	三十人
B	batch2_c	5	OSH-36	營造安全衛生設施標準	第11-2條	1;116	依民國115年修正之營造標準第11條之2，進入營繕工程工作場所作業人員應於事前接	中央主管機關指定之營造作業安全訓練；一百十六年七月一日
B	batch2_c	31	OSH-36	營造安全衛生設施標準	第51條	10	施工架任一處步行至最近上下設備之距離，應在多少公尺以下？	十公尺
B	batch2_c	40	OSH-36	營造安全衛生設施標準	第66條	2.5	露天開挖作業，開挖垂直深度達多少公尺以上者，應指定露天開挖作業主管？	二點五公尺
A	batch2_c	42	OSH-36	營造安全衛生設施標準	第71條	0.8	露天開挖深度在多少公尺以上，使勞工進入開挖面作業者，應設擋土支撐？	○點八公尺
A	batch2_c	48	OSH-36	營造安全衛生設施標準	第93條	0.5	隧道、坑道之鋼拱支撐，支撐組之間隔應在多少公尺以下？	○點五公尺
B	batch2_c	49	OSH-36	營造安全衛生設施標準	第98條	10	隧道、坑道開挖作業，豎坑深度超過多少公尺者，應設專供人員緊急出坑之安全吊升設備？	十公尺
B	batch2_c	54	OSH-36	營造安全衛生設施標準	第115條	5	基樁等施工設備捲揚裝置之捲胴軸與頭一個環槽滑輪軸間之距離，應保持在捲胴寬度多少倍	五倍
B	batch2_c	57	OSH-36	營造安全衛生設施標準	第131條	160	高度在七公尺以上且面積達多少平方公尺以上之模板支撐，其構築及拆除應由專任工程人員	一百六十平方公尺
B	batch2_c	61	OSH-36	營造安全衛生設施標準	第142條	20	混凝土澆置作業使用起重機具吊運混凝土桶時，其擺動夾角不得超過幾度？	二十度
B	batch2_c	64	OSH-36	營造安全衛生設施標準	第150條	4	鋼構組配進行組合時，於最高永久性樓板上組合之骨架，不得超過幾層？	四層
B	batch3_a	0	OSH-34	缺氧症預防規則	第3條	16	缺氧症預防規則所稱「缺氧」，指空氣中氧氣濃度未滿百分之多少之狀態？	百分之十六
A	batch3_a	32	OSH-14	高溫作業勞工作息時間標準	第6條	40	勞工於操作中須接近黑球溫度攝氏幾度以上之高溫灼熱物體時，雇主應供給身體熱防護設備	四十度
B	batch3_b	0	OSH-18	異常氣壓危害預防標準	第2條	5	異常氣壓危害預防標準所稱「潛水作業」，指於水深超過多少公尺之水中實施之作業？	五公尺
B	batch3_b	2	OSH-18	異常氣壓危害預防標準	第5條	0.6	高壓室內作業，作業室內每一勞工占有之氣積應在多少立方公尺以上？氣閘室內每一勞工占	四立方公尺；零點六立方公尺
B	batch3_b	3	OSH-18	異常氣壓危害預防標準	第9條	25	氣閘室內供勞工減壓用之排氣管，其內徑應在多少公厘以下？	二十五公厘
A	batch3_b	4	OSH-18	異常氣壓危害預防標準	第10條	0.1	高壓室內作業所用壓力表之刻度盤，應使用單位刻度在每平方公分多少公斤以下者？	零點一公斤
A	batch3_b	6	OSH-18	異常氣壓危害預防標準	第14條	1.2	潛水作業使用水面供氣時，備用氣槽內空氣壓力應經常維持在最深潛水深度時壓力之幾倍以	一點二倍
B	batch3_b	7	OSH-18	異常氣壓危害預防標準	第15-1條	12.2;40	潛水作業深度超過多少公尺且超過免減壓潛水時間限制者，應於現場設置減壓艙？	十二點二公尺（四十呎）
B	batch3_b	9	OSH-18	異常氣壓危害預防標準	第18條	0.3	在氣閘室對高壓室內作業實施加壓時，其加壓速率每分鐘應維持在每平方公分多少公斤以下	零點三公斤
B	batch3_b	11	OSH-18	異常氣壓危害預防標準	第23條	1000	為防止二氧化碳危害高壓室內作業勞工，應抑制二氧化碳之分壓，使其不超過相當一大氣壓	一千 ppm
B	batch3_b	13	OSH-18	異常氣壓危害預防標準	第28條	3	高壓室內作業之氣閘室壓力自動記錄表紀錄（併同勞工姓名、減壓日期及時間），應保存幾	三年
B	batch3_b	16	OSH-18	異常氣壓危害預防標準	第35條	30	為防止沈箱之異常沈降致危害高壓室內作業勞工，刃口下方之掘深度不得超過多少公分？	三十公分
B	batch3_b	28	OSH-18	異常氣壓危害預防標準	第48條	12.2;40	因緊急事故增加上浮速率或縮短減壓站停留後，進入減壓艙再加壓時，加壓速率不得超過每	十二點二公尺（四十呎）
B	batch3_b	29	OSH-18	異常氣壓危害預防標準	第50條	30	使用水面供氣設備供氣時，應於潛水深度壓力下對每一潛水勞工每分鐘供給多少公升以上？	三十公升
B	batch3_b	30	OSH-18	異常氣壓危害預防標準	第52條	5	使用充填壓力超過每平方公分多少公斤之氣瓶供氣時，應使用二段以上減壓方式的壓力調節	五公斤
A	batch3_b	42	OSH-12	危害性化學品標示及通識規則	第5條	50	容器之容積在多少毫升以下者，得僅標示名稱、危害圖式及警示語？	五十毫升
B	batch3_c	4	OSH-34	缺氧症預防規則	第9條	16	於儲槽、鍋爐內部使用氬、二氧化碳或氦從事熔接作業時，應保持氧氣濃度在百分之多少以	百分之十六
