level	file	index	law_id	law	article	missing_numbers	question	correct_option
B	batch6_d	2	OSH-48	勞動基準法	第9-1條	50	雇主與勞工為離職後競業禁止約定，其期間最長不得逾幾年？依施行細則合理補償每月不得	二年；百分之五十
B	batch6_d	14	OSH-48	勞動基準法	第36條	6	勞工每七日中應有幾日休息？其中例假與休息日各幾日？依施行細則不得使勞工連續工作逾	二日；例假一日、休息日一日；六日
B	batch6_d	26	OSH-48	勞動基準法	第75條	3;450000	雇主以強暴脅迫拘禁或其他非法方法強制勞工從事勞動者，處罰為何？介入他人勞動契約抽	五年以下有期徒刑、拘役或科或併科七十五萬元以下罰金；三年以下有期徒刑或四十五萬元以下罰金
B	batch6_e	1	OSH-41	高壓氣體勞工安全規則	第4條	200	高壓氣體勞工安全規則所稱可燃性氣體，除列舉者外，指爆炸下限在百分之多少以下或爆炸	百分之十以下或差百分之二十以上；二百 ppm 以下
B	batch6_e	5	OSH-41	高壓氣體勞工安全規則	第33條	10	可燃性氣體製造設備外面至處理煙火之設備應保持幾公尺以上距離？可燃性氣體高壓氣體設	八公尺；十公尺
B	batch6_e	13	OSH-41	高壓氣體勞工安全規則	第58條	100	壓縮機與灌裝壓縮乙炔氣於容器之場所或灌氣容器放置場間，應分設厚度幾公分以上之鋼筋	十二公分；一百公斤
B	batch6_e	14	OSH-41	高壓氣體勞工安全規則	第64條	2	毒性氣體之氣體設備之配管、管接頭及閥之接合應採用何種方式？並應在必要處所採用何種	熔接接合（不適於熔接者得以凸緣接合代替）；二重管構造
B	batch6_e	30	OSH-41	高壓氣體勞工安全規則	第169條	8	特定高壓氣體消費設備之儲存相關設備四周幾公尺以內應嚴禁煙火？特定液化石油氣消費設	五公尺；八公尺
B	batch8_a	3	ENV-26	空氣污染防制專責單位或專責人員設置及管理辦法	第9條	6	空污專責人員離職或異動時，公私場所應於事實發生後幾日內報請備查？代理期間不得超過	十五日；三個月；六個月
B	batch8_b	3	ENV-30	室內空氣品質管理法	第15條	100000;500000	公告場所不符合室內空氣品質標準經限期改善屆期未改善者，處新臺幣多少罰鍰？紀錄虛偽	五萬元以上二十五萬元以下；十萬元以上五十萬元以下；於場所入口明顯處標示室內空氣品質不合格
B	batch8_b	5	ENV-31	室內空氣品質標準	第3條	1.3	室內空氣品質標準之總揮發性有機化合物（TVOC）係採計幾種化合物之總和？真菌濃度	十二種；一‧三
B	batch8_b	7	ENV-39	噪音管制法施行細則	第7條	180	陸上運輸系統噪音改善計畫，地方主管機關應於送達之日起幾日內完成審查核定？經核定無	六十日；一百八十日
B	batch8_c	11	ENV-53	有害事業廢棄物認定標準	第2條	5	有害事業廢棄物依何順序判定？列表之有害事業廢棄物包括哪些？	先依列表、再依有害特性認定、最後依中央主管機關公告；列表者為製程有害事業廢棄物、混合五金廢料、生物醫療廢棄物
B	batch8_c	14	ENV-55	事業廢棄物清理計畫書審查管理辦法	第9條	45	事業廢棄物清理計畫書之有效期限為幾年？展延應於何時申請？審核機關受理新設變更展延	五年（首次依附表或公告方式收受不同廢棄物再利用者三年）；屆滿前四至六個月；四十五日內，得延長四十五日
B	batch8_d	8	ENV-84	氣候變遷因應法施行細則	第7條	9;30	中央目的事業主管機關訂修所屬部門溫室氣體減量行動方案，應於階段管制目標核定後幾個	六個月內；每五年；九月三十日前
B	batch8_d	11	ENV-85	溫室氣體排放量盤查登錄及查驗管理辦法	第6條	10;31	事業應於每年何時前登錄前一年度之排放量清冊及盤查報告書？查驗結果應於每年何時前上	四月三十日前登錄；十月三十一日前上傳查驗結果；保存六年
B	batch8_d	13	ENV-86	碳費收費辦法	第3條	5	碳費徵收對象為何？碳費應於每年何時前自行申報繳納？	具公告應盤查登錄及查驗排放源且全廠直接排放及使用電力間接排放年合計達二萬五千公噸 CO2e 以上之電力、燃氣供應業及製造
B	batch8_d	20	ENV-93	環境講習執行辦法	第8條	14	一年內第二次以上違反同一環保法律同條同項規定者，環境講習時數如何計算？最高幾小時	依附件一計算之二倍，最高至八小時；十四日前以講習通知單通知
