level	file	index	law_id	law	article	missing_numbers	question	correct_option
B	batch11_b1	14	OSH-41	高壓氣體勞工安全規則	第18條	0	壓縮氣體儲存設備與液化氣體儲存設備之儲存能力計算式各為何？	壓縮氣體 Ｑ＝（Ｐ＋１）Ｖ１；液化氣體儲存設備 Ｗ＝０．９ｗＶ２
B	batch11_b1	18	OSH-41	高壓氣體勞工安全規則	第20條	0;8	冷凍能力算式Ｒ＝Ｖ／Ｃ中，以多段壓縮方式或多元冷凍方式之製造設備，其Ｖ值如何計算	ＶＨ＋０．０８×ＶＬ，ＶＨ為最終段或最終元氣筒一小時活塞壓縮量
B	batch11_b2	18	OSH-41	高壓氣體勞工安全規則	第78條	9	霧劑之製造作業，對製造設備四周及霧劑之壓力與容量有何規定？	四周二公尺以內不得置放危險性物質；攝氏三十五度時容器內壓八公斤以下且容量在九成以下
B	batch11_b2	39	OSH-41	高壓氣體勞工安全規則	第102條	5	甲類及乙類製造事業單位以外之液化石油氣製造事業單位，其製造設施準用何規定？	準用工業用容器臭劑貼籤與添加臭劑，及灌裝距離五公尺與禁灌車輛容器之規定
B	batch11_b3	2	OSH-41	高壓氣體勞工安全規則	第111條	40	液化石油氣之容器放置場及灌氣容器等，其設置準用何規定？	準用容器放置場之警戒標示、輕質屋頂、不滯留構造、滅火設備及溫度四十度以下等規定
B	batch11_b3	44	OSH-41	高壓氣體勞工安全規則	第178條	5	特定液化石油氣消費設備，除距離八公尺及消防設備規定外，下列何者屬其準用之規定？	境界警戒標示、材料選用、耐壓氣密試驗、壓力表安全裝置、漏洩警報及儲存設備五公尺禁煙火
B	batch11_b4	9	OSH-41	高壓氣體勞工安全規則	第189條	1	可燃性氣體、毒性氣體及氧氣之消費，除第一百七十九條至第一百八十七條規定外，準用何	準用特定高壓氣體消費設施自境界警戒標示至操作閥防止過巨之力等一系列規定
B	batch11_b4	12	OSH-41	高壓氣體勞工安全規則	第192條	4;5	一般液化石油氣之消費，除第一百九十條至第一百九十一條之一規定外，準用何項規定？	準用儲存相關設備四周五公尺禁煙火、閥操作措施、修理清掃作業及加熱方式等規定
B	batch11_c5	7	OSH-08	危險性工作場所審查及檢查辦法	第14條	1	事業單位未置製程安全評估人員時，準用第六條規定，得由哪些人員擔任？	得以在國內完成製程安全評估人員訓練之工業安全技師，並具化學工程、職業衛生、機械工程或電機工程技師之一者任之
B	batch11_c5	15	OSH-08	危險性工作場所審查及檢查辦法	第23條之1	45	製造爆竹煙火類物品之爆竹煙火工廠，屬何類危險性工作場所？其申請期限為何？	屬乙類工作場所，應於使勞工作業四十五日前向檢查機構申請審查及檢查
B	batch11_d1	31	OSH-36	營造安全衛生設施標準	第49條	3;40	營造安全衛生設施標準第四十九條之現行狀態為何？高度二公尺以上施工架上作業之工作臺	該條業經刪除；施工架上工作臺寬度四十公分以上、踏板縫隙三公分以下等規定，現依第四十八條辦理
B	batch11_d1	32	OSH-36	營造安全衛生設施標準	第50條	1;30	營造安全衛生設施標準第五十條之現行狀態為何？施工架上人員上下設備之現行規定為何？	該條業經刪除；施工架上人員上下設備應檢查穩固性並補強，任一處步行至最近上下設備距離應在三十公尺以下
B	batch11_e2	24	OSH-42	起重升降機具安全規則	第88條	5	營建用提升機使用時，雇主應禁止勞工進入之工作場所不包括下列何者？	提升機基座外圍五公尺以上且無升降影響之通行區域
B	batch11_g1	3	OSH-48	勞動基準法	第5條	750000	勞動基準法對雇主強制勞工從事勞動之禁止規定為何？違反者之刑責為何？	不得以強暴、脅迫、拘禁或其他非法方法強制勞動；處五年以下有期徒刑、拘役或科或併科七十五萬元以下罰金
B	batch11_g1	4	OSH-48	勞動基準法	第6條	3;450000	關於他人之勞動契約，勞動基準法設有何種禁止規定？違反者如何處罰？	任何人不得介入他人勞動契約抽取不法利益；處三年以下有期徒刑、拘役或科或併科四十五萬元以下罰金
B	batch11_g1	5	OSH-48	勞動基準法	第7條	20000;300000	雇主置備之勞工名卡應保管至何時？未依規定置備勞工名卡之罰鍰為何？	應保管至勞工離職後五年；處新臺幣二萬元以上三十萬元以下罰鍰
B	batch11_g1	16	OSH-48	勞動基準法	第19條	20000;300000	勞動契約終止時，勞工請求發給服務證明書，雇主可否拒絕？違反者如何處罰？	雇主或其代理人不得拒絕；違反者處新臺幣二萬元以上三十萬元以下罰鍰
B	batch11_g1	22	OSH-48	勞動基準法	第26條	90000;450000	雇主可否預扣勞工工資作為違約金或賠償費用？違反者之罰鍰為何？	不得預扣工資作為違約金或賠償費用；處新臺幣九萬元以上四十五萬元以下罰鍰
B	batch11_g1	23	OSH-48	勞動基準法	第27條	20000;1000000	雇主不按期給付工資者，主管機關得採取何種處置？	主管機關得限期令其給付；違反該命令者並處二萬元以上一百萬元以下罰鍰
B	batch11_g1	33	OSH-48	勞動基準法	第42條	6;300000	勞工因健康或其他正當理由不能接受正常工作時間以外之工作者，雇主應如何處理？違反者	雇主不得強制其工作；違反者處六個月以下有期徒刑、拘役或科或併科三十萬元以下罰金
B	batch11_g1	36	OSH-48	勞動基準法	第46條	20000;300000	未滿十八歲之人受僱從事工作者，雇主應置備何種文件？未置備者如何處罰？	應置備其法定代理人同意書及年齡證明文件；處新臺幣二萬元以上三十萬元以下罰鍰
B	batch11_g1	39	OSH-48	勞動基準法	第51條	90000;450000	女工在妊娠期間如有較為輕易之工作而申請改調，雇主應如何處理？	雇主不得拒絕，並不得減少其工資；違反者處九萬元以上四十五萬元以下罰鍰
B	batch11_g2	7	OSH-48	勞動基準法	第66條	20000;300000	雇主可否向技術生收取有關訓練費用？違反者如何處罰？	不得向技術生收取有關訓練費用；違反者處新臺幣二萬元以上三十萬元以下罰鍰
B	batch11_g3	14	OSH-49	勞動基準法施行細則	第24條之2	30	本法第三十八條第五項所定每年定期發給之特別休假書面通知，應於何時發給？得以何種方	應於年度終結後三十日內之發給工資期限前發給；得以紙本、電子資料傳輸或其他可隨時取得及列印之資料為之
B	batch11_g4	5	OSH-37	性別平等工作法	第9條	300000;1500000	雇主為受僱者舉辦或提供各項福利措施時，有何禁止規定？違反者罰鍰為何？	不得因性別或性傾向而有差別待遇；處新臺幣三十萬元以上一百五十萬元以下罰鍰
B	batch11_g4	24	OSH-37	性別平等工作法	第38條之3	2	第十二條第八項第一款之最高負責人經認定有性騷擾者，其處罰機關及裁處權時效為何？	由地方主管機關依第三十八條之二第一項規定處罰；時效自受理申訴機關收受申訴之日起算三年，自行為終了逾十年者亦同
B	batch11_j1	29	OSH-02	職業安全衛生法施行細則	第34條	4	本細則第三十四條之效力如何？	業經刪除；安全衛生人員之範圍係規定於本細則第三十三條，共含四類人員
B	batch11_j2	22	OSH-04	勞動檢查法施行細則	第8條	3	本法第九條所稱勞動檢查員之專業訓練，其內容包括哪些？	指新進人員之職前訓練、現職人員之在職訓練及進修等三者
B	batch11_j2	44	OSH-04	勞動檢查法施行細則	第38條	1;2	本法第三十一條第四項所定之代行檢查證，準用本細則何條規定？	準用第二十條關於勞動檢查證之規定，即每二年換發一次並應記載一定事項
B	batch11_k1	1	OSH-09	職業安全衛生管理辦法	第5條、第9條、第76條、第89條	4	職業安全衛生管理辦法歷經多次修正，下列哪一組條文之現行條文均已刪除而無實質內容？	第五條、第九條、第七十六條及第八十九條等四條條文，現行條文均已刪除
B	batch11_k1	2	OSH-09	職業安全衛生管理辦法	第10條	100;300	依本辦法，哪些事業單位應設置職業安全衛生委員會？	適用第二條之一規定（第一類事業一百人以上、第二類事業三百人以上）及第六條第二項規定之事業單位
B	batch11_k1	40	OSH-09	職業安全衛生管理辦法	第77條	5	依本辦法，雇主應使勞工對其作業中之哪些物件或設施實施檢點？	纖維纜索、乾燥室、防護用具、電氣機械器具及自設道路等五類物件設施
B	batch11_k2	28	OSH-12	危害性化學品標示及通識規則	第16條	1;3	關於安全資料表之更新及本規則現行條文，下列敘述何者正確？	第十六條已刪除；安全資料表應適時更新並至少每三年檢討一次，更新紀錄應保存三年
B	batch11_k2	33	OSH-10	勞工健康保護規則	第18條	7	雇主對在職勞工有從事長期夜間工作之情形者，應實施何種健康檢查？該檢查紀錄保存年限	應於當年度依附表十一實施長期夜間工作健康檢查，該檢查紀錄至少保存七年
B	batch11_k2	37	OSH-22	女性勞工母性健康保護實施辦法	第4條	3;5;10	具有鉛作業之事業中，雇主使女性勞工從事何種工作應實施母性健康保護？其風險等級如何	從事鉛及其化合物散布場所之工作者；依血中鉛濃度五及十μg/dl為界區分三級管理
B	batch11_l2	9	OSH-16	精密作業勞工視機能保護設施標準	第6條	1	從事第三條第六款、第七款規定之作業而採用發光背景時，應符合何種要求？	應使光度均勻，避免明暗不一造成視機能負荷
B	batch11_n1	41	OSH-50	特定化學物質危害預防標準	第48條	1	本標準第四十八條之現行狀態為何？特定化學物質作業之健康管理事項現依何規定辦理？	第四十八條業經刪除；健康管理事項依第六條之一規定，應依勞工健康保護規則等相關規定辦理
B	batch11_n2	3	OSH-45	粉塵危害預防標準	第4條	1	粉塵危害預防標準第四條之現行狀態為何？粉塵作業之適用範圍現如何界定？	第四條業經刪除；粉塵作業之適用範圍依第二條及第三條，以附表一甲欄所列作業之有關事業為準
B	batch11_n2	7	OSH-45	粉塵危害預防標準	第8條	2;3	粉塵危害預防標準第八條之現行狀態為何？局部排氣裝置氣罩型式現由何條規範？	第八條業經刪除；氣罩型式現分別依第七條之附表二規定及第九條回轉機械氣罩之三種方式辦理
B	batch11_n2	14	OSH-45	粉塵危害預防標準	第12條	3	適用前述免除規定時，臨時性作業、作業時間短暫及作業期間短暫之判斷標準各為何？	臨時性作業指期間不超過三個月且一年內不再重覆；時間短暫指每日不超過一小時；期間短暫指不超過一個月且六個月內不再實施
